[1, 'label']	24
[2, 's1', 'heading']	The Lamps
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'note', 'x']	#Ex. 27:20,21
[5, 'p1', 'verse', 'v1', 'content']	The
[6, 'p1', 'verse', 'v1', 'nd']	Lord
[7, 'p1', 'verse', 'v1', 'content']	spoke to Moses, saying,
['v001_ESV_LEV_024', 8, 'p1', 'verse', 'v1', 'plain_text']	1 The Lord spoke to Moses, saying,
[9, 'p1', 'verse', 'v2', 'label']	2
[10, 'p1', 'verse', 'v2', 'content']	“Command the people of Israel to bring you pure oil from beaten olives for the lamp, that a light may be kept burning regularly.
['v002_ESV_LEV_024', 11, 'p1', 'verse', 'v2', 'plain_text']	2 “Command the people of Israel to bring you pure oil from beaten olives for the lamp, that a light may be kept burning regularly.
[12, 'p1', 'verse', 'v3', 'label']	3
[13, 'p1', 'verse', 'v3', 'content']	Outside the veil of the testimony, in the tent of meeting, Aaron shall arrange it from evening to morning before the
[14, 'p1', 'verse', 'v3', 'nd']	Lord
[15, 'p1', 'verse', 'v3', 'content']	regularly. It shall be a statute forever throughout your generations.
['v003_ESV_LEV_024', 16, 'p1', 'verse', 'v3', 'plain_text']	3 Outside the veil of the testimony, in the tent of meeting, Aaron shall arrange it from evening to morning before the Lord regularly. It shall be a statute forever throughout your generations.
[17, 'p1', 'verse', 'v4', 'label']	4
[18, 'p1', 'verse', 'v4', 'content']	He shall arrange the lamps on the
[19, 'p1', 'verse', 'v4', 'note', 'x']	#Ex. 31:8;39:37
[20, 'p1', 'verse', 'v4', 'content']	lampstand of pure gold
[21, 'p1', 'verse', 'v4', 'note', 'f']	#24:4Hebrewthe pure lampstand
[22, 'p1', 'verse', 'v4', 'content']	before the
[23, 'p1', 'verse', 'v4', 'nd']	Lord
[24, 'p1', 'verse', 'v4', 'content']	regularly.
[25, 's1', 'heading']	Bread for the Tabernacle
['v004_ESV_LEV_024', 26, 'p1', 'verse', 'v4', 'plain_text']	4 He shall arrange the lamps on the lampstand of pure gold before the Lord regularly.
[27, 'p2', 'verse', 'v5', 'label']	5
[28, 'p2', 'verse', 'v5', 'content']	“You shall take fine flour and bake twelve
[29, 'p2', 'verse', 'v5', 'note', 'x']	#Ex. 25:30
[30, 'p2', 'verse', 'v5', 'content']	loaves from it; two tenths of an ephah
[31, 'p2', 'verse', 'v5', 'note', 'f']	#24:5Anephahwas about 3/5 bushel or 22 liters
[32, 'p2', 'verse', 'v5', 'content']	shall be in each loaf.
['v005_ESV_LEV_024', 33, 'p2', 'verse', 'v5', 'plain_text']	5 “You shall take fine flour and bake twelve loaves from it; two tenths of an ephah shall be in each loaf.
[34, 'p2', 'verse', 'v6', 'label']	6
[35, 'p2', 'verse', 'v6', 'content']	And you shall set them in two piles, six in a pile,
[36, 'p2', 'verse', 'v6', 'note', 'x']	#Ex. 25:23,24;1 Kgs. 7:48;2 Chr. 4:19;13:11;Heb. 9:2
[37, 'p2', 'verse', 'v6', 'content']	on the table of pure gold
[38, 'p2', 'verse', 'v6', 'note', 'f']	#24:6Hebrewthe pure table
[39, 'p2', 'verse', 'v6', 'content']	before the
[40, 'p2', 'verse', 'v6', 'nd']	Lord
[41, 'p2', 'verse', 'v6', 'content']	.
['v006_ESV_LEV_024', 42, 'p2', 'verse', 'v6', 'plain_text']	6 And you shall set them in two piles, six in a pile, on the table of pure gold before the Lord .
[43, 'p2', 'verse', 'v7', 'label']	7
[44, 'p2', 'verse', 'v7', 'content']	And you shall put pure frankincense on each pile, that it may go with the bread as a memorial portion as a food offering to the
[45, 'p2', 'verse', 'v7', 'nd']	Lord
[46, 'p2', 'verse', 'v7', 'content']	.
['v007_ESV_LEV_024', 47, 'p2', 'verse', 'v7', 'plain_text']	7 And you shall put pure frankincense on each pile, that it may go with the bread as a memorial portion as a food offering to the Lord .
[48, 'p2', 'verse', 'v8', 'label']	8
[49, 'p2', 'verse', 'v8', 'note', 'x']	#1 Chr. 9:32;[Num. 4:7;2 Chr. 2:4]
[50, 'p2', 'verse', 'v8', 'content']	Every Sabbath day Aaron shall arrange it before the
[51, 'p2', 'verse', 'v8', 'nd']	Lord
[52, 'p2', 'verse', 'v8', 'content']	regularly; it is from the people of Israel as a covenant forever.
['v008_ESV_LEV_024', 53, 'p2', 'verse', 'v8', 'plain_text']	8 Every Sabbath day Aaron shall arrange it before the Lord regularly; it is from the people of Israel as a covenant forever.
[54, 'p2', 'verse', 'v9', 'label']	9
[55, 'p2', 'verse', 'v9', 'content']	And
[56, 'p2', 'verse', 'v9', 'note', 'x']	#1 Sam. 21:6;Matt. 12:4;Mark 2:26;Luke 6:4
[57, 'p2', 'verse', 'v9', 'content']	it shall be for Aaron and his sons, and
[58, 'p2', 'verse', 'v9', 'note', 'x']	#[ch.6:16;8:31;21:22;Ex. 29:33]
[59, 'p2', 'verse', 'v9', 'content']	they shall eat it in a holy place, since it is for him a most holy portion out of the
[60, 'p2', 'verse', 'v9', 'nd']	Lord
[61, 'p2', 'verse', 'v9', 'content']	’s food offerings, a perpetual due.”
[62, 's1', 'heading']	Punishment for Blasphemy
['v009_ESV_LEV_024', 63, 'p2', 'verse', 'v9', 'plain_text']	9 And it shall be for Aaron and his sons, and they shall eat it in a holy place, since it is for him a most holy portion out of the Lord ’s food offerings, a perpetual due.”
[64, 'p3', 'verse', 'v10', 'label']	10
[65, 'p3', 'verse', 'v10', 'content']	Now an Israelite woman’s son, whose father was an Egyptian, went out among the people of Israel. And the Israelite woman’s son and a man of Israel fought in the camp,
['v010_ESV_LEV_024', 66, 'p3', 'verse', 'v10', 'plain_text']	10 Now an Israelite woman’s son, whose father was an Egyptian, went out among the people of Israel. And the Israelite woman’s son and a man of Israel fought in the camp,
[67, 'p3', 'verse', 'v11', 'label']	11
[68, 'p3', 'verse', 'v11', 'content']	and the Israelite woman’s son
[69, 'p3', 'verse', 'v11', 'note', 'x']	#Seever.16
[70, 'p3', 'verse', 'v11', 'content']	blasphemed the
[71, 'p3', 'verse', 'v11', 'note', 'x']	#[Ex. 3:14,15;Phil. 2:9]
[72, 'p3', 'verse', 'v11', 'content']	Name, and cursed. Then they
[73, 'p3', 'verse', 'v11', 'note', 'x']	#Ex. 18:22,26
