[1, 'label']	45
[2, 's1', 'heading']	The Reconciliation of the Brothers
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	Joseph was no longer able to control himself before all his attendants,
[5, 'p1', 'verse', 'v1', 'note', 'f']	tn Heb “all the ones standing beside him.”
[6, 'p1', 'verse', 'v1', 'content']	so he cried out, “Make everyone go out from my presence!” No one remained
[7, 'p1', 'verse', 'v1', 'note', 'f']	tn Heb “stood.”
[8, 'p1', 'verse', 'v1', 'content']	with Joseph when he made himself known to his brothers.
['v001_NET_GEN_045', 9, 'p1', 'verse', 'v1', 'plain_text']	1 Joseph was no longer able to control himself before all his attendants, so he cried out, “Make everyone go out from my presence!” No one remained with Joseph when he made himself known to his brothers.
[10, 'p1', 'verse', 'v2', 'label']	2
[11, 'p1', 'verse', 'v2', 'content']	He wept loudly;
[12, 'p1', 'verse', 'v2', 'note', 'f']	tn Heb “and he gave his voice in weeping,” meaning that Joseph could not restrain himself and wept out loud.
[13, 'p1', 'verse', 'v2', 'content']	the Egyptians heard it and Pharaoh’s household heard about it.
[14, 'p1', 'verse', 'v2', 'note', 'f']	tn Heb “and the Egyptians heard and the household of Pharaoh heard.” Presumably in the latter case this was by means of a report.
['v002_NET_GEN_045', 15, 'p1', 'verse', 'v2', 'plain_text']	2 He wept loudly; the Egyptians heard it and Pharaoh’s household heard about it.
[16, 'p2', 'verse', 'v3', 'label']	3
[17, 'p2', 'verse', 'v3', 'content']	Joseph said to his brothers, “I am Joseph! Is my father still alive?” His brothers could not answer him because they were dumbfounded before him.
['v003_NET_GEN_045', 18, 'p2', 'verse', 'v3', 'plain_text']	3 Joseph said to his brothers, “I am Joseph! Is my father still alive?” His brothers could not answer him because they were dumbfounded before him.
[19, 'p2', 'verse', 'v4', 'label']	4
[20, 'p2', 'verse', 'v4', 'content']	Joseph said to his brothers, “Come closer to me,” so they came near. Then he said, “I am Joseph your brother, whom you sold into Egypt.
['v004_NET_GEN_045', 21, 'p2', 'verse', 'v4', 'plain_text']	4 Joseph said to his brothers, “Come closer to me,” so they came near. Then he said, “I am Joseph your brother, whom you sold into Egypt.
[22, 'p2', 'verse', 'v5', 'label']	5
[23, 'p2', 'verse', 'v5', 'content']	Now, do not be upset and do not be angry with yourselves because you sold me here,
[24, 'p2', 'verse', 'v5', 'note', 'f']	tn Heb “let there not be anger in your eyes.”
[25, 'p2', 'verse', 'v5', 'content']	for God sent me
