[1, 'label']	19
[2, 's1', 'heading']	The Destruction of Sodom and Gomorrah
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	The two angels came to Sodom in the evening while
[5, 'p1', 'verse', 'v1', 'note', 'f']	tn The disjunctive clause is temporal here, indicating what Lot was doing at the time of their arrival.
[6, 'p1', 'verse', 'v1', 'content']	Lot was sitting in the city’s gateway.
[7, 'p1', 'verse', 'v1', 'note', 'f']	tn Heb “sitting in the gate of Sodom.” The phrase “the gate of Sodom” has been translated “the city’s gateway” for stylistic reasons.
sn The expression sitting in the city’s gateway may mean that Lot was exercising some type of judicial function (see the use of the idiom in 2 Sam 19:8; Jer 26:10; 38:7; 39:3).
[8, 'p1', 'verse', 'v1', 'content']	When Lot saw them, he got up to meet them and bowed down with his face toward the ground.
['v001_NET_GEN_019', 9, 'p1', 'verse', 'v1', 'plain_text']	1 The two angels came to Sodom in the evening while Lot was sitting in the city’s gateway. When Lot saw them, he got up to meet them and bowed down with his face toward the ground.
[10, 'p2', 'verse', 'v2', 'label']	2
[11, 'p2', 'verse', 'v2', 'content']	He said, “Here, my lords, please turn aside to your servant’s house. Stay the night
[12, 'p2', 'verse', 'v2', 'note', 'f']	tn The imperatives have the force of invitation.
[13, 'p2', 'verse', 'v2', 'content']	and wash your feet. Then you can be on your way early in the morning.”
[14, 'p2', 'verse', 'v2', 'note', 'f']	tn These two verbs form a verbal hendiadys: “you can rise up early and go” means “you can go early.”
[15, 'p2', 'verse', 'v2', 'content']	“No,” they replied, “we’ll spend the night in the town square.”
[16, 'p2', 'verse', 'v2', 'note', 'f']	sn The town square refers to the wide street area at the gate complex of the city.
['v002_NET_GEN_019', 17, 'p2', 'verse', 'v2', 'plain_text']	2 He said, “Here, my lords, please turn aside to your servant’s house. Stay the night and wash your feet. Then you can be on your way early in the morning.” “No,” they replied, “we’ll spend the night in the town square.”
[18, 'p3', 'verse', 'v3', 'label']	3
[19, 'p3', 'verse', 'v3', 'content']	But he urged
[20, 'p3', 'verse', 'v3', 'note', 'f']	tn The Hebrew verb פָּצַר (patsar, “to press, to insist”) ironically foreshadows the hostile actions of the men of the city (see v. 9, where the verb also appears). The repetition of the word serves to contrast Lot to his world.
[21, 'p3', 'verse', 'v3', 'content']	them persistently, so they turned aside with him and entered his house. He prepared a feast for them, including bread baked without yeast, and they ate.
['v003_NET_GEN_019', 22, 'p3', 'verse', 'v3', 'plain_text']	3 But he urged them persistently, so they turned aside with him and entered his house. He prepared a feast for them, including bread baked without yeast, and they ate.
[23, 'p3', 'verse', 'v4', 'label']	4
[24, 'p3', 'verse', 'v4', 'content']	Before they could lie down to sleep,
