[1, 'label']	34
[2, 's1', 'heading']	ឌីណាត្រូវបានបង្ខូច
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	ឯ​ឌីណា​កូនស្រី​ដែល​លេអា​បង្កើត​ឲ្យ​យ៉ាកុប បាន​ចេញទៅ​មើល​ពួក​កូនស្រី​នៅ​ស្រុក​នោះ​។
['v001_GKH_GEN_034', 5, 'p1', 'verse', 'v1', 'plain_text']	1 ឯ​ឌីណា​កូនស្រី​ដែល​លេអា​បង្កើត​ឲ្យ​យ៉ាកុប បាន​ចេញទៅ​មើល​ពួក​កូនស្រី​នៅ​ស្រុក​នោះ​។
[6, 'p1', 'verse', 'v2', 'label']	2
[7, 'p1', 'verse', 'v2', 'content']	ពេល​ស៊ីគែម​កូនប្រុស​របស់​ហេម័រ​ជនជាតិហេវី​ជា​មេគ្រប់គ្រង​នៅ​ស្រុក​នោះ បាន​ឃើញ​នាង គាត់​ក៏​ចាប់​នាង​ទៅ​រួមដំណេក​ជាមួយ ហើយ​បង្ខូច​នាង​។
['v002_GKH_GEN_034', 8, 'p1', 'verse', 'v2', 'plain_text']	2 ពេល​ស៊ីគែម​កូនប្រុស​របស់​ហេម័រ​ជនជាតិហេវី​ជា​មេគ្រប់គ្រង​នៅ​ស្រុក​នោះ បាន​ឃើញ​នាង គាត់​ក៏​ចាប់​នាង​ទៅ​រួមដំណេក​ជាមួយ ហើយ​បង្ខូច​នាង​។
[9, 'p1', 'verse', 'v3', 'label']	3
[10, 'p1', 'verse', 'v3', 'content']	ចិត្ត​របស់គាត់​ឈ្លក់វង្វេង​នឹង​ឌីណា​កូនស្រី​របស់​យ៉ាកុប​។ គាត់​ស្រឡាញ់​នាងក្រមុំ​នោះ ក៏​និយាយលួងលោមចិត្ត​នាង​។
['v003_GKH_GEN_034', 11, 'p1', 'verse', 'v3', 'plain_text']	3 ចិត្ត​របស់គាត់​ឈ្លក់វង្វេង​នឹង​ឌីណា​កូនស្រី​របស់​យ៉ាកុប​។ គាត់​ស្រឡាញ់​នាងក្រមុំ​នោះ ក៏​និយាយលួងលោមចិត្ត​នាង​។
[12, 'p1', 'verse', 'v4', 'label']	4
[13, 'p1', 'verse', 'v4', 'content']	រួច​ស៊ីគែម​និយាយ​នឹង​ហេម័រ​ឪពុក​របស់គាត់​ថា​៖ “សូម​យក​នាងក្រមុំ​នេះ​ឲ្យ​ខ្ញុំ ធ្វើជា​ប្រពន្ធ​ផង”។
['v004_GKH_GEN_034', 14, 'p1', 'verse', 'v4', 'plain_text']	4 រួច​ស៊ីគែម​និយាយ​នឹង​ហេម័រ​ឪពុក​របស់គាត់​ថា​៖ “សូម​យក​នាងក្រមុំ​នេះ​ឲ្យ​ខ្ញុំ ធ្វើជា​ប្រពន្ធ​ផង”។
[15, 'p2', 'verse', 'v5', 'label']	5
[16, 'p2', 'verse', 'v5', 'content']	យ៉ាកុប​ឮ​ថា​ស៊ីគែម​បាន​បង្ខូច​ឌីណា​កូនស្រី​របស់គាត់ ប៉ុន្តែ​ពេលនោះ ពួក​កូនប្រុស​របស់គាត់​នៅ​ជាមួយ​ហ្វូងសត្វស្រុក​របស់គាត់​នៅ​ទីវាល ដូច្នេះ​យ៉ាកុប​ក៏​នៅស្ងៀម រហូតដល់​ពួកគេ​មកវិញ​។
['v005_GKH_GEN_034', 17, 'p2', 'verse', 'v5', 'plain_text']	5 យ៉ាកុប​ឮ​ថា​ស៊ីគែម​បាន​បង្ខូច​ឌីណា​កូនស្រី​របស់គាត់ ប៉ុន្តែ​ពេលនោះ ពួក​កូនប្រុស​របស់គាត់​នៅ​ជាមួយ​ហ្វូងសត្វស្រុក​របស់គាត់​នៅ​ទីវាល ដូច្នេះ​យ៉ាកុប​ក៏​នៅស្ងៀម រហូតដល់​ពួកគេ​មកវិញ​។
[18, 'p2', 'verse', 'v6', 'label']	6
[19, 'p2', 'verse', 'v6', 'content']	រីឯ​ហេម័រ​ឪពុក​របស់​ស៊ីគែម​ក៏​មករក​យ៉ាកុប ដើម្បី​និយាយ​ជាមួយ​គាត់​។
['v006_GKH_GEN_034', 20, 'p2', 'verse', 'v6', 'plain_text']	6 រីឯ​ហេម័រ​ឪពុក​របស់​ស៊ីគែម​ក៏​មករក​យ៉ាកុប ដើម្បី​និយាយ​ជាមួយ​គាត់​។
[21, 'p2', 'verse', 'v7', 'label']	7
[22, 'p2', 'verse', 'v7', 'content']	នៅពេល​ឮ​អំពី​ហេតុការណ៍នេះ ពួក​កូនប្រុស​របស់​យ៉ាកុប​ក៏​មក​ពី​ទីវាល​វិញ​។ ពួកគេ​ម្នាក់ៗ​ឈឺចិត្ត ហើយ​ក្ដៅក្រហាយ​យ៉ាងខ្លាំង ពីព្រោះ​ស៊ីគែម​បាន​ប្រព្រឹត្ត​អំពើថោកទាប​ទាស់នឹង​អ៊ីស្រាអែល ដោយ​រួមដំណេក​ជាមួយ​កូនស្រី​របស់​យ៉ាកុប ដ្បិត​ការនេះ​មិន​គួរ​ធ្វើ​ឡើយ​។
['v007_GKH_GEN_034', 23, 'p2', 'verse', 'v7', 'plain_text']	7 នៅពេល​ឮ​អំពី​ហេតុការណ៍នេះ ពួក​កូនប្រុស​របស់​យ៉ាកុប​ក៏​មក​ពី​ទីវាល​វិញ​។ ពួកគេ​ម្នាក់ៗ​ឈឺចិត្ត ហើយ​ក្ដៅក្រហាយ​យ៉ាងខ្លាំង ពីព្រោះ​ស៊ីគែម​បាន​ប្រព្រឹត្ត​អំពើថោកទាប​ទាស់នឹង​អ៊ីស្រាអែល ដោយ​រួមដំណេក​ជាមួយ​កូនស្រី​របស់​យ៉ាកុប ដ្បិត​ការនេះ​មិន​គួរ​ធ្វើ​ឡើយ​។
[24, 'p3', 'verse', 'v8', 'label']	8
[25, 'p3', 'verse', 'v8', 'content']	ប៉ុន្តែ​ហេម័រ​និយាយ​នឹង​ពួកគេ​ថា​៖ “ចិត្ត​របស់​ស៊ីគែម​កូនប្រុស​ខ្ញុំ ប្រាថ្នាចង់បាន​កូនស្រី​របស់លោក​ខ្លាំងណាស់ សូម​ឲ្យ​នាង​ទៅ​វា ធ្វើជា​ប្រពន្ធ​ផង​។
['v008_GKH_GEN_034', 26, 'p3', 'verse', 'v8', 'plain_text']	8 ប៉ុន្តែ​ហេម័រ​និយាយ​នឹង​ពួកគេ​ថា​៖ “ចិត្ត​របស់​ស៊ីគែម​កូនប្រុស​ខ្ញុំ ប្រាថ្នាចង់បាន​កូនស្រី​របស់លោក​ខ្លាំងណាស់ សូម​ឲ្យ​នាង​ទៅ​វា ធ្វើជា​ប្រពន្ធ​ផង​។
[27, 'p3', 'verse', 'v9', 'label']	9
[28, 'p3', 'verse', 'v9', 'content']	សូម​ចងស្ពានមេត្រី​ជាមួយ​ពួកយើង​ទៅ គឺ​សូម​ឲ្យ​កូនស្រី​របស់ពួកលោក​មក​ពួកយើង ហើយ​យក​កូនស្រី​របស់ពួកយើង​សម្រាប់​ពួកលោក​ចុះ​។
['v009_GKH_GEN_034', 29, 'p3', 'verse', 'v9', 'plain_text']	9 សូម​ចងស្ពានមេត្រី​ជាមួយ​ពួកយើង​ទៅ គឺ​សូម​ឲ្យ​កូនស្រី​របស់ពួកលោក​មក​ពួកយើង ហើយ​យក​កូនស្រី​របស់ពួកយើង​សម្រាប់​ពួកលោក​ចុះ​។
[30, 'p3', 'verse', 'v10', 'label']	10
[31, 'p3', 'verse', 'v10', 'content']	នោះ​ពួកលោក​នឹង​បាន​រស់នៅ​ជាមួយ​ពួកយើង ហើយ​ទឹកដី​នេះ​បើកចំហ​ដល់​ពួកលោក​។ ចូរ​រស់នៅ ហើយ​ធ្វើជំនួញ ព្រមទាំង​ទទួលបានកម្មសិទ្ធិ​នៅ​ស្រុកនេះ​ចុះ​!”។
['v010_GKH_GEN_034', 32, 'p3', 'verse', 'v10', 'plain_text']	10 នោះ​ពួកលោក​នឹង​បាន​រស់នៅ​ជាមួយ​ពួកយើង ហើយ​ទឹកដី​នេះ​បើកចំហ​ដល់​ពួកលោក​។ ចូរ​រស់នៅ ហើយ​ធ្វើជំនួញ ព្រមទាំង​ទទួលបានកម្មសិទ្ធិ​នៅ​ស្រុកនេះ​ចុះ​!”។
[33, 'p4', 'verse', 'v11', 'label']	11
[34, 'p4', 'verse', 'v11', 'content']	ស៊ីគែម​ក៏​និយាយ​នឹង​ឪពុក និង​ពួក​បងប្រុស​របស់នាង​ដែរ​ថា​៖ “សូមឲ្យ​ខ្ញុំ​រកបាន​សេចក្ដីសន្ដោស​នៅចំពោះ​ភ្នែក​របស់ពួកលោក​ផង ហើយ​អ្វីក៏ដោយដែល​ពួកលោក​ប្រាប់​ខ្ញុំ ខ្ញុំ​នឹង​ជូន​។
