[1, 'label']	23
[2, 's1', 'heading']	ទិញដីបញ្ចុះសារ៉ា
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	សារ៉ា​មាន​អាយុ​មួយរយម្ភៃប្រាំពីរ​ឆ្នាំ នេះហើយជា​អាយុ​នៃ​ជីវិត​របស់​សារ៉ា​។
['v001_GKH_GEN_023', 5, 'p1', 'verse', 'v1', 'plain_text']	1 សារ៉ា​មាន​អាយុ​មួយរយម្ភៃប្រាំពីរ​ឆ្នាំ នេះហើយជា​អាយុ​នៃ​ជីវិត​របស់​សារ៉ា​។
[6, 'p1', 'verse', 'v2', 'label']	2
[7, 'p1', 'verse', 'v2', 'content']	បន្ទាប់មក សារ៉ា​ស្លាប់​នៅ​គារយ៉ាត់-អើបា គឺ​នៅ​ហេប្រុន​ក្នុង​ដែនដី​កាណាន​។ អ័ប្រាហាំ​ក៏​ចូលទៅ​កាន់ទុក្ខ​ចំពោះ​សារ៉ា ហើយ​យំស្រណោះ​នាង​។
['v002_GKH_GEN_023', 8, 'p1', 'verse', 'v2', 'plain_text']	2 បន្ទាប់មក សារ៉ា​ស្លាប់​នៅ​គារយ៉ាត់-អើបា គឺ​នៅ​ហេប្រុន​ក្នុង​ដែនដី​កាណាន​។ អ័ប្រាហាំ​ក៏​ចូលទៅ​កាន់ទុក្ខ​ចំពោះ​សារ៉ា ហើយ​យំស្រណោះ​នាង​។
[9, 'p2', 'verse', 'v3', 'label']	3
[10, 'p2', 'verse', 'v3', 'content']	រួច​អ័ប្រាហាំ​ក្រោក​ចេញពី​មុខ​សព ហើយ​និយាយ​នឹង​កូនចៅ​ហេត​ថា​៖
['v003_GKH_GEN_023', 11, 'p2', 'verse', 'v3', 'plain_text']	3 រួច​អ័ប្រាហាំ​ក្រោក​ចេញពី​មុខ​សព ហើយ​និយាយ​នឹង​កូនចៅ​ហេត​ថា​៖
[12, 'p2', 'verse', 'v4', 'label']	4
