id,tag,text
1,"[1, 'label']",29
2,"[2, 's1', 'heading']",Offerings for the Feast of Trumpets
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",“On the first day of the seventh month you shall have a holy convocation. You shall not do any ordinary work.
5,"[5, 'p1', 'verse', 'v1', 'note', 'x']",#Lev. 23:24;See ch.10:1-10
6,"[6, 'p1', 'verse', 'v1', 'content']","It is a day for you to blow the trumpets,"
7,"['v001_ESV_NUM_029', 7, 'p1', 'verse', 'v1', 'plain_text']","1 “On the first day of the seventh month you shall have a holy convocation. You shall not do any ordinary work. It is a day for you to blow the trumpets,"
8,"[8, 'p1', 'verse', 'v2', 'label']",2
9,"[9, 'p1', 'verse', 'v2', 'content']","and you shall offer a burnt offering, for a pleasing aroma to the"
10,"[10, 'p1', 'verse', 'v2', 'nd']",Lord
11,"[11, 'p1', 'verse', 'v2', 'content']",": one bull from the herd, one ram, seven male lambs a year old without blemish;"
12,"['v002_ESV_NUM_029', 12, 'p1', 'verse', 'v2', 'plain_text']","2 and you shall offer a burnt offering, for a pleasing aroma to the Lord : one bull from the herd, one ram, seven male lambs a year old without blemish;"
13,"[13, 'p1', 'verse', 'v3', 'label']",3
14,"[14, 'p1', 'verse', 'v3', 'content']","also their grain offering of fine flour mixed with oil, three tenths of an ephah"
15,"[15, 'p1', 'verse', 'v3', 'note', 'f']",#29:3Anephahwas about 3/5 bushel or 22 liters
16,"[16, 'p1', 'verse', 'v3', 'content']","for the bull, two tenths for the ram,"
17,"['v003_ESV_NUM_029', 17, 'p1', 'verse', 'v3', 'plain_text']","3 also their grain offering of fine flour mixed with oil, three tenths of an ephah for the bull, two tenths for the ram,"
18,"[18, 'p1', 'verse', 'v4', 'label']",4
19,"[19, 'p1', 'verse', 'v4', 'content']",and one tenth for each of the seven lambs;
20,"['v004_ESV_NUM_029', 20, 'p1', 'verse', 'v4', 'plain_text']",4 and one tenth for each of the seven lambs;
21,"[21, 'p1', 'verse', 'v5', 'label']",5
22,"[22, 'p1', 'verse', 'v5', 'content']",with
23,"[23, 'p1', 'verse', 'v5', 'note', 'x']",#[See ch.28:30above]
24,"[24, 'p1', 'verse', 'v5', 'content']","one male goat for a sin offering, to make atonement for you;"
25,"['v005_ESV_NUM_029', 25, 'p1', 'verse', 'v5', 'plain_text']","5 with one male goat for a sin offering, to make atonement for you;"
26,"[26, 'p1', 'verse', 'v6', 'label']",6
27,"[27, 'p1', 'verse', 'v6', 'content']",besides
28,"[28, 'p1', 'verse', 'v6', 'note', 'x']",#See ch.28:11-15
29,"[29, 'p1', 'verse', 'v6', 'content']","the burnt offering of the new moon, and its grain offering, and"
30,"[30, 'p1', 'verse', 'v6', 'note', 'x']",#See ch.28:3-8
31,"[31, 'p1', 'verse', 'v6', 'content']","the regular burnt offering and its grain offering, and their drink offering, according to the rule for them, for a pleasing aroma, a food offering to the"
32,"[32, 'p1', 'verse', 'v6', 'nd']",Lord
33,"[33, 'p1', 'verse', 'v6', 'content']",.
34,"[34, 's1', 'heading']",Offerings for the Day of Atonement
35,"['v006_ESV_NUM_029', 35, 'p1', 'verse', 'v6', 'plain_text']","6 besides the burnt offering of the new moon, and its grain offering, and the regular burnt offering and its grain offering, and their drink offering, according to the rule for them, for a pleasing aroma, a food offering to the Lord ."
36,"[36, 'p2', 'verse', 'v7', 'label']",7
37,"[37, 'p2', 'verse', 'v7', 'note', 'x']",#Lev. 16:29;23:27
38,"[38, 'p2', 'verse', 'v7', 'content']",“On the tenth day of this seventh month you shall have a holy convocation and
39,"[39, 'p2', 'verse', 'v7', 'note', 'x']",#ch.30:13;Ps. 35:13;Isa. 58:5
40,"[40, 'p2', 'verse', 'v7', 'content']",afflict yourselves.
41,"[41, 'p2', 'verse', 'v7', 'note', 'f']",#29:7Orand fast
42,"[42, 'p2', 'verse', 'v7', 'content']","You shall do no work,"
43,"['v007_ESV_NUM_029', 43, 'p2', 'verse', 'v7', 'plain_text']","7 “On the tenth day of this seventh month you shall have a holy convocation and afflict yourselves. You shall do no work,"
44,"[44, 'p2', 'verse', 'v8', 'label']",8
45,"[45, 'p2', 'verse', 'v8', 'content']",but you shall offer a burnt offering to the
46,"[46, 'p2', 'verse', 'v8', 'nd']",Lord
