id,tag,text
1,"[1, 'label']",12
2,"[2, 's1', 'heading']",Miriam and Aaron Oppose Moses
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']","Miriam and Aaron spoke against Moses because of the Cushite woman whom he had married, for he had married a Cushite woman."
5,"['v001_ESV_NUM_012', 5, 'p1', 'verse', 'v1', 'plain_text']","1 Miriam and Aaron spoke against Moses because of the Cushite woman whom he had married, for he had married a Cushite woman."
6,"[6, 'p1', 'verse', 'v2', 'label']",2
7,"[7, 'p1', 'verse', 'v2', 'content']","And they said, “Has the"
8,"[8, 'p1', 'verse', 'v2', 'nd']",Lord
9,"[9, 'p1', 'verse', 'v2', 'content']",indeed spoken only through Moses?
10,"[10, 'p1', 'verse', 'v2', 'note', 'x']",#Mic. 6:4
11,"[11, 'p1', 'verse', 'v2', 'content']",Has he not spoken through us also?” And
12,"[12, 'p1', 'verse', 'v2', 'note', 'x']","#ch.11:1;2 Kgs. 19:4;Isa. 37:4;Ezek. 35:12,13;[Mal. 3:16]"
13,"[13, 'p1', 'verse', 'v2', 'content']",the
14,"[14, 'p1', 'verse', 'v2', 'nd']",Lord
15,"[15, 'p1', 'verse', 'v2', 'content']",heard it.
16,"['v002_ESV_NUM_012', 16, 'p1', 'verse', 'v2', 'plain_text']","2 And they said, “Has the Lord indeed spoken only through Moses? Has he not spoken through us also?” And the Lord heard it."
17,"[17, 'p1', 'verse', 'v3', 'label']",3
18,"[18, 'p1', 'verse', 'v3', 'content']","Now the man Moses was very meek, more than all people who were on the face of the earth."
19,"['v003_ESV_NUM_012', 19, 'p1', 'verse', 'v3', 'plain_text']","3 Now the man Moses was very meek, more than all people who were on the face of the earth."
20,"[20, 'p1', 'verse', 'v4', 'label']",4
21,"[21, 'p1', 'verse', 'v4', 'content']",And suddenly the
22,"[22, 'p1', 'verse', 'v4', 'nd']",Lord
23,"[23, 'p1', 'verse', 'v4', 'content']","said to Moses and to Aaron and Miriam, “Come out, you three, to the tent of meeting.” And the three of them came out."
24,"['v004_ESV_NUM_012', 24, 'p1', 'verse', 'v4', 'plain_text']","4 And suddenly the Lord said to Moses and to Aaron and Miriam, “Come out, you three, to the tent of meeting.” And the three of them came out."
25,"[25, 'p1', 'verse', 'v5', 'label']",5
26,"[26, 'p1', 'verse', 'v5', 'content']",And
27,"[27, 'p1', 'verse', 'v5', 'note', 'x']",#ch.11:25;16:19
28,"[28, 'p1', 'verse', 'v5', 'content']",the
29,"[29, 'p1', 'verse', 'v5', 'nd']",Lord
30,"[30, 'p1', 'verse', 'v5', 'content']","came down in a pillar of cloud and stood at the entrance of the tent and called Aaron and Miriam, and they both came forward."
