id,tag,text
65,"[65, 'p4', 'verse', 'v11', 'content']",the Sea of Chinnereth on the east.
66,"['v011_ESV_NUM_034', 66, 'p4', 'verse', 'v11', 'plain_text']",11 And the border shall go down from Shepham to Riblah on the east side of Ain. And the border shall go down and reach to the shoulder of the Sea of Chinnereth on the east.
67,"[67, 'p4', 'verse', 'v12', 'label']",12
68,"[68, 'p4', 'verse', 'v12', 'content']","And the border shall go down to the Jordan, and its limit shall be at"
69,"[69, 'p4', 'verse', 'v12', 'note', 'x']",#ver.3
70,"[70, 'p4', 'verse', 'v12', 'content']",the Salt Sea. This shall be your land as defined by its borders all around.”
71,"['v012_ESV_NUM_034', 71, 'p4', 'verse', 'v12', 'plain_text']","12 And the border shall go down to the Jordan, and its limit shall be at the Salt Sea. This shall be your land as defined by its borders all around.”"
72,"[72, 'p5', 'verse', 'v13', 'label']",13
73,"[73, 'p5', 'verse', 'v13', 'content']","Moses commanded the people of Israel, saying,"
74,"[74, 'p5', 'verse', 'v13', 'note', 'x']","#ver.2;Josh. 14:1,2"
75,"[75, 'p5', 'verse', 'v13', 'content']","“This is the land that you shall inherit by lot, which the"
76,"[76, 'p5', 'verse', 'v13', 'nd']",Lord
77,"[77, 'p5', 'verse', 'v13', 'content']",has commanded to give to the nine tribes and to the half-tribe.
78,"['v013_ESV_NUM_034', 78, 'p5', 'verse', 'v13', 'plain_text']","13 Moses commanded the people of Israel, saying, “This is the land that you shall inherit by lot, which the Lord has commanded to give to the nine tribes and to the half-tribe."
79,"[79, 'p5', 'verse', 'v14', 'label']",14
80,"[80, 'p5', 'verse', 'v14', 'note', 'x']",#ch.32:33;Josh. 14:3
81,"[81, 'p5', 'verse', 'v14', 'content']","For the tribe of the people of Reuben by fathers’ houses and the tribe of the people of Gad by their fathers’ houses have received their inheritance, and also the half-tribe of Manasseh."
82,"['v014_ESV_NUM_034', 82, 'p5', 'verse', 'v14', 'plain_text']","14 For the tribe of the people of Reuben by fathers’ houses and the tribe of the people of Gad by their fathers’ houses have received their inheritance, and also the half-tribe of Manasseh."
83,"[83, 'p5', 'verse', 'v15', 'label']",15
84,"[84, 'p5', 'verse', 'v15', 'content']","The two tribes and the half-tribe have received their inheritance beyond the Jordan east of Jericho, toward the sunrise.”"
85,"[85, 's1', 'heading']",List of Tribal Chiefs
86,"['v015_ESV_NUM_034', 86, 'p5', 'verse', 'v15', 'plain_text']","15 The two tribes and the half-tribe have received their inheritance beyond the Jordan east of Jericho, toward the sunrise.”"
87,"[87, 'p6', 'verse', 'v16', 'label']",16
88,"[88, 'p6', 'verse', 'v16', 'content']",The
89,"[89, 'p6', 'verse', 'v16', 'nd']",Lord
90,"[90, 'p6', 'verse', 'v16', 'content']","spoke to Moses, saying,"
91,"['v016_ESV_NUM_034', 91, 'p6', 'verse', 'v16', 'plain_text']","16 The Lord spoke to Moses, saying,"
92,"[92, 'p6', 'verse', 'v17', 'label']",17
93,"[93, 'p6', 'verse', 'v17', 'content']",“These are the names of the men who shall divide the land to you for inheritance:
94,"[94, 'p6', 'verse', 'v17', 'note', 'x']",#Josh. 14:1;19:51
95,"[95, 'p6', 'verse', 'v17', 'content']",Eleazar the priest and Joshua the son of Nun.
96,"['v017_ESV_NUM_034', 96, 'p6', 'verse', 'v17', 'plain_text']",17 “These are the names of the men who shall divide the land to you for inheritance: Eleazar the priest and Joshua the son of Nun.
97,"[97, 'p6', 'verse', 'v18', 'label']",18
98,"[98, 'p6', 'verse', 'v18', 'content']",You shall take one
99,"[99, 'p6', 'verse', 'v18', 'note', 'x']","#ch.1:4,16"
100,"[100, 'p6', 'verse', 'v18', 'content']",chief from every tribe to divide the land for inheritance.
101,"['v018_ESV_NUM_034', 101, 'p6', 'verse', 'v18', 'plain_text']",18 You shall take one chief from every tribe to divide the land for inheritance.
102,"[102, 'p6', 'verse', 'v19', 'label']",19
103,"[103, 'p6', 'verse', 'v19', 'content']","These are the names of the men: Of the tribe of Judah, Caleb the son of Jephunneh."
104,"['v019_ESV_NUM_034', 104, 'p6', 'verse', 'v19', 'plain_text']","19 These are the names of the men: Of the tribe of Judah, Caleb the son of Jephunneh."
105,"[105, 'p6', 'verse', 'v20', 'label']",20
106,"[106, 'p6', 'verse', 'v20', 'content']","Of the tribe of the people of Simeon, Shemuel the son of Ammihud."
107,"['v020_ESV_NUM_034', 107, 'p6', 'verse', 'v20', 'plain_text']","20 Of the tribe of the people of Simeon, Shemuel the son of Ammihud."
108,"[108, 'p6', 'verse', 'v21', 'label']",21
109,"[109, 'p6', 'verse', 'v21', 'content']","Of the tribe of Benjamin, Elidad the son of Chislon."
110,"['v021_ESV_NUM_034', 110, 'p6', 'verse', 'v21', 'plain_text']","21 Of the tribe of Benjamin, Elidad the son of Chislon."
111,"[111, 'p6', 'verse', 'v22', 'label']",22
112,"[112, 'p6', 'verse', 'v22', 'content']","Of the tribe of the people of Dan a chief, Bukki the son of Jogli."
113,"['v022_ESV_NUM_034', 113, 'p6', 'verse', 'v22', 'plain_text']","22 Of the tribe of the people of Dan a chief, Bukki the son of Jogli."
114,"[114, 'p6', 'verse', 'v23', 'label']",23
115,"[115, 'p6', 'verse', 'v23', 'content']","Of the people of Joseph: of the tribe of the people of Manasseh a chief, Hanniel the son of Ephod."
116,"['v023_ESV_NUM_034', 116, 'p6', 'verse', 'v23', 'plain_text']","23 Of the people of Joseph: of the tribe of the people of Manasseh a chief, Hanniel the son of Ephod."
117,"[117, 'p6', 'verse', 'v24', 'label']",24
118,"[118, 'p6', 'verse', 'v24', 'content']","And of the tribe of the people of Ephraim a chief, Kemuel the son of Shiphtan."
119,"['v024_ESV_NUM_034', 119, 'p6', 'verse', 'v24', 'plain_text']","24 And of the tribe of the people of Ephraim a chief, Kemuel the son of Shiphtan."
120,"[120, 'p6', 'verse', 'v25', 'label']",25
121,"[121, 'p6', 'verse', 'v25', 'content']","Of the tribe of the people of Zebulun a chief, Elizaphan the son of Parnach."
122,"['v025_ESV_NUM_034', 122, 'p6', 'verse', 'v25', 'plain_text']","25 Of the tribe of the people of Zebulun a chief, Elizaphan the son of Parnach."
123,"[123, 'p6', 'verse', 'v26', 'label']",26
124,"[124, 'p6', 'verse', 'v26', 'content']","Of the tribe of the people of Issachar a chief, Paltiel the son of Azzan."
125,"['v026_ESV_NUM_034', 125, 'p6', 'verse', 'v26', 'plain_text']","26 Of the tribe of the people of Issachar a chief, Paltiel the son of Azzan."
126,"[126, 'p6', 'verse', 'v27', 'label']",27
127,"[127, 'p6', 'verse', 'v27', 'content']","And of the tribe of the people of Asher a chief, Ahihud the son of Shelomi."
128,"['v027_ESV_NUM_034', 128, 'p6', 'verse', 'v27', 'plain_text']","27 And of the tribe of the people of Asher a chief, Ahihud the son of Shelomi."
129,"[129, 'p6', 'verse', 'v28', 'label']",28
130,"[130, 'p6', 'verse', 'v28', 'content']","Of the tribe of the people of Naphtali a chief, Pedahel the son of Ammihud.”"
131,"['v028_ESV_NUM_034', 131, 'p6', 'verse', 'v28', 'plain_text']","28 Of the tribe of the people of Naphtali a chief, Pedahel the son of Ammihud.”"
132,"[132, 'p6', 'verse', 'v29', 'label']",29
133,"[133, 'p6', 'verse', 'v29', 'content']",These are the men whom the
134,"[134, 'p6', 'verse', 'v29', 'nd']",Lord
135,"[135, 'p6', 'verse', 'v29', 'content']",commanded to divide the inheritance for the people of Israel in the land of Canaan.
136,"['v029_ESV_NUM_034', 136, 'p6', 'verse', 'v29', 'plain_text']",29 These are the men whom the Lord commanded to divide the inheritance for the people of Israel in the land of Canaan.
