id,tag,text
1,"[1, 'label']",13
2,"[2, 's1', 'heading']",Abram and Lot Separate
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']","So Abram went up from Egypt, he and his wife and all that he had, and Lot with him,"
5,"[5, 'p1', 'verse', 'v1', 'note', 'x']",#ch.12:9
6,"[6, 'p1', 'verse', 'v1', 'content']",into the Negeb.
7,"['v001_ESV_GEN_013', 7, 'p1', 'verse', 'v1', 'plain_text']","1 So Abram went up from Egypt, he and his wife and all that he had, and Lot with him, into the Negeb."
8,"[8, 'p2', 'verse', 'v2', 'label']",2
9,"[9, 'p2', 'verse', 'v2', 'note', 'x']",#ch.24:35;[Ps. 112:1-3;Prov. 10:22]
10,"[10, 'p2', 'verse', 'v2', 'content']","Now Abram was very rich in livestock, in silver, and in gold."
11,"['v002_ESV_GEN_013', 11, 'p2', 'verse', 'v2', 'plain_text']","2 Now Abram was very rich in livestock, in silver, and in gold."
12,"[12, 'p2', 'verse', 'v3', 'label']",3
13,"[13, 'p2', 'verse', 'v3', 'content']","And he journeyed on from the Negeb as far as Bethel to the place where his tent had been at the beginning, between Bethel and Ai,"
14,"['v003_ESV_GEN_013', 14, 'p2', 'verse', 'v3', 'plain_text']","3 And he journeyed on from the Negeb as far as Bethel to the place where his tent had been at the beginning, between Bethel and Ai,"
15,"[15, 'p2', 'verse', 'v4', 'label']",4
16,"[16, 'p2', 'verse', 'v4', 'content']",to
17,"[17, 'p2', 'verse', 'v4', 'note', 'x']","#ch.12:7,8"
18,"[18, 'p2', 'verse', 'v4', 'content']",the place where he had made an altar at the first. And there Abram called upon the name of the
19,"[19, 'p2', 'verse', 'v4', 'nd']",Lord
20,"[20, 'p2', 'verse', 'v4', 'content']",.
21,"['v004_ESV_GEN_013', 21, 'p2', 'verse', 'v4', 'plain_text']",4 to the place where he had made an altar at the first. And there Abram called upon the name of the Lord .
22,"[22, 'p2', 'verse', 'v5', 'label']",5
23,"[23, 'p2', 'verse', 'v5', 'content']","And Lot, who went with Abram, also had flocks and herds and tents,"
24,"['v005_ESV_GEN_013', 24, 'p2', 'verse', 'v5', 'plain_text']","5 And Lot, who went with Abram, also had flocks and herds and tents,"
25,"[25, 'p2', 'verse', 'v6', 'label']",6
26,"[26, 'p2', 'verse', 'v6', 'content']",so that
27,"[27, 'p2', 'verse', 'v6', 'note', 'x']","#ch.36:6,7"
28,"[28, 'p2', 'verse', 'v6', 'content']","the land could not support both of them dwelling together; for their possessions were so great that they could not dwell together,"
29,"['v006_ESV_GEN_013', 29, 'p2', 'verse', 'v6', 'plain_text']","6 so that the land could not support both of them dwelling together; for their possessions were so great that they could not dwell together,"
30,"[30, 'p2', 'verse', 'v7', 'label']",7
31,"[31, 'p2', 'verse', 'v7', 'note', 'x']",#ch.26:20
32,"[32, 'p2', 'verse', 'v7', 'content']",and there was strife between the herdsmen of Abram’s livestock and the herdsmen of Lot’s livestock. At that time
33,"[33, 'p2', 'verse', 'v7', 'note', 'x']",#ch.12:6
34,"[34, 'p2', 'verse', 'v7', 'content']",the Canaanites and the Perizzites were dwelling in the land.
35,"['v007_ESV_GEN_013', 35, 'p2', 'verse', 'v7', 'plain_text']",7 and there was strife between the herdsmen of Abram’s livestock and the herdsmen of Lot’s livestock. At that time the Canaanites and the Perizzites were dwelling in the land.
36,"[36, 'p3', 'verse', 'v8', 'label']",8
37,"[37, 'p3', 'verse', 'v8', 'content']","Then Abram said to Lot,"
38,"[38, 'p3', 'verse', 'v8', 'note', 'x']",#[1 Cor. 6:1-8]
39,"[39, 'p3', 'verse', 'v8', 'content']","“Let there be no strife between you and me, and between your herdsmen and my herdsmen,"
40,"[40, 'p3', 'verse', 'v8', 'note', 'x']",#[Acts 7:26]
41,"[41, 'p3', 'verse', 'v8', 'content']",for we are kinsmen.
