id,tag,text
1,"[1, 'label']",21
2,"[2, 's1', 'heading']",The Birth of Isaac
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",The
5,"[5, 'p1', 'verse', 'v1', 'nd']",Lord
6,"[6, 'p1', 'verse', 'v1', 'note', 'x']",#1 Sam. 2:21
7,"[7, 'p1', 'verse', 'v1', 'content']","visited Sarah as he had said, and the"
8,"[8, 'p1', 'verse', 'v1', 'nd']",Lord
9,"[9, 'p1', 'verse', 'v1', 'content']",did to Sarah
10,"[10, 'p1', 'verse', 'v1', 'note', 'x']","#ch.17:19;18:10,14"
11,"[11, 'p1', 'verse', 'v1', 'content']",as he had promised.
12,"['v001_ESV_GEN_021', 12, 'p1', 'verse', 'v1', 'plain_text']","1 The Lord visited Sarah as he had said, and the Lord did to Sarah as he had promised."
13,"[13, 'p1', 'verse', 'v2', 'label']",2
14,"[14, 'p1', 'verse', 'v2', 'content']",And Sarah
15,"[15, 'p1', 'verse', 'v2', 'note', 'x']",#Heb. 11:11;[Gal. 4:22]
16,"[16, 'p1', 'verse', 'v2', 'content']",conceived and bore Abraham a son in his old age
17,"[17, 'p1', 'verse', 'v2', 'note', 'x']",#ch.17:21
18,"[18, 'p1', 'verse', 'v2', 'content']",at the time of which God had spoken to him.
19,"['v002_ESV_GEN_021', 19, 'p1', 'verse', 'v2', 'plain_text']",2 And Sarah conceived and bore Abraham a son in his old age at the time of which God had spoken to him.
20,"[20, 'p1', 'verse', 'v3', 'label']",3
21,"[21, 'p1', 'verse', 'v3', 'content']","Abraham called the name of his son who was born to him, whom Sarah bore him,"
22,"[22, 'p1', 'verse', 'v3', 'note', 'x']",#ch.17:19
23,"[23, 'p1', 'verse', 'v3', 'content']",Isaac.
24,"[24, 'p1', 'verse', 'v3', 'note', 'f']",#21:3Isaacmeanshe laughs
25,"['v003_ESV_GEN_021', 25, 'p1', 'verse', 'v3', 'plain_text']","3 Abraham called the name of his son who was born to him, whom Sarah bore him, Isaac."
26,"[26, 'p1', 'verse', 'v4', 'label']",4
27,"[27, 'p1', 'verse', 'v4', 'content']",And Abraham
28,"[28, 'p1', 'verse', 'v4', 'note', 'x']",#Acts 7:8
29,"[29, 'p1', 'verse', 'v4', 'content']","circumcised his son Isaac when he was eight days old,"
30,"[30, 'p1', 'verse', 'v4', 'note', 'x']","#ch.17:10,12"
31,"[31, 'p1', 'verse', 'v4', 'content']",as God had commanded him.
32,"['v004_ESV_GEN_021', 32, 'p1', 'verse', 'v4', 'plain_text']","4 And Abraham circumcised his son Isaac when he was eight days old, as God had commanded him."
33,"[33, 'p1', 'verse', 'v5', 'label']",5
34,"[34, 'p1', 'verse', 'v5', 'note', 'x']","#ch.17:1,17;Rom. 4:19"
35,"[35, 'p1', 'verse', 'v5', 'content']",Abraham was a hundred years old when his son Isaac was born to him.
36,"['v005_ESV_GEN_021', 36, 'p1', 'verse', 'v5', 'plain_text']",5 Abraham was a hundred years old when his son Isaac was born to him.
37,"[37, 'p1', 'verse', 'v6', 'label']",6
38,"[38, 'p1', 'verse', 'v6', 'content']","And Sarah said,"
39,"[39, 'p1', 'verse', 'v6', 'note', 'x']",#[Isa. 54:1;Gal. 4:27]
40,"[40, 'p1', 'verse', 'v6', 'content']",“God has made laughter for me; everyone who hears will laugh over me.”
41,"['v006_ESV_GEN_021', 41, 'p1', 'verse', 'v6', 'plain_text']","6 And Sarah said, “God has made laughter for me; everyone who hears will laugh over me.”"
42,"[42, 'p1', 'verse', 'v7', 'label']",7
43,"[43, 'p1', 'verse', 'v7', 'content']","And she said, “Who would have said to Abraham that Sarah would nurse children?"
44,"[44, 'p1', 'verse', 'v7', 'note', 'x']","#ch.18:11,12"
45,"[45, 'p1', 'verse', 'v7', 'content']",Yet I have borne him a son in his old age.”
46,"[46, 's1', 'heading']",God Protects Hagar and Ishmael
47,"['v007_ESV_GEN_021', 47, 'p1', 'verse', 'v7', 'plain_text']","7 And she said, “Who would have said to Abraham that Sarah would nurse children? Yet I have borne him a son in his old age.”"
48,"[48, 'p2', 'verse', 'v8', 'label']",8
49,"[49, 'p2', 'verse', 'v8', 'content']",And the child grew and was weaned. And Abraham made a great feast on the day that Isaac was weaned.
50,"['v008_ESV_GEN_021', 50, 'p2', 'verse', 'v8', 'plain_text']",8 And the child grew and was weaned. And Abraham made a great feast on the day that Isaac was weaned.
51,"[51, 'p2', 'verse', 'v9', 'label']",9
52,"[52, 'p2', 'verse', 'v9', 'content']",But Sarah
53,"[53, 'p2', 'verse', 'v9', 'note', 'x']","#ch.16:1,15"
54,"[54, 'p2', 'verse', 'v9', 'content']","saw the son of Hagar the Egyptian, whom she had borne to Abraham,"
55,"[55, 'p2', 'verse', 'v9', 'note', 'x']",#[Gal. 4:29]
56,"[56, 'p2', 'verse', 'v9', 'content']",laughing.
57,"[57, 'p2', 'verse', 'v9', 'note', 'f']",#21:9Possiblylaughing in mockery
58,"['v009_ESV_GEN_021', 58, 'p2', 'verse', 'v9', 'plain_text']","9 But Sarah saw the son of Hagar the Egyptian, whom she had borne to Abraham, laughing."
59,"[59, 'p2', 'verse', 'v10', 'label']",10
60,"[60, 'p2', 'verse', 'v10', 'content']","So she said to Abraham,"
61,"[61, 'p2', 'verse', 'v10', 'note', 'x']",#CitedGal. 4:30
62,"[62, 'p2', 'verse', 'v10', 'content']","“Cast out this slave woman with her son, for the son of this slave woman shall not be heir with my son Isaac.”"
63,"['v010_ESV_GEN_021', 63, 'p2', 'verse', 'v10', 'plain_text']","10 So she said to Abraham, “Cast out this slave woman with her son, for the son of this slave woman shall not be heir with my son Isaac.”"
64,"[64, 'p2', 'verse', 'v11', 'label']",11
65,"[65, 'p2', 'verse', 'v11', 'content']",And the thing was very displeasing to Abraham on account of his son.
66,"['v011_ESV_GEN_021', 66, 'p2', 'verse', 'v11', 'plain_text']",11 And the thing was very displeasing to Abraham on account of his son.
67,"[67, 'p2', 'verse', 'v12', 'label']",12
68,"[68, 'p2', 'verse', 'v12', 'content']","But God said to Abraham, “Be not displeased because of the boy and because of your slave woman. Whatever Sarah says to you, do as she tells you, for"
69,"[69, 'p2', 'verse', 'v12', 'note', 'x']",#CitedRom. 9:7;Heb. 11:18
70,"[70, 'p2', 'verse', 'v12', 'content']",through Isaac shall your offspring be named.
71,"['v012_ESV_GEN_021', 71, 'p2', 'verse', 'v12', 'plain_text']","12 But God said to Abraham, “Be not displeased because of the boy and because of your slave woman. Whatever Sarah says to you, do as she tells you, for through Isaac shall your offspring be named."
72,"[72, 'p2', 'verse', 'v13', 'label']",13
73,"[73, 'p2', 'verse', 'v13', 'content']",And I will make
74,"[74, 'p2', 'verse', 'v13', 'note', 'x']",#ver.18;ch.16:10;17:20
75,"[75, 'p2', 'verse', 'v13', 'content']","a nation of the son of the slave woman also, because he is your offspring.”"
76,"['v013_ESV_GEN_021', 76, 'p2', 'verse', 'v13', 'plain_text']","13 And I will make a nation of the son of the slave woman also, because he is your offspring.”"
77,"[77, 'p2', 'verse', 'v14', 'label']",14
78,"[78, 'p2', 'verse', 'v14', 'content']","So Abraham rose early in the morning and took bread and a skin of water and gave it to Hagar, putting it on her shoulder, along with the child, and sent her away. And she departed and wandered in the wilderness of"
79,"[79, 'p2', 'verse', 'v14', 'note', 'x']",#ver.31
80,"[80, 'p2', 'verse', 'v14', 'content']",Beersheba.
81,"['v014_ESV_GEN_021', 81, 'p2', 'verse', 'v14', 'plain_text']","14 So Abraham rose early in the morning and took bread and a skin of water and gave it to Hagar, putting it on her shoulder, along with the child, and sent her away. And she departed and wandered in the wilderness of Beersheba."
82,"[82, 'p3', 'verse', 'v15', 'label']",15
83,"[83, 'p3', 'verse', 'v15', 'content']","When the water in the skin was gone, she put the child under one of the bushes."
84,"['v015_ESV_GEN_021', 84, 'p3', 'verse', 'v15', 'plain_text']","15 When the water in the skin was gone, she put the child under one of the bushes."
85,"[85, 'p3', 'verse', 'v16', 'label']",16
