id,tag,text
1,"[1, 'label']",48
2,"[2, 's1', 'heading']",Jacob Blesses Ephraim and Manasseh
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']","After this, Joseph was told, “Behold, your father is ill.” So he took with him his two sons, Manasseh and Ephraim."
5,"['v001_ESV_GEN_048', 5, 'p1', 'verse', 'v1', 'plain_text']","1 After this, Joseph was told, “Behold, your father is ill.” So he took with him his two sons, Manasseh and Ephraim."
6,"[6, 'p1', 'verse', 'v2', 'label']",2
7,"[7, 'p1', 'verse', 'v2', 'content']","And it was told to Jacob, “Your son Joseph has come to you.” Then Israel summoned his strength and sat up in bed."
8,"['v002_ESV_GEN_048', 8, 'p1', 'verse', 'v2', 'plain_text']","2 And it was told to Jacob, “Your son Joseph has come to you.” Then Israel summoned his strength and sat up in bed."
9,"[9, 'p1', 'verse', 'v3', 'label']",3
10,"[10, 'p1', 'verse', 'v3', 'content']","And Jacob said to Joseph,"
11,"[11, 'p1', 'verse', 'v3', 'note', 'x']",#See ch.17:1
12,"[12, 'p1', 'verse', 'v3', 'content']",“God Almighty
13,"[13, 'p1', 'verse', 'v3', 'note', 'f']",#48:3HebrewEl Shaddai
14,"[14, 'p1', 'verse', 'v3', 'content']",appeared to me at
15,"[15, 'p1', 'verse', 'v3', 'note', 'x']","#ch.28:13,19;35:6,9"
16,"[16, 'p1', 'verse', 'v3', 'content']","Luz in the land of Canaan and blessed me,"
17,"['v003_ESV_GEN_048', 17, 'p1', 'verse', 'v3', 'plain_text']","3 And Jacob said to Joseph, “God Almighty appeared to me at Luz in the land of Canaan and blessed me,"
18,"[18, 'p1', 'verse', 'v4', 'label']",4
19,"[19, 'p1', 'verse', 'v4', 'content']","and said to me, ‘Behold, I will make you fruitful and multiply you, and I will make of you a company of peoples and will give this land to your offspring after you"
20,"[20, 'p1', 'verse', 'v4', 'note', 'x']",#ch.17:8
21,"[21, 'p1', 'verse', 'v4', 'content']",for an everlasting possession.’
22,"['v004_ESV_GEN_048', 22, 'p1', 'verse', 'v4', 'plain_text']","4 and said to me, ‘Behold, I will make you fruitful and multiply you, and I will make of you a company of peoples and will give this land to your offspring after you for an everlasting possession.’"
23,"[23, 'p1', 'verse', 'v5', 'label']",5
24,"[24, 'p1', 'verse', 'v5', 'content']",And now your
25,"[25, 'p1', 'verse', 'v5', 'note', 'x']",#ch.41:50-52;46:20
26,"[26, 'p1', 'verse', 'v5', 'content']","two sons, who were born to you in the land of Egypt before I came to you in Egypt,"
27,"[27, 'p1', 'verse', 'v5', 'note', 'x']",#Josh. 13:7;14:4;17:17
28,"[28, 'p1', 'verse', 'v5', 'content']","are mine; Ephraim and Manasseh shall be mine, as Reuben and Simeon are."
29,"['v005_ESV_GEN_048', 29, 'p1', 'verse', 'v5', 'plain_text']","5 And now your two sons, who were born to you in the land of Egypt before I came to you in Egypt, are mine; Ephraim and Manasseh shall be mine, as Reuben and Simeon are."
30,"[30, 'p1', 'verse', 'v6', 'label']",6
31,"[31, 'p1', 'verse', 'v6', 'content']",And the children that you fathered after them shall be yours. They shall be called by the name of their brothers in their inheritance.
32,"['v006_ESV_GEN_048', 32, 'p1', 'verse', 'v6', 'plain_text']",6 And the children that you fathered after them shall be yours. They shall be called by the name of their brothers in their inheritance.
33,"[33, 'p1', 'verse', 'v7', 'label']",7
34,"[34, 'p1', 'verse', 'v7', 'content']","As for me, when I came from Paddan, to my sorrow"
35,"[35, 'p1', 'verse', 'v7', 'note', 'x']",#See ch.35:9-19
36,"[36, 'p1', 'verse', 'v7', 'content']","Rachel died in the land of Canaan on the way, when there was still some distance"
37,"[37, 'p1', 'verse', 'v7', 'note', 'f']",#48:7Orabout two hours’ distance
38,"[38, 'p1', 'verse', 'v7', 'content']","to go to Ephrath, and I buried her there on the way to Ephrath (that is, Bethlehem).”"
39,"['v007_ESV_GEN_048', 39, 'p1', 'verse', 'v7', 'plain_text']","7 As for me, when I came from Paddan, to my sorrow Rachel died in the land of Canaan on the way, when there was still some distance to go to Ephrath, and I buried her there on the way to Ephrath (that is, Bethlehem).”"
40,"[40, 'p2', 'verse', 'v8', 'label']",8
41,"[41, 'p2', 'verse', 'v8', 'content']","When Israel saw Joseph’s sons, he said, “Who are these?”"
42,"['v008_ESV_GEN_048', 42, 'p2', 'verse', 'v8', 'plain_text']","8 When Israel saw Joseph’s sons, he said, “Who are these?”"
43,"[43, 'p2', 'verse', 'v9', 'label']",9
44,"[44, 'p2', 'verse', 'v9', 'content']","Joseph said to his father,"
45,"[45, 'p2', 'verse', 'v9', 'note', 'x']",#[ch.33:5]
