id,tag,text
1,"[1, 'label']",46
2,"[2, 's1', 'heading']",Joseph Brings His Family to Egypt
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",So Israel took his journey with all that he had and came to
5,"[5, 'p1', 'verse', 'v1', 'note', 'x']","#ch.21:31,33;26:33;28:10"
6,"[6, 'p1', 'verse', 'v1', 'content']","Beersheba, and offered sacrifices"
7,"[7, 'p1', 'verse', 'v1', 'note', 'x']","#ch.26:24,25;28:13;31:42"
8,"[8, 'p1', 'verse', 'v1', 'content']",to the God of his father Isaac.
9,"['v001_ESV_GEN_046', 9, 'p1', 'verse', 'v1', 'plain_text']","1 So Israel took his journey with all that he had and came to Beersheba, and offered sacrifices to the God of his father Isaac."
10,"[10, 'p1', 'verse', 'v2', 'label']",2
11,"[11, 'p1', 'verse', 'v2', 'content']",And God spoke to Israel
12,"[12, 'p1', 'verse', 'v2', 'note', 'x']","#ch.15:1;Job 33:14,15"
13,"[13, 'p1', 'verse', 'v2', 'content']","in visions of the night and said, “Jacob, Jacob.” And he said, “Here I am.”"
14,"['v002_ESV_GEN_046', 14, 'p1', 'verse', 'v2', 'plain_text']","2 And God spoke to Israel in visions of the night and said, “Jacob, Jacob.” And he said, “Here I am.”"
15,"[15, 'p1', 'verse', 'v3', 'label']",3
16,"[16, 'p1', 'verse', 'v3', 'content']","Then he said, “I am God,"
17,"[17, 'p1', 'verse', 'v3', 'note', 'x']",#ch.28:13
18,"[18, 'p1', 'verse', 'v3', 'content']","the God of your father. Do not be afraid to go down to Egypt, for there I will"
19,"[19, 'p1', 'verse', 'v3', 'note', 'x']","#ch.35:11;[ch.12:2;Ex. 1:7,9;Deut. 26:5]"
20,"[20, 'p1', 'verse', 'v3', 'content']",make you into a great nation.
21,"['v003_ESV_GEN_046', 21, 'p1', 'verse', 'v3', 'plain_text']","3 Then he said, “I am God, the God of your father. Do not be afraid to go down to Egypt, for there I will make you into a great nation."
22,"[22, 'p1', 'verse', 'v4', 'label']",4
23,"[23, 'p1', 'verse', 'v4', 'content']","I myself will go down with you to Egypt, and I will also"
24,"[24, 'p1', 'verse', 'v4', 'note', 'x']",#ch.15:16;28:15;48:21;50:24;Ex. 3:8
25,"[25, 'p1', 'verse', 'v4', 'content']","bring you up again, and"
26,"[26, 'p1', 'verse', 'v4', 'note', 'x']",#ch.50:1
27,"[27, 'p1', 'verse', 'v4', 'content']",Joseph’s hand shall close your eyes.”
28,"['v004_ESV_GEN_046', 28, 'p1', 'verse', 'v4', 'plain_text']","4 I myself will go down with you to Egypt, and I will also bring you up again, and Joseph’s hand shall close your eyes.”"
29,"[29, 'p2', 'verse', 'v5', 'label']",5
30,"[30, 'p2', 'verse', 'v5', 'content']","Then Jacob set out from Beersheba. The sons of Israel carried Jacob their father, their little ones, and their wives, in the wagons"
31,"[31, 'p2', 'verse', 'v5', 'note', 'x']","#ch.45:19,21,27"
