id,tag,text
1,"[1, 'label']",17
2,"[2, 's1', 'heading']",Abraham and the Covenant of Circumcision
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",When Abram was ninety-nine years old the
5,"[5, 'p1', 'verse', 'v1', 'nd']",Lord
6,"[6, 'p1', 'verse', 'v1', 'content']","appeared to Abram and said to him, “I am God Almighty;"
7,"[7, 'p1', 'verse', 'v1', 'note', 'f']",#17:1HebrewEl Shaddai
8,"[8, 'p1', 'verse', 'v1', 'content']","walk before me, and be"
9,"[9, 'p1', 'verse', 'v1', 'note', 'x']",#ch.6:9;Deut. 18:13;Job 1:1;Ps. 119:1;Matt. 5:48
10,"[10, 'p1', 'verse', 'v1', 'content']","blameless,"
11,"['v001_ESV_GEN_017', 11, 'p1', 'verse', 'v1', 'plain_text']","1 When Abram was ninety-nine years old the Lord appeared to Abram and said to him, “I am God Almighty; walk before me, and be blameless,"
12,"[12, 'p1', 'verse', 'v2', 'label']",2
13,"[13, 'p1', 'verse', 'v2', 'content']","that I may make my covenant between me and you, and"
14,"[14, 'p1', 'verse', 'v2', 'note', 'x']",#ch.12:2;13:16;22:17
15,"[15, 'p1', 'verse', 'v2', 'content']",may multiply you greatly.”
16,"['v002_ESV_GEN_017', 16, 'p1', 'verse', 'v2', 'plain_text']","2 that I may make my covenant between me and you, and may multiply you greatly.”"
17,"[17, 'p1', 'verse', 'v3', 'label']",3
18,"[18, 'p1', 'verse', 'v3', 'content']",Then Abram
19,"[19, 'p1', 'verse', 'v3', 'note', 'x']",#ver.17
20,"[20, 'p1', 'verse', 'v3', 'content']","fell on his face. And God said to him,"
21,"['v003_ESV_GEN_017', 21, 'p1', 'verse', 'v3', 'plain_text']","3 Then Abram fell on his face. And God said to him,"
22,"[22, 'p1', 'verse', 'v4', 'label']",4
23,"[23, 'p1', 'verse', 'v4', 'content']","“Behold, my covenant is with you, and you shall be"
24,"[24, 'p1', 'verse', 'v4', 'note', 'x']","#Rom. 4:11,12,16"
25,"[25, 'p1', 'verse', 'v4', 'content']",the father of a multitude of nations.
26,"['v004_ESV_GEN_017', 26, 'p1', 'verse', 'v4', 'plain_text']","4 “Behold, my covenant is with you, and you shall be the father of a multitude of nations."
27,"[27, 'p1', 'verse', 'v5', 'label']",5
28,"[28, 'p1', 'verse', 'v5', 'content']","No longer shall your name be called Abram,"
29,"[29, 'p1', 'verse', 'v5', 'note', 'f']",#17:5Abrammeansexalted father
30,"[30, 'p1', 'verse', 'v5', 'content']",but
31,"[31, 'p1', 'verse', 'v5', 'note', 'x']",#Neh. 9:7
32,"[32, 'p1', 'verse', 'v5', 'content']","your name shall be Abraham,"
33,"[33, 'p1', 'verse', 'v5', 'note', 'f']",#17:5Abrahammeansfather of a multitude
34,"[34, 'p1', 'verse', 'v5', 'note', 'x']",#CitedRom. 4:17
35,"[35, 'p1', 'verse', 'v5', 'content']",for I have made you the father of a multitude of nations.
36,"['v005_ESV_GEN_017', 36, 'p1', 'verse', 'v5', 'plain_text']","5 No longer shall your name be called Abram, but your name shall be Abraham, for I have made you the father of a multitude of nations."
37,"[37, 'p1', 'verse', 'v6', 'label']",6
38,"[38, 'p1', 'verse', 'v6', 'content']","I will make you exceedingly fruitful, and I will make"
39,"[39, 'p1', 'verse', 'v6', 'note', 'x']",#ch.35:11
40,"[40, 'p1', 'verse', 'v6', 'content']","you into nations, and"
41,"[41, 'p1', 'verse', 'v6', 'note', 'x']",#ver.16
42,"[42, 'p1', 'verse', 'v6', 'content']",kings shall come from you.
43,"['v006_ESV_GEN_017', 43, 'p1', 'verse', 'v6', 'plain_text']","6 I will make you exceedingly fruitful, and I will make you into nations, and kings shall come from you."
44,"[44, 'p1', 'verse', 'v7', 'label']",7
45,"[45, 'p1', 'verse', 'v7', 'content']",And I will
46,"[46, 'p1', 'verse', 'v7', 'note', 'x']",#Gal. 3:17
47,"[47, 'p1', 'verse', 'v7', 'content']","establish my covenant between me and you and your offspring after you throughout their generations for an everlasting covenant,"
48,"[48, 'p1', 'verse', 'v7', 'note', 'x']",#Heb. 11:16;[ch.26:24; 28:13]
49,"[49, 'p1', 'verse', 'v7', 'content']",to be God to you and to your offspring after you.
50,"['v007_ESV_GEN_017', 50, 'p1', 'verse', 'v7', 'plain_text']","7 And I will establish my covenant between me and you and your offspring after you throughout their generations for an everlasting covenant, to be God to you and to your offspring after you."
51,"[51, 'p1', 'verse', 'v8', 'label']",8
52,"[52, 'p1', 'verse', 'v8', 'content']",And
