id,tag,text
1,"[1, 'label']",40
2,"[2, 's1', 'heading']",យ៉ូសែបកាត់ស្រាយយល់សប្តិឲ្យអ្នកទោសពីរនាក់
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",ក្រោយពី​ការ​ទាំងនេះ មេអ្នកថ្វាយពែង និង​មេអ្នកដុតនំប៉័ង​របស់​ស្ដេច​អេហ្ស៊ីប បាន​ប្រព្រឹត្តខុស​ទាស់នឹង​ចៅហ្វាយ​របស់ខ្លួន​ជា​ស្ដេច​អេហ្ស៊ីប​។
5,"['v001_GKH_GEN_040', 5, 'p1', 'verse', 'v1', 'plain_text']",1 ក្រោយពី​ការ​ទាំងនេះ មេអ្នកថ្វាយពែង និង​មេអ្នកដុតនំប៉័ង​របស់​ស្ដេច​អេហ្ស៊ីប បាន​ប្រព្រឹត្តខុស​ទាស់នឹង​ចៅហ្វាយ​របស់ខ្លួន​ជា​ស្ដេច​អេហ្ស៊ីប​។
6,"[6, 'p1', 'verse', 'v2', 'label']",2
7,"[7, 'p1', 'verse', 'v2', 'content']",ផារ៉ោន​ទ្រង់​ខ្ញាល់​នឹង​មន្ត្រី​ទាំង​ពីរ​របស់ទ្រង់ គឺ​មេអ្នកថ្វាយពែង និង​មេអ្នកដុតនំប៉័ង
8,"['v002_GKH_GEN_040', 8, 'p1', 'verse', 'v2', 'plain_text']",2 ផារ៉ោន​ទ្រង់​ខ្ញាល់​នឹង​មន្ត្រី​ទាំង​ពីរ​របស់ទ្រង់ គឺ​មេអ្នកថ្វាយពែង និង​មេអ្នកដុតនំប៉័ង
9,"[9, 'p1', 'verse', 'v3', 'label']",3
10,"[10, 'p1', 'verse', 'v3', 'content']",ក៏​ដាក់​ពួកគេ​ក្នុង​ទីឃុំឃាំង នៅក្នុង​ផ្ទះ​របស់​មេបញ្ជាការ​កងរក្សាអង្គ ជា​គុក​ដែល​យ៉ូសែប​ជាប់ឃុំឃាំង​នៅ​ទីនោះ​។
