id,tag,text
1,"[1, 'label']",28
2,"[2, 's1', 'heading']",យ៉ាកុបចាកចេញពីផ្ទះ
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",អ៊ីសាក​ហៅ​យ៉ាកុប​មក​ឲ្យពរ រួច​បង្គាប់​គាត់​ថា​៖ “កុំ​យក​ប្រពន្ធ​ពី​ពួក​កូនស្រី​កាណាន​ឡើយ​។
5,"['v001_GKH_GEN_028', 5, 'p1', 'verse', 'v1', 'plain_text']",1 អ៊ីសាក​ហៅ​យ៉ាកុប​មក​ឲ្យពរ រួច​បង្គាប់​គាត់​ថា​៖ “កុំ​យក​ប្រពន្ធ​ពី​ពួក​កូនស្រី​កាណាន​ឡើយ​។
6,"[6, 'p1', 'verse', 'v2', 'label']",2
7,"[7, 'p1', 'verse', 'v2', 'content']",ចូរ​ក្រោកឡើង​ទៅ​ប៉ាដាន់-អើរ៉ាម ទៅឯ​ផ្ទះ​បេធូអែល​ឪពុក​របស់​ម្ដាយ​ឯង ហើយ​យក​ប្រពន្ធ​ពី​ទីនោះ​សម្រាប់​ខ្លួនឯង គឺ​ពី​ពួក​កូនស្រី​របស់​ឡាបាន់​បងប្រុស​របស់​ម្ដាយ​ឯង​ចុះ​។
8,"['v002_GKH_GEN_028', 8, 'p1', 'verse', 'v2', 'plain_text']",2 ចូរ​ក្រោកឡើង​ទៅ​ប៉ាដាន់-អើរ៉ាម ទៅឯ​ផ្ទះ​បេធូអែល​ឪពុក​របស់​ម្ដាយ​ឯង ហើយ​យក​ប្រពន្ធ​ពី​ទីនោះ​សម្រាប់​ខ្លួនឯង គឺ​ពី​ពួក​កូនស្រី​របស់​ឡាបាន់​បងប្រុស​របស់​ម្ដាយ​ឯង​ចុះ​។
9,"[9, 'p1', 'verse', 'v3', 'label']",3
10,"[10, 'p1', 'verse', 'v3', 'content']",សូមឲ្យ​ព្រះ​ដ៏មានព្រះចេស្ដា​ប្រទានពរ​ឯង ហើយ​ធ្វើឲ្យ​ឯង​បង្កើតកូន និង​កើនចំនួនឡើង​ចុះ ដើម្បីឲ្យ​ឯង​បាន​ទៅជា​សហគមន៍​នៃ​ជាតិសាសន៍​នានា​។
11,"['v003_GKH_GEN_028', 11, 'p1', 'verse', 'v3', 'plain_text']",3 សូមឲ្យ​ព្រះ​ដ៏មានព្រះចេស្ដា​ប្រទានពរ​ឯង ហើយ​ធ្វើឲ្យ​ឯង​បង្កើតកូន និង​កើនចំនួនឡើង​ចុះ ដើម្បីឲ្យ​ឯង​បាន​ទៅជា​សហគមន៍​នៃ​ជាតិសាសន៍​នានា​។
12,"[12, 'p1', 'verse', 'v4', 'label']",4
13,"[13, 'p1', 'verse', 'v4', 'content']",សូមឲ្យ​ព្រះអង្គ​ប្រទាន​ដល់​ឯង និង​ពូជពង្ស​របស់ឯង​ដែល​នៅជាមួយ​ឯង នូវ​ពរ​របស់​អ័ប្រាហាំ ដើម្បីឲ្យ​ឯង​បាន​យក​ទឹកដី​ដែល​ឯង​ស្នាក់នៅបណ្ដោះអាសន្ន​ជាកម្មសិទ្ធិ គឺទឹកដី​ដែល​ព្រះ​បាន​ប្រទាន​ដល់​អ័ប្រាហាំ”។
14,"['v004_GKH_GEN_028', 14, 'p1', 'verse', 'v4', 'plain_text']",4 សូមឲ្យ​ព្រះអង្គ​ប្រទាន​ដល់​ឯង និង​ពូជពង្ស​របស់ឯង​ដែល​នៅជាមួយ​ឯង នូវ​ពរ​របស់​អ័ប្រាហាំ ដើម្បីឲ្យ​ឯង​បាន​យក​ទឹកដី​ដែល​ឯង​ស្នាក់នៅបណ្ដោះអាសន្ន​ជាកម្មសិទ្ធិ គឺទឹកដី​ដែល​ព្រះ​បាន​ប្រទាន​ដល់​អ័ប្រាហាំ”។
15,"[15, 'p1', 'verse', 'v5', 'label']",5
16,"[16, 'p1', 'verse', 'v5', 'content']",គឺយ៉ាងនេះឯង​ដែល​អ៊ីសាក​បញ្ជូន​យ៉ាកុប​ទៅ យ៉ាកុប​ក៏​ទៅ​ប៉ាដាន់-អើរ៉ាម ទៅឯ​ឡាបាន់​កូនប្រុស​របស់​បេធូអែល​ជនជាតិអើរ៉ាម ដែលជា​បងប្រុស​របស់​រេបិកា​ម្ដាយ​យ៉ាកុប និង​អេសាវ​។
17,"['v005_GKH_GEN_028', 17, 'p1', 'verse', 'v5', 'plain_text']",5 គឺយ៉ាងនេះឯង​ដែល​អ៊ីសាក​បញ្ជូន​យ៉ាកុប​ទៅ យ៉ាកុប​ក៏​ទៅ​ប៉ាដាន់-អើរ៉ាម ទៅឯ​ឡាបាន់​កូនប្រុស​របស់​បេធូអែល​ជនជាតិអើរ៉ាម ដែលជា​បងប្រុស​របស់​រេបិកា​ម្ដាយ​យ៉ាកុប និង​អេសាវ​។
18,"[18, 'p2', 'verse', 'v6', 'label']",6
19,"[19, 'p2', 'verse', 'v6', 'content']",នៅពេល​អេសាវ​ឃើញ​ថា​អ៊ីសាក​បាន​ឲ្យពរ​យ៉ាកុប ហើយ​បញ្ជូន​គាត់​ទៅ​ប៉ាដាន់-អើរ៉ាម​ដើម្បី​យក​ប្រពន្ធ​ពី​ទីនោះ​សម្រាប់​ខ្លួនឯង ហើយ​ឃើញ​ថា​អ៊ីសាក​បាន​ឲ្យពរ​យ៉ាកុប ទាំង​បង្គាប់​គាត់​ថា​៖ “កុំ​យក​ប្រពន្ធ​ពី​ពួក​កូនស្រី​កាណាន​ឡើយ”
20,"['v006_GKH_GEN_028', 20, 'p2', 'verse', 'v6', 'plain_text']",6 នៅពេល​អេសាវ​ឃើញ​ថា​អ៊ីសាក​បាន​ឲ្យពរ​យ៉ាកុប ហើយ​បញ្ជូន​គាត់​ទៅ​ប៉ាដាន់-អើរ៉ាម​ដើម្បី​យក​ប្រពន្ធ​ពី​ទីនោះ​សម្រាប់​ខ្លួនឯង ហើយ​ឃើញ​ថា​អ៊ីសាក​បាន​ឲ្យពរ​យ៉ាកុប ទាំង​បង្គាប់​គាត់​ថា​៖ “កុំ​យក​ប្រពន្ធ​ពី​ពួក​កូនស្រី​កាណាន​ឡើយ”
21,"[21, 'p2', 'verse', 'v7', 'label']",7
22,"[22, 'p2', 'verse', 'v7', 'content']",ព្រមទាំង​ឃើញថា យ៉ាកុប​ស្ដាប់តាម​ឪពុក និង​ម្ដាយ​របស់គាត់ ហើយ​ចេញទៅ​ប៉ាដាន់-អើរ៉ាម
23,"['v007_GKH_GEN_028', 23, 'p2', 'verse', 'v7', 'plain_text']",7 ព្រមទាំង​ឃើញថា យ៉ាកុប​ស្ដាប់តាម​ឪពុក និង​ម្ដាយ​របស់គាត់ ហើយ​ចេញទៅ​ប៉ាដាន់-អើរ៉ាម
24,"[24, 'p2', 'verse', 'v8', 'label']",8
25,"[25, 'p2', 'verse', 'v8', 'content']",នោះ​អេសាវ​ក៏​ឃើញ​ថា​ពួក​កូនស្រី​កាណាន​ជាទីមិនពេញចិត្ត​ក្នុង​ភ្នែក​អ៊ីសាក​ឪពុក​របស់គាត់
26,"['v008_GKH_GEN_028', 26, 'p2', 'verse', 'v8', 'plain_text']",8 នោះ​អេសាវ​ក៏​ឃើញ​ថា​ពួក​កូនស្រី​កាណាន​ជាទីមិនពេញចិត្ត​ក្នុង​ភ្នែក​អ៊ីសាក​ឪពុក​របស់គាត់
27,"[27, 'p2', 'verse', 'v9', 'label']",9
28,"[28, 'p2', 'verse', 'v9', 'content']",ដូច្នេះ អេសាវ​ក៏​ទៅរក​អ៊ីសម៉ាអែល ហើយ​យក​ម៉ាហាឡាត់ ធ្វើជា​ប្រពន្ធ​មួយ​ទៀត ផ្សេងពី​ប្រពន្ធ​ដែល​គាត់​មាន​។ នាងជា​កូនស្រី​របស់​អ៊ីសម៉ាអែល​ដែលជា​កូនប្រុស​របស់​អ័ប្រាហាំ ហើយនាងជា​ប្អូនស្រី​របស់​នេបាយ៉ូត​។
29,"[29, 's1', 'heading']",យ៉ាកុបនៅបេត-អែល
30,"['v009_GKH_GEN_028', 30, 'p2', 'verse', 'v9', 'plain_text']",9 ដូច្នេះ អេសាវ​ក៏​ទៅរក​អ៊ីសម៉ាអែល ហើយ​យក​ម៉ាហាឡាត់ ធ្វើជា​ប្រពន្ធ​មួយ​ទៀត ផ្សេងពី​ប្រពន្ធ​ដែល​គាត់​មាន​។ នាងជា​កូនស្រី​របស់​អ៊ីសម៉ាអែល​ដែលជា​កូនប្រុស​របស់​អ័ប្រាហាំ ហើយនាងជា​ប្អូនស្រី​របស់​នេបាយ៉ូត​។
31,"[31, 'p3', 'verse', 'v10', 'label']",10
32,"[32, 'p3', 'verse', 'v10', 'content']",យ៉ាកុប​បាន​ចាកចេញ​ពី​បៀរ-សេបា ហើយ​ធ្វើដំណើរ​ឆ្ពោះទៅ​ហារ៉ាន​។
33,"['v010_GKH_GEN_028', 33, 'p3', 'verse', 'v10', 'plain_text']",10 យ៉ាកុប​បាន​ចាកចេញ​ពី​បៀរ-សេបា ហើយ​ធ្វើដំណើរ​ឆ្ពោះទៅ​ហារ៉ាន​។
34,"[34, 'p3', 'verse', 'v11', 'label']",11
35,"[35, 'p3', 'verse', 'v11', 'content']",គាត់​មកដល់​កន្លែង​មួយ ក៏​ស្នាក់នៅ​ទីនោះ​មួយយប់ ពីព្រោះ​ថ្ងៃ​លិច​ហើយ​។ គាត់​យក​ថ្ម​មួយ​ពី​កន្លែង​នោះ​មក​កើយ​ក្បាល រួច​ដេក​នៅ​កន្លែង​នោះ​ទៅ​។
