id,tag,text
33,"[33, 'q1_17', 'verse', 'v7', 'content']",យើង​នឹង​បំបែក​ពួកគេ​ចេញ​នៅក្នុង​យ៉ាកុប ហើយ​កម្ចាត់កម្ចាយ​ពួកគេ​នៅក្នុង​អ៊ីស្រាអែល​។
34,"['v007_GKH_GEN_049', 34, 'q1_15', 'verse', 'v7', 'plain_text']",7 កំហឹង​របស់ពួកគេ​ត្រូវបណ្ដាសា​ហើយ ដ្បិត​វា​សាហាវ សេចក្ដីក្ដៅក្រហាយ​របស់ពួកគេ​ត្រូវបណ្ដាសា​ហើយ ដ្បិត​វា​ឃោរឃៅ​។ យើង​នឹង​បំបែក​ពួកគេ​ចេញ​នៅក្នុង​យ៉ាកុប ហើយ​កម្ចាត់កម្ចាយ​ពួកគេ​នៅក្នុង​អ៊ីស្រាអែល​។
35,"[35, 'q1_18', 'verse', 'v8', 'label']",8
36,"[36, 'q1_18', 'verse', 'v8', 'content']",យូដា​អើយ បងប្អូន​របស់ឯង​នឹង​សរសើរ​ឯង
37,"[37, 'q1_19', 'verse', 'v8', 'content']",ដៃ​របស់ឯង​នឹង​នៅលើ ក​របស់​ខ្មាំងសត្រូវ​ឯង
38,"[38, 'q1_20', 'verse', 'v8', 'content']",ពួក​កូនប្រុស​របស់​ឪពុក​ឯង​នឹង​ក្រាបចុះ​នៅចំពោះ​ឯង​។
39,"['v008_GKH_GEN_049', 39, 'q1_18', 'verse', 'v8', 'plain_text']",8 យូដា​អើយ បងប្អូន​របស់ឯង​នឹង​សរសើរ​ឯង ដៃ​របស់ឯង​នឹង​នៅលើ ក​របស់​ខ្មាំងសត្រូវ​ឯង ពួក​កូនប្រុស​របស់​ឪពុក​ឯង​នឹង​ក្រាបចុះ​នៅចំពោះ​ឯង​។
40,"[40, 'q1_21', 'verse', 'v9', 'label']",9
41,"[41, 'q1_21', 'verse', 'v9', 'content']",យូដា​ជា​កូន​សិង្ហ​;
42,"[42, 'q1_22', 'verse', 'v9', 'content']",កូន​អើយ ឯង​បាន​ឡើងមក​ពី​ស៊ីរំពា​។
43,"[43, 'q1_23', 'verse', 'v9', 'content']",វា​លុតចុះ វា​ក្រាប​ដូច​សិង្ហឈ្មោល និង​ដូច​សិង្ហញី​;
44,"[44, 'q1_24', 'verse', 'v9', 'content']",តើ​នរណា​ហ៊ាន​ដាស់​វា​ឡើង​?
45,"['v009_GKH_GEN_049', 45, 'q1_21', 'verse', 'v9', 'plain_text']",9 យូដា​ជា​កូន​សិង្ហ​; កូន​អើយ ឯង​បាន​ឡើងមក​ពី​ស៊ីរំពា​។ វា​លុតចុះ វា​ក្រាប​ដូច​សិង្ហឈ្មោល និង​ដូច​សិង្ហញី​; តើ​នរណា​ហ៊ាន​ដាស់​វា​ឡើង​?
46,"[46, 'q1_25', 'verse', 'v10', 'label']",10
47,"[47, 'q1_25', 'verse', 'v10', 'content']",ដំបងរាជ្យ​នឹង​មិន​ឃ្លាតចេញ​ពី​យូដា​ឡើយ
48,"[48, 'q1_26', 'verse', 'v10', 'content']",ហើយ​ដំបងគ្រប់គ្រង​ក៏​នឹងមិនឃ្លាតចេញ​ពី​ចន្លោះ​ជើង​វា​ដែរ
49,"[49, 'q1_27', 'verse', 'v10', 'content']",រហូតដល់ ‘ស៊ីឡូរ
50,"[50, 'q1_27', 'verse', 'v10', 'note', 'f']",#49:10ស៊ីឡូរ―ន័យត្រង់គឺ “សេចក្ដីសុខសាន្ត”; សំដៅទៅលើ “ព្រះមែស៊ី”។
51,"[51, 'q1_27', 'verse', 'v10', 'content']",’ មកដល់
52,"[52, 'q1_28', 'verse', 'v10', 'content']",នោះ​បណ្ដាជន​នឹង​ស្ដាប់បង្គាប់​លោក​។
53,"['v010_GKH_GEN_049', 53, 'q1_25', 'verse', 'v10', 'plain_text']",10 ដំបងរាជ្យ​នឹង​មិន​ឃ្លាតចេញ​ពី​យូដា​ឡើយ ហើយ​ដំបងគ្រប់គ្រង​ក៏​នឹងមិនឃ្លាតចេញ​ពី​ចន្លោះ​ជើង​វា​ដែរ រហូតដល់ ‘ស៊ីឡូរ ’ មកដល់ នោះ​បណ្ដាជន​នឹង​ស្ដាប់បង្គាប់​លោក​។
54,"[54, 'q1_29', 'verse', 'v11', 'label']",11
55,"[55, 'q1_29', 'verse', 'v11', 'content']",វា​នឹង​ចង​កូនលាឈ្មោល​របស់វា​នឹង​ដើមទំពាំងបាយជូរ
56,"[56, 'q1_30', 'verse', 'v11', 'content']",ក៏​នឹង​ចង​កូន​លាញី​របស់វា​នឹង​ដើមទំពាំងបាយជូរល្អបំផុត​;
57,"[57, 'q1_31', 'verse', 'v11', 'content']",វា​នឹង​បោក​សម្លៀកបំពាក់​របស់ខ្លួន​ក្នុង​ស្រាទំពាំងបាយជូរ
58,"[58, 'q1_32', 'verse', 'v11', 'content']",ក៏​នឹង​បោក​អាវវែង​របស់ខ្លួន​ក្នុង​ទឹកទំពាំងបាយជូរ​។
59,"['v011_GKH_GEN_049', 59, 'q1_29', 'verse', 'v11', 'plain_text']",11 វា​នឹង​ចង​កូនលាឈ្មោល​របស់វា​នឹង​ដើមទំពាំងបាយជូរ ក៏​នឹង​ចង​កូន​លាញី​របស់វា​នឹង​ដើមទំពាំងបាយជូរល្អបំផុត​; វា​នឹង​បោក​សម្លៀកបំពាក់​របស់ខ្លួន​ក្នុង​ស្រាទំពាំងបាយជូរ ក៏​នឹង​បោក​អាវវែង​របស់ខ្លួន​ក្នុង​ទឹកទំពាំងបាយជូរ​។
60,"[60, 'q1_33', 'verse', 'v12', 'label']",12
61,"[61, 'q1_33', 'verse', 'v12', 'content']",ភ្នែក​របស់វា​ក្រហម​ជាង​ស្រាទំពាំងបាយជូរ
62,"[62, 'q1_34', 'verse', 'v12', 'content']",ហើយ​ធ្មេញ​របស់វា​ក៏​ស​ជាង​ទឹកដោះ
63,"[63, 'q1_34', 'verse', 'v12', 'note', 'f']",#49:12ភ្នែក​របស់វា​ក្រហម​ជាង​ស្រាទំពាំងបាយជូរ ហើយ​ធ្មេញរបស់វា​ក៏​ស​ជាង​ទឹកដោះ​―ឬ “ភ្នែក​របស់វា​ក្រហម​មកពីស្រាទំពាំងបាយជូរ ហើយ​ធ្មេញរបស់វា​ក៏​ស​មកពីទឹកដោះ”។
64,"[64, 'q1_34', 'verse', 'v12', 'content']",​។
65,"['v012_GKH_GEN_049', 65, 'q1_33', 'verse', 'v12', 'plain_text']",12 ភ្នែក​របស់វា​ក្រហម​ជាង​ស្រាទំពាំងបាយជូរ ហើយ​ធ្មេញ​របស់វា​ក៏​ស​ជាង​ទឹកដោះ ​។
66,"[66, 'q1_35', 'verse', 'v13', 'label']",13
67,"[67, 'q1_35', 'verse', 'v13', 'content']",សាប់យូឡូន​នឹង​រស់នៅ​តាម​ឆ្នេរសមុទ្រ
68,"[68, 'q1_36', 'verse', 'v13', 'content']",វា​នឹង​ទៅជា​កំពង់ផែ​សម្រាប់​នាវា
69,"[69, 'q1_37', 'verse', 'v13', 'content']",ហើយ​ព្រំប្រទល់​របស់វា​នឹង​ទៅដល់​ស៊ីដូន​។
70,"['v013_GKH_GEN_049', 70, 'q1_35', 'verse', 'v13', 'plain_text']",13 សាប់យូឡូន​នឹង​រស់នៅ​តាម​ឆ្នេរសមុទ្រ វា​នឹង​ទៅជា​កំពង់ផែ​សម្រាប់​នាវា ហើយ​ព្រំប្រទល់​របស់វា​នឹង​ទៅដល់​ស៊ីដូន​។
71,"[71, 'q1_38', 'verse', 'v14', 'label']",14
72,"[72, 'q1_38', 'verse', 'v14', 'content']",អ៊ីសាខារ​ជា​លា​ដ៏ខ្លាំង
73,"[73, 'q1_39', 'verse', 'v14', 'content']",ដែល​ដេក​នៅចន្លោះ​ក្រោលចៀម​។
74,"['v014_GKH_GEN_049', 74, 'q1_38', 'verse', 'v14', 'plain_text']",14 អ៊ីសាខារ​ជា​លា​ដ៏ខ្លាំង ដែល​ដេក​នៅចន្លោះ​ក្រោលចៀម​។
75,"[75, 'q1_40', 'verse', 'v15', 'label']",15
76,"[76, 'q1_40', 'verse', 'v15', 'content']",ពេល​វា​ឃើញ​ថា​មាន​ទីសម្រាក​ល្អ
77,"[77, 'q1_41', 'verse', 'v15', 'content']",ហើយ​ទឹកដី​នោះ​គួរឲ្យពេញចិត្ត
78,"[78, 'q1_42', 'verse', 'v15', 'content']",វា​ក៏​ឱន​ស្មា​ដើម្បី​ផ្ទុកបន្ទុក
79,"[79, 'q1_43', 'verse', 'v15', 'content']",ហើយ​ធ្វើជា​ទាសករបម្រើ​។
80,"['v015_GKH_GEN_049', 80, 'q1_40', 'verse', 'v15', 'plain_text']",15 ពេល​វា​ឃើញ​ថា​មាន​ទីសម្រាក​ល្អ ហើយ​ទឹកដី​នោះ​គួរឲ្យពេញចិត្ត វា​ក៏​ឱន​ស្មា​ដើម្បី​ផ្ទុកបន្ទុក ហើយ​ធ្វើជា​ទាសករបម្រើ​។
81,"[81, 'q1_44', 'verse', 'v16', 'label']",16
82,"[82, 'q1_44', 'verse', 'v16', 'content']",ដាន់​នឹង​ជំនុំជម្រះ​ប្រជាជន​របស់ខ្លួន
83,"[83, 'q1_45', 'verse', 'v16', 'content']",ក្នុងនាមជា​កុលសម្ព័ន្ធ​មួយ​នៃ​អ៊ីស្រាអែល​។
84,"['v016_GKH_GEN_049', 84, 'q1_44', 'verse', 'v16', 'plain_text']",16 ដាន់​នឹង​ជំនុំជម្រះ​ប្រជាជន​របស់ខ្លួន ក្នុងនាមជា​កុលសម្ព័ន្ធ​មួយ​នៃ​អ៊ីស្រាអែល​។
85,"[85, 'q1_46', 'verse', 'v17', 'label']",17
86,"[86, 'q1_46', 'verse', 'v17', 'content']",ដាន់​នឹង​បានជា​ពស់​នៅតាម​ផ្លូវ
87,"[87, 'q1_47', 'verse', 'v17', 'content']",ជា​ពស់វែក​នៅតាម​គន្លង ដែល​ចឹក​កែងជើង​សេះ
88,"[88, 'q1_48', 'verse', 'v17', 'content']",ធ្វើឲ្យ​អ្នកដែល​ជិះ​ធ្លាក់​ផ្ងារក្រោយ​។
89,"['v017_GKH_GEN_049', 89, 'q1_46', 'verse', 'v17', 'plain_text']",17 ដាន់​នឹង​បានជា​ពស់​នៅតាម​ផ្លូវ ជា​ពស់វែក​នៅតាម​គន្លង ដែល​ចឹក​កែងជើង​សេះ ធ្វើឲ្យ​អ្នកដែល​ជិះ​ធ្លាក់​ផ្ងារក្រោយ​។
90,"[90, 'q1_49', 'verse', 'v18', 'label']",18
91,"[91, 'q1_49', 'verse', 'v18', 'content']",ព្រះយេហូវ៉ា​អើយ ទូលបង្គំ​ទន្ទឹងរង់ចាំ​សេចក្ដីសង្គ្រោះ​របស់ព្រះអង្គ​!
92,"['v018_GKH_GEN_049', 92, 'q1_49', 'verse', 'v18', 'plain_text']",18 ព្រះយេហូវ៉ា​អើយ ទូលបង្គំ​ទន្ទឹងរង់ចាំ​សេចក្ដីសង្គ្រោះ​របស់ព្រះអង្គ​!
93,"[93, 'q1_50', 'verse', 'v19', 'label']",19
94,"[94, 'q1_50', 'verse', 'v19', 'content']",រីឯ​កាដ ពួករុករាន​នឹង​រុករាន​វា
95,"[95, 'q1_51', 'verse', 'v19', 'content']",ប៉ុន្តែ​វា​នឹង​រុករាន​កែងជើង​គេ​វិញ​។
96,"['v019_GKH_GEN_049', 96, 'q1_50', 'verse', 'v19', 'plain_text']",19 រីឯ​កាដ ពួករុករាន​នឹង​រុករាន​វា ប៉ុន្តែ​វា​នឹង​រុករាន​កែងជើង​គេ​វិញ​។
97,"[97, 'q1_52', 'verse', 'v20', 'label']",20
98,"[98, 'q1_52', 'verse', 'v20', 'content']",ស្បៀងអាហារ​របស់​អេស៊ើរ​នឹង​មាន​សម្បូរហូរហៀរ
99,"[99, 'q1_53', 'verse', 'v20', 'content']",វា​នឹង​ផ្ដល់​អាហារប្រណិត​សម្រាប់​ស្ដេច​។
100,"['v020_GKH_GEN_049', 100, 'q1_52', 'verse', 'v20', 'plain_text']",20 ស្បៀងអាហារ​របស់​អេស៊ើរ​នឹង​មាន​សម្បូរហូរហៀរ វា​នឹង​ផ្ដល់​អាហារប្រណិត​សម្រាប់​ស្ដេច​។
101,"[101, 'q1_54', 'verse', 'v21', 'label']",21
102,"[102, 'q1_54', 'verse', 'v21', 'content']",ណែបថាលី​ជា​ក្ដាន់ញី​ដែល​ត្រូវបាន​លែង
103,"[103, 'q1_55', 'verse', 'v21', 'content']",វា​នឹង​ពោល​ពាក្យសម្ដី​ពីរោះ​។
104,"['v021_GKH_GEN_049', 104, 'q1_54', 'verse', 'v21', 'plain_text']",21 ណែបថាលី​ជា​ក្ដាន់ញី​ដែល​ត្រូវបាន​លែង វា​នឹង​ពោល​ពាក្យសម្ដី​ពីរោះ​។
105,"[105, 'q1_56', 'verse', 'v22', 'label']",22
106,"[106, 'q1_56', 'verse', 'v22', 'content']",យ៉ូសែប​ជា​មែកឈើ​ដ៏​សម្បូរផលផ្លែ
107,"[107, 'q1_57', 'verse', 'v22', 'content']",ជា​មែកឈើ​សម្បូរផលផ្លែ​នៅក្បែរ​ប្រភពទឹក​;
108,"[108, 'q1_58', 'verse', 'v22', 'content']",មែក​វា​នឹង​វាររំលង​កំពែង​។
109,"['v022_GKH_GEN_049', 109, 'q1_56', 'verse', 'v22', 'plain_text']",22 យ៉ូសែប​ជា​មែកឈើ​ដ៏​សម្បូរផលផ្លែ ជា​មែកឈើ​សម្បូរផលផ្លែ​នៅក្បែរ​ប្រភពទឹក​; មែក​វា​នឹង​វាររំលង​កំពែង​។
110,"[110, 'q1_59', 'verse', 'v23', 'label']",23
111,"[111, 'q1_59', 'verse', 'v23', 'content']",ពួក​ខ្មាន់ធ្នូ​បាន​វាយប្រហារ​វា​យ៉ាងល្វីងជូរចត់ ក៏​បាញ់ព្រួញ ហើយ​បៀតបៀន​វា​។
112,"['v023_GKH_GEN_049', 112, 'q1_59', 'verse', 'v23', 'plain_text']",23 ពួក​ខ្មាន់ធ្នូ​បាន​វាយប្រហារ​វា​យ៉ាងល្វីងជូរចត់ ក៏​បាញ់ព្រួញ ហើយ​បៀតបៀន​វា​។
113,"[113, 'q1_60', 'verse', 'v24', 'label']",24
114,"[114, 'q1_60', 'verse', 'v24', 'content']",យ៉ាងណាមិញ ធ្នូ​របស់វា​នៅតែ​មាំមួន ហើយ​ដើមដៃ​វា​រហ័សរហួន
115,"[115, 'q1_61', 'verse', 'v24', 'content']",គឺ​មកពី​ព្រះហស្ត​នៃ​ព្រះដ៏មានព្រះចេស្ដា​របស់​យ៉ាកុប
116,"[116, 'q1_62', 'verse', 'v24', 'content']",គឺ​មកពី​អ្នកគង្វាល​ជា​ថ្មដា​នៃ​អ៊ីស្រាអែល
117,"['v024_GKH_GEN_049', 117, 'q1_60', 'verse', 'v24', 'plain_text']",24 យ៉ាងណាមិញ ធ្នូ​របស់វា​នៅតែ​មាំមួន ហើយ​ដើមដៃ​វា​រហ័សរហួន គឺ​មកពី​ព្រះហស្ត​នៃ​ព្រះដ៏មានព្រះចេស្ដា​របស់​យ៉ាកុប គឺ​មកពី​អ្នកគង្វាល​ជា​ថ្មដា​នៃ​អ៊ីស្រាអែល
118,"[118, 'q1_63', 'verse', 'v25', 'label']",25
119,"[119, 'q1_63', 'verse', 'v25', 'content']",ក៏​មកពី​ព្រះ​របស់​ឪពុក​ឯង ដ្បិត​ព្រះអង្គ​បាន​ជួយ​ឯង​។
120,"[120, 'q1_64', 'verse', 'v25', 'content']",ព្រះដ៏មានព្រះចេស្ដា​នឹង​ប្រទានពរ​ឯង
121,"[121, 'q1_65', 'verse', 'v25', 'content']",ជា​ព្រះពរ​នៃ​ស្ថានសួគ៌​នៅ​ខាងលើ
122,"[122, 'q1_66', 'verse', 'v25', 'content']",ជា​ព្រះពរ​នៃ​ទីជម្រៅ​នៅ​ខាងក្រោម
123,"[123, 'q1_67', 'verse', 'v25', 'content']",ជា​ព្រះពរ​នៃ​ដោះ និង​ផ្ទៃ​។
124,"['v025_GKH_GEN_049', 124, 'q1_63', 'verse', 'v25', 'plain_text']",25 ក៏​មកពី​ព្រះ​របស់​ឪពុក​ឯង ដ្បិត​ព្រះអង្គ​បាន​ជួយ​ឯង​។ ព្រះដ៏មានព្រះចេស្ដា​នឹង​ប្រទានពរ​ឯង ជា​ព្រះពរ​នៃ​ស្ថានសួគ៌​នៅ​ខាងលើ ជា​ព្រះពរ​នៃ​ទីជម្រៅ​នៅ​ខាងក្រោម ជា​ព្រះពរ​នៃ​ដោះ និង​ផ្ទៃ​។
125,"[125, 'q1_68', 'verse', 'v26', 'label']",26
126,"[126, 'q1_68', 'verse', 'v26', 'content']",ពរ​របស់យើង​ជា​ឪពុក​ឯង លើស​ជាង​ពរ​របស់​ដូនតា​យើង
127,"[127, 'q1_69', 'verse', 'v26', 'content']",រហូតដល់​ចុងបំផុត​នៃ​ទីទួល​នានា​ដ៏អស់កល្បជានិច្ច​។
128,"[128, 'q1_70', 'verse', 'v26', 'content']",សូមឲ្យ​ពរទាំងនោះ​នៅលើ​ក្បាល​របស់​យ៉ូសែប
129,"[129, 'q1_71', 'verse', 'v26', 'content']",និង​នៅលើ​ក្រយៅក្បាល​របស់​អ្នកដែលត្រូវបានញែកចេញ​ពី​ពួក​បងប្អូន​វា​។
130,"['v026_GKH_GEN_049', 130, 'q1_68', 'verse', 'v26', 'plain_text']",26 ពរ​របស់យើង​ជា​ឪពុក​ឯង លើស​ជាង​ពរ​របស់​ដូនតា​យើង រហូតដល់​ចុងបំផុត​នៃ​ទីទួល​នានា​ដ៏អស់កល្បជានិច្ច​។ សូមឲ្យ​ពរទាំងនោះ​នៅលើ​ក្បាល​របស់​យ៉ូសែប និង​នៅលើ​ក្រយៅក្បាល​របស់​អ្នកដែលត្រូវបានញែកចេញ​ពី​ពួក​បងប្អូន​វា​។
131,"[131, 'q1_72', 'verse', 'v27', 'label']",27
132,"[132, 'q1_72', 'verse', 'v27', 'content']",បេនយ៉ាមីន​ជា​ចចក​ដែល​ហែកស៊ី​;
133,"[133, 'q1_73', 'verse', 'v27', 'content']",នៅ​ពេលព្រឹក​វា​ស៊ី​រំពា
134,"[134, 'q1_74', 'verse', 'v27', 'content']",នៅ​ពេលល្ងាច​វា​ចែក​ជ័យភណ្ឌ”។
135,"['v027_GKH_GEN_049', 135, 'q1_72', 'verse', 'v27', 'plain_text']",27 បេនយ៉ាមីន​ជា​ចចក​ដែល​ហែកស៊ី​; នៅ​ពេលព្រឹក​វា​ស៊ី​រំពា នៅ​ពេលល្ងាច​វា​ចែក​ជ័យភណ្ឌ”។
136,"[136, 'p2', 'verse', 'v28', 'label']",28
137,"[137, 'p2', 'verse', 'v28', 'content']",ទាំងអស់​នេះ​ជា​កុលសម្ព័ន្ធ​ទាំង​ដប់ពីរ​របស់​អ៊ីស្រាអែល ហើយ​នេះ​ជាសេចក្ដី​ដែល​ឪពុក​របស់ពួកគេ​បាន​និយាយ​នឹង​ពួកគេ​។ គាត់​ឲ្យពរ​ពួកគេ គឺ​ឲ្យពរ​ពួកគេ​ម្នាក់ៗ​តាម​ពរ​របស់គេរៀងៗខ្លួន​។
138,"[138, 's1', 'heading']",មរណភាពរបស់យ៉ាកុប
139,"['v028_GKH_GEN_049', 139, 'p2', 'verse', 'v28', 'plain_text']",28 ទាំងអស់​នេះ​ជា​កុលសម្ព័ន្ធ​ទាំង​ដប់ពីរ​របស់​អ៊ីស្រាអែល ហើយ​នេះ​ជាសេចក្ដី​ដែល​ឪពុក​របស់ពួកគេ​បាន​និយាយ​នឹង​ពួកគេ​។ គាត់​ឲ្យពរ​ពួកគេ គឺ​ឲ្យពរ​ពួកគេ​ម្នាក់ៗ​តាម​ពរ​របស់គេរៀងៗខ្លួន​។
140,"[140, 'p3', 'verse', 'v29', 'label']",29
