[1, 'label']	119
[2, 's1', 'heading']	Psalm 119
[3, 's1', 'note', 'f', 'body']	sn Psalm 119. The psalmist celebrates God’s law and the guidance it provides his people. He expresses his desire to know God’s law thoroughly so that he might experience the blessings that come to those who obey it. This lengthy psalm exhibits an elaborate acrostic pattern. The psalm is divided into twenty-two sections (corresponding to the letters of the Hebrew alphabet), each of which is comprised of eight verses. Each of the verses in the first section (vv. 1-8) begins with the letter alef (א), the first letter of the Hebrew alphabet. This pattern continues throughout the psalm as each new section highlights a successive letter of the alphabet. Each verse in section two (vv. 9-16) begins with the second letter of the alphabet, each verse in section three (vv. 17-24) with the third letter, etc. This rigid pattern creates a sense of order and completeness and may have facilitated memorization.
[4, 'p1', 'content']	א (
[5, 'p1', 'it', 'content']	Alef
[6, 'p1', 'content']	)
[7, 'p2', 'verse', 'v1', 'label']	1
[8, 'p2', 'verse', 'v1', 'content']	How blessed are those whose actions are blameless,
[9, 'p2', 'verse', 'v1', 'note', 'f']	tn Heb “[Oh] the happiness of those who are blameless of way.”
[10, 'p3', 'verse', 'v1', 'content']	who obey
[11, 'p3', 'verse', 'v1', 'note', 'f']	tn Heb “walk in.”
[12, 'p3', 'verse', 'v1', 'content']	the law of the
[13, 'p3', 'verse', 'v1', 'sc']	Lord
[14, 'p3', 'verse', 'v1', 'content']	.
[15, 'p2', 'verse', 'v1', 'plain_text']	1 How blessed are those whose actions are blameless, who obey the law of the .
[16, 'p4', 'verse', 'v2', 'label']	2
[17, 'p4', 'verse', 'v2', 'content']	How blessed are those who observe his rules,
[18, 'p5', 'verse', 'v2', 'content']	and seek him with all their heart,
[19, 'p4', 'verse', 'v2', 'plain_text']	2 How blessed are those who observe his rules, and seek him with all their heart,
[20, 'p6', 'verse', 'v3', 'label']	3
[21, 'p6', 'verse', 'v3', 'content']	who, moreover, do no wrong,
[22, 'p7', 'verse', 'v3', 'content']	but follow in his footsteps.
[23, 'p7', 'verse', 'v3', 'note', 'f']	tn Heb “walk in his ways.”
[24, 'p6', 'verse', 'v3', 'plain_text']	3 who, moreover, do no wrong, but follow in his footsteps.
[25, 'p8', 'verse', 'v4', 'label']	4
[26, 'p8', 'verse', 'v4', 'content']	You demand that your precepts
[27, 'p9', 'verse', 'v4', 'content']	be carefully kept.
[28, 'p9', 'verse', 'v4', 'note', 'f']	tn Heb “you, you commanded your precepts, to keep, very much.”
[29, 'p8', 'verse', 'v4', 'plain_text']	4 You demand that your precepts be carefully kept.
[30, 'p10', 'verse', 'v5', 'label']	5
[31, 'p10', 'verse', 'v5', 'content']	If only I were predisposed
[32, 'p10', 'verse', 'v5', 'note', 'f']	tn Heb “if only my ways were established.”
[33, 'p11', 'verse', 'v5', 'content']	to keep your statutes!
[34, 'p10', 'verse', 'v5', 'plain_text']	5 If only I were predisposed to keep your statutes!
[35, 'p12', 'verse', 'v6', 'label']	6
[36, 'p12', 'verse', 'v6', 'content']	Then I would not be ashamed,
[37, 'p13', 'verse', 'v6', 'content']	if
[38, 'p13', 'verse', 'v6', 'note', 'f']	tn Or “when.”
[39, 'p13', 'verse', 'v6', 'content']	I were focused on
[40, 'p13', 'verse', 'v6', 'note', 'f']	tn Heb “I gaze at.”
[41, 'p13', 'verse', 'v6', 'content']	all your commands.
[42, 'p12', 'verse', 'v6', 'plain_text']	6 Then I would not be ashamed, if I were focused on all your commands.
[43, 'p14', 'verse', 'v7', 'label']	7
[44, 'p14', 'verse', 'v7', 'content']	I will give you sincere thanks,
