[1, 'label']	42
[2, 's1', 'heading']	Joseph’s Brothers Go to Egypt
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	When
[5, 'p1', 'verse', 'v1', 'note', 'x']	#Acts 7:12
[6, 'p1', 'verse', 'v1', 'content']	Jacob learned that there was grain for sale in Egypt, he said to his sons, “Why do you look at one another?”
['v001_ESV_GEN_042', 7, 'p1', 'verse', 'v1', 'plain_text']	1 When Jacob learned that there was grain for sale in Egypt, he said to his sons, “Why do you look at one another?”
[8, 'p1', 'verse', 'v2', 'label']	2
[9, 'p1', 'verse', 'v2', 'content']	And he said, “Behold, I have heard that there is grain for sale in Egypt. Go down and buy grain for us there, that we may
[10, 'p1', 'verse', 'v2', 'note', 'x']	#ch.43:8
[11, 'p1', 'verse', 'v2', 'content']	live and not die.”
['v002_ESV_GEN_042', 12, 'p1', 'verse', 'v2', 'plain_text']	2 And he said, “Behold, I have heard that there is grain for sale in Egypt. Go down and buy grain for us there, that we may live and not die.”
[13, 'p1', 'verse', 'v3', 'label']	3
[14, 'p1', 'verse', 'v3', 'content']	So ten of Joseph’s brothers went down to buy grain in Egypt.
['v003_ESV_GEN_042', 15, 'p1', 'verse', 'v3', 'plain_text']	3 So ten of Joseph’s brothers went down to buy grain in Egypt.
[16, 'p1', 'verse', 'v4', 'label']	4
[17, 'p1', 'verse', 'v4', 'content']	But Jacob did not send Benjamin,
[18, 'p1', 'verse', 'v4', 'note', 'x']	#ch.35:18
[19, 'p1', 'verse', 'v4', 'content']	Joseph’s brother, with his brothers, for
[20, 'p1', 'verse', 'v4', 'note', 'x']	#ver.38
[21, 'p1', 'verse', 'v4', 'content']	he feared that harm might happen to him.
['v004_ESV_GEN_042', 22, 'p1', 'verse', 'v4', 'plain_text']	4 But Jacob did not send Benjamin, Joseph’s brother, with his brothers, for he feared that harm might happen to him.
[23, 'p1', 'verse', 'v5', 'label']	5
[24, 'p1', 'verse', 'v5', 'content']	Thus the sons of Israel came to buy among the others who came, for the famine was in the land of Canaan.
['v005_ESV_GEN_042', 25, 'p1', 'verse', 'v5', 'plain_text']	5 Thus the sons of Israel came to buy among the others who came, for the famine was in the land of Canaan.
[26, 'p2', 'verse', 'v6', 'label']	6
[27, 'p2', 'verse', 'v6', 'content']	Now Joseph was governor
[28, 'p2', 'verse', 'v6', 'note', 'x']	#ch.41:41
[29, 'p2', 'verse', 'v6', 'content']	over the land. He was the one who sold to all the people of the land. And Joseph’s brothers came and
[30, 'p2', 'verse', 'v6', 'note', 'x']	#ch.37:7,9,10
[31, 'p2', 'verse', 'v6', 'content']	bowed themselves before him with their faces to the ground.
['v006_ESV_GEN_042', 32, 'p2', 'verse', 'v6', 'plain_text']	6 Now Joseph was governor over the land. He was the one who sold to all the people of the land. And Joseph’s brothers came and bowed themselves before him with their faces to the ground.
[33, 'p2', 'verse', 'v7', 'label']	7
[34, 'p2', 'verse', 'v7', 'content']	Joseph saw his brothers and recognized them, but he treated them like strangers and
[35, 'p2', 'verse', 'v7', 'note', 'x']	#ver.30
[36, 'p2', 'verse', 'v7', 'content']	spoke roughly to them. “Where do you come from?” he said. They said, “From the land of Canaan, to buy food.”
['v007_ESV_GEN_042', 37, 'p2', 'verse', 'v7', 'plain_text']	7 Joseph saw his brothers and recognized them, but he treated them like strangers and spoke roughly to them. “Where do you come from?” he said. They said, “From the land of Canaan, to buy food.”
[38, 'p2', 'verse', 'v8', 'label']	8
[39, 'p2', 'verse', 'v8', 'content']	And Joseph recognized his brothers, but they did not recognize him.
['v008_ESV_GEN_042', 40, 'p2', 'verse', 'v8', 'plain_text']	8 And Joseph recognized his brothers, but they did not recognize him.
[41, 'p2', 'verse', 'v9', 'label']	9
[42, 'p2', 'verse', 'v9', 'content']	And Joseph
[43, 'p2', 'verse', 'v9', 'note', 'x']	#ch.37:5,9
[44, 'p2', 'verse', 'v9', 'content']	remembered the dreams that he had dreamed of them.
[45, 'p2', 'verse', 'v9', 'note', 'x']	#ver.7, 30
[46, 'p2', 'verse', 'v9', 'content']	And he said to them, “You are spies; you have come to see the nakedness of the land.”
['v009_ESV_GEN_042', 47, 'p2', 'verse', 'v9', 'plain_text']	9 And Joseph remembered the dreams that he had dreamed of them. And he said to them, “You are spies; you have come to see the nakedness of the land.”
[48, 'p2', 'verse', 'v10', 'label']	10
[49, 'p2', 'verse', 'v10', 'content']	They said to him, “No, my lord, your servants have come to buy food.
['v010_ESV_GEN_042', 50, 'p2', 'verse', 'v10', 'plain_text']	10 They said to him, “No, my lord, your servants have come to buy food.
[51, 'p2', 'verse', 'v11', 'label']	11
[52, 'p2', 'verse', 'v11', 'content']	We are all sons of one man. We are honest men. Your servants have never been spies.”
['v011_ESV_GEN_042', 53, 'p2', 'verse', 'v11', 'plain_text']	11 We are all sons of one man. We are honest men. Your servants have never been spies.”
[54, 'p3', 'verse', 'v12', 'label']	12
[55, 'p3', 'verse', 'v12', 'content']	He said to them, “No, it is the nakedness of the land that you have come to see.”
['v012_ESV_GEN_042', 56, 'p3', 'verse', 'v12', 'plain_text']	12 He said to them, “No, it is the nakedness of the land that you have come to see.”
[57, 'p3', 'verse', 'v13', 'label']	13
