[1, 'label']	38
['v012_ESV_GEN_038', 72, 'p3', 'verse', 'v12', 'plain_text']	12 In the course of time the wife of Judah, Shua’s daughter, died. When Judah was comforted, he went up to Timnah to his sheepshearers, he and his friend Hirah the Adullamite.
[73, 'p3', 'verse', 'v13', 'label']	13
[74, 'p3', 'verse', 'v13', 'content']	And when Tamar was told, “Your father-in-law is going up to Timnah to shear his sheep,”
['v013_ESV_GEN_038', 75, 'p3', 'verse', 'v13', 'plain_text']	13 And when Tamar was told, “Your father-in-law is going up to Timnah to shear his sheep,”
[76, 'p3', 'verse', 'v14', 'label']	14
[77, 'p3', 'verse', 'v14', 'content']	she took off her widow’s garments
[78, 'p3', 'verse', 'v14', 'note', 'x']	#[ver. 19;ch.24:65]
[79, 'p3', 'verse', 'v14', 'content']	and covered herself with a veil, wrapping herself up, and sat at the entrance to
[80, 'p3', 'verse', 'v14', 'note', 'x']	#ver.21
[81, 'p3', 'verse', 'v14', 'content']	Enaim, which is on the road to Timnah. For she saw that Shelah was grown up,
[82, 'p3', 'verse', 'v14', 'note', 'x']	#ver.26
[83, 'p3', 'verse', 'v14', 'content']	and she had not been given to him in marriage.
['v014_ESV_GEN_038', 84, 'p3', 'verse', 'v14', 'plain_text']	14 she took off her widow’s garments and covered herself with a veil, wrapping herself up, and sat at the entrance to Enaim, which is on the road to Timnah. For she saw that Shelah was grown up, and she had not been given to him in marriage.
[85, 'p3', 'verse', 'v15', 'label']	15
[86, 'p3', 'verse', 'v15', 'content']	When Judah saw her, he thought she was a prostitute, for she had covered her face.
['v015_ESV_GEN_038', 87, 'p3', 'verse', 'v15', 'plain_text']	15 When Judah saw her, he thought she was a prostitute, for she had covered her face.
[88, 'p3', 'verse', 'v16', 'label']	16
[89, 'p3', 'verse', 'v16', 'content']	He turned to her at the roadside and said, “Come, let me come in to you,” for he did not know that she was his daughter-in-law. She said, “What will you give me, that you may come in to me?”
['v016_ESV_GEN_038', 90, 'p3', 'verse', 'v16', 'plain_text']	16 He turned to her at the roadside and said, “Come, let me come in to you,” for he did not know that she was his daughter-in-law. She said, “What will you give me, that you may come in to me?”
[91, 'p3', 'verse', 'v17', 'label']	17
[92, 'p3', 'verse', 'v17', 'content']	He answered, “I will send you a young goat from the flock.” And she said, “If you give me a pledge, until you send it—”
['v017_ESV_GEN_038', 93, 'p3', 'verse', 'v17', 'plain_text']	17 He answered, “I will send you a young goat from the flock.” And she said, “If you give me a pledge, until you send it—”
[94, 'p3', 'verse', 'v18', 'label']	18
[95, 'p3', 'verse', 'v18', 'content']	He said, “What pledge shall I give you?” She replied,
[96, 'p3', 'verse', 'v18', 'note', 'x']	#ver.25
[97, 'p3', 'verse', 'v18', 'content']	“Your signet and your cord and your staff that is in your hand.” So he gave them to her and went in to her, and she conceived by him.
['v018_ESV_GEN_038', 98, 'p3', 'verse', 'v18', 'plain_text']	18 He said, “What pledge shall I give you?” She replied, “Your signet and your cord and your staff that is in your hand.” So he gave them to her and went in to her, and she conceived by him.
[99, 'p3', 'verse', 'v19', 'label']	19
[100, 'p3', 'verse', 'v19', 'content']	Then she arose and went away, and taking off
[101, 'p3', 'verse', 'v19', 'note', 'x']	#ver.14
[102, 'p3', 'verse', 'v19', 'content']	her veil she put on the garments of her widowhood.
['v019_ESV_GEN_038', 103, 'p3', 'verse', 'v19', 'plain_text']	19 Then she arose and went away, and taking off her veil she put on the garments of her widowhood.
[104, 'p4', 'verse', 'v20', 'label']	20
[105, 'p4', 'verse', 'v20', 'content']	When Judah sent the young goat by his friend the Adullamite to take back the pledge from the woman’s hand, he did not find her.
['v020_ESV_GEN_038', 106, 'p4', 'verse', 'v20', 'plain_text']	20 When Judah sent the young goat by his friend the Adullamite to take back the pledge from the woman’s hand, he did not find her.
[107, 'p4', 'verse', 'v21', 'label']	21
[108, 'p4', 'verse', 'v21', 'content']	And he asked the men of the place, “Where is the cult prostitute
[109, 'p4', 'verse', 'v21', 'note', 'f']	#38:21Hebrewsacred woman; a woman who served a pagan deity by prostitution; also verse 22
[110, 'p4', 'verse', 'v21', 'content']	who was at
[111, 'p4', 'verse', 'v21', 'note', 'x']	#ver.14
[112, 'p4', 'verse', 'v21', 'content']	Enaim at the roadside?” And they said, “No cult prostitute has been here.”
['v021_ESV_GEN_038', 113, 'p4', 'verse', 'v21', 'plain_text']	21 And he asked the men of the place, “Where is the cult prostitute who was at Enaim at the roadside?” And they said, “No cult prostitute has been here.”
[114, 'p4', 'verse', 'v22', 'label']	22
[115, 'p4', 'verse', 'v22', 'content']	So he returned to Judah and said, “I have not found her. Also, the men of the place said, ‘No cult prostitute has been here.’”
['v022_ESV_GEN_038', 116, 'p4', 'verse', 'v22', 'plain_text']	22 So he returned to Judah and said, “I have not found her. Also, the men of the place said, ‘No cult prostitute has been here.’”
[117, 'p4', 'verse', 'v23', 'label']	23
[118, 'p4', 'verse', 'v23', 'content']	And Judah replied, “Let her keep the things as her own, or we shall be laughed at. You see, I sent this young goat, and you did not find her.”
['v023_ESV_GEN_038', 119, 'p4', 'verse', 'v23', 'plain_text']	23 And Judah replied, “Let her keep the things as her own, or we shall be laughed at. You see, I sent this young goat, and you did not find her.”
[120, 'p5', 'verse', 'v24', 'label']	24
[121, 'p5', 'verse', 'v24', 'content']	About three months later Judah was told, “Tamar your daughter-in-law
[122, 'p5', 'verse', 'v24', 'note', 'x']	#Judg. 19:2
[123, 'p5', 'verse', 'v24', 'content']	has been immoral.
[124, 'p5', 'verse', 'v24', 'note', 'f']	#38:24Orhas committed prostitution
[125, 'p5', 'verse', 'v24', 'content']	Moreover, she is pregnant by immorality.”
[126, 'p5', 'verse', 'v24', 'note', 'f']	#38:24Orby prostitution
[127, 'p5', 'verse', 'v24', 'content']	And Judah said, “Bring her out, and
[128, 'p5', 'verse', 'v24', 'note', 'x']	#Lev. 21:9;[Deut. 22:21;John 8:5]
[129, 'p5', 'verse', 'v24', 'content']	let her be burned.”
['v024_ESV_GEN_038', 130, 'p5', 'verse', 'v24', 'plain_text']	24 About three months later Judah was told, “Tamar your daughter-in-law has been immoral. Moreover, she is pregnant by immorality.” And Judah said, “Bring her out, and let her be burned.”
[131, 'p5', 'verse', 'v25', 'label']	25
[132, 'p5', 'verse', 'v25', 'content']	As she was being brought out, she sent word to her father-in-law, “By the man to whom these belong, I am pregnant.” And she said, “Please identify whose these are,
[133, 'p5', 'verse', 'v25', 'note', 'x']	#ver.18
[134, 'p5', 'verse', 'v25', 'content']	the signet and the cord and the staff.”
['v025_ESV_GEN_038', 135, 'p5', 'verse', 'v25', 'plain_text']	25 As she was being brought out, she sent word to her father-in-law, “By the man to whom these belong, I am pregnant.” And she said, “Please identify whose these are, the signet and the cord and the staff.”
[136, 'p5', 'verse', 'v26', 'label']	26
[137, 'p5', 'verse', 'v26', 'content']	Then Judah identified them and said,
[138, 'p5', 'verse', 'v26', 'note', 'x']	#1 Sam. 24:17
[139, 'p5', 'verse', 'v26', 'content']	“She is more righteous than I, since
[140, 'p5', 'verse', 'v26', 'note', 'x']	#ver.14
[141, 'p5', 'verse', 'v26', 'content']	I did not give her to my son Shelah.” And he did not know her again.
['v026_ESV_GEN_038', 142, 'p5', 'verse', 'v26', 'plain_text']	26 Then Judah identified them and said, “She is more righteous than I, since I did not give her to my son Shelah.” And he did not know her again.
[143, 'p6', 'verse', 'v27', 'label']	27
[144, 'p6', 'verse', 'v27', 'content']	When the time of her labor came, there were twins in her womb.
['v027_ESV_GEN_038', 145, 'p6', 'verse', 'v27', 'plain_text']	27 When the time of her labor came, there were twins in her womb.
[146, 'p6', 'verse', 'v28', 'label']	28
[147, 'p6', 'verse', 'v28', 'content']	And when she was in labor, one put out a hand, and the midwife took and tied a scarlet thread on his hand, saying, “This one came out first.”
['v028_ESV_GEN_038', 148, 'p6', 'verse', 'v28', 'plain_text']	28 And when she was in labor, one put out a hand, and the midwife took and tied a scarlet thread on his hand, saying, “This one came out first.”
[149, 'p6', 'verse', 'v29', 'label']	29
[150, 'p6', 'verse', 'v29', 'content']	But as he drew back his hand, behold, his brother came out. And she said, “What a breach you have made for yourself!” Therefore his name was called
[151, 'p6', 'verse', 'v29', 'note', 'x']	#ch.46:12;Num. 26:20;1 Chr. 2:4;Matt. 1:3
[152, 'p6', 'verse', 'v29', 'content']	Perez.
[153, 'p6', 'verse', 'v29', 'note', 'f']	#38:29Perezmeansa breach
['v029_ESV_GEN_038', 154, 'p6', 'verse', 'v29', 'plain_text']	29 But as he drew back his hand, behold, his brother came out. And she said, “What a breach you have made for yourself!” Therefore his name was called Perez.
[155, 'p6', 'verse', 'v30', 'label']	30
[156, 'p6', 'verse', 'v30', 'content']	Afterward his brother came out with the scarlet thread on his hand, and his name was called
[157, 'p6', 'verse', 'v30', 'note', 'x']	#[See ver.29above]
[158, 'p6', 'verse', 'v30', 'content']	Zerah.
['v030_ESV_GEN_038', 159, 'p6', 'verse', 'v30', 'plain_text']	30 Afterward his brother came out with the scarlet thread on his hand, and his name was called Zerah.
XXXX ===================== Warning: Last verse number v30 does not match expected chapter length 18 for GEN chapter 38
