[1, 'label']	22
[2, 's1', 'heading']	Various Laws
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	“You
[5, 'p1', 'verse', 'v1', 'note', 'x']	#Ex. 23:4
[6, 'p1', 'verse', 'v1', 'content']	shall not see your brother’s ox or his sheep going astray and ignore them. You shall take them back to your brother.
['v001_ESV_DEU_022', 7, 'p1', 'verse', 'v1', 'plain_text']	1 “You shall not see your brother’s ox or his sheep going astray and ignore them. You shall take them back to your brother.
[8, 'p1', 'verse', 'v2', 'label']	2
[9, 'p1', 'verse', 'v2', 'content']	And if he does not live near you and you do not know who he is, you shall bring it home to your house, and it shall stay with you until your brother seeks it. Then you shall restore it to him.
['v002_ESV_DEU_022', 10, 'p1', 'verse', 'v2', 'plain_text']	2 And if he does not live near you and you do not know who he is, you shall bring it home to your house, and it shall stay with you until your brother seeks it. Then you shall restore it to him.
[11, 'p1', 'verse', 'v3', 'label']	3
[12, 'p1', 'verse', 'v3', 'content']	And you shall do the same with his donkey or with his garment, or with any lost thing of your brother’s, which he loses and you find; you may not ignore it.
['v003_ESV_DEU_022', 13, 'p1', 'verse', 'v3', 'plain_text']	3 And you shall do the same with his donkey or with his garment, or with any lost thing of your brother’s, which he loses and you find; you may not ignore it.
[14, 'p1', 'verse', 'v4', 'label']	4
[15, 'p1', 'verse', 'v4', 'note', 'x']	#Ex. 23:5
[16, 'p1', 'verse', 'v4', 'content']	You shall not see your brother’s donkey or his ox fallen down by the way and ignore them. You shall help him to lift them up again.
['v004_ESV_DEU_022', 17, 'p1', 'verse', 'v4', 'plain_text']	4 You shall not see your brother’s donkey or his ox fallen down by the way and ignore them. You shall help him to lift them up again.
[18, 'p2', 'verse', 'v5', 'label']	5
[19, 'p2', 'verse', 'v5', 'content']	“A woman shall not wear a man’s garment, nor shall a man put on a woman’s cloak,
[20, 'p2', 'verse', 'v5', 'note', 'x']	#[ch.18:12;25:16]
[21, 'p2', 'verse', 'v5', 'content']	for whoever does these things is an abomination to the
[22, 'p2', 'verse', 'v5', 'nd']	Lord
[23, 'p2', 'verse', 'v5', 'content']	your God.
['v005_ESV_DEU_022', 24, 'p2', 'verse', 'v5', 'plain_text']	5 “A woman shall not wear a man’s garment, nor shall a man put on a woman’s cloak, for whoever does these things is an abomination to the Lord your God.
[25, 'p3', 'verse', 'v6', 'label']	6
[26, 'p3', 'verse', 'v6', 'content']	“If you come across a bird’s nest in any tree or on the ground, with young ones or eggs and the mother sitting on the young or on the eggs,
[27, 'p3', 'verse', 'v6', 'note', 'x']	#Lev. 22:28
[28, 'p3', 'verse', 'v6', 'content']	you shall not take the mother with the young.
['v006_ESV_DEU_022', 29, 'p3', 'verse', 'v6', 'plain_text']	6 “If you come across a bird’s nest in any tree or on the ground, with young ones or eggs and the mother sitting on the young or on the eggs, you shall not take the mother with the young.
[30, 'p3', 'verse', 'v7', 'label']	7
