[1, 'label']	27
[2, 's1', 'heading']	The Altar on Mount Ebal
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	Now Moses and the elders of Israel commanded the people, saying, “Keep the whole commandment that I command you today.
['v001_ESV_DEU_027', 5, 'p1', 'verse', 'v1', 'plain_text']	1 Now Moses and the elders of Israel commanded the people, saying, “Keep the whole commandment that I command you today.
[6, 'p1', 'verse', 'v2', 'label']	2
[7, 'p1', 'verse', 'v2', 'content']	And on the day
[8, 'p1', 'verse', 'v2', 'note', 'x']	#Josh. 4:1
[9, 'p1', 'verse', 'v2', 'content']	you cross over the Jordan to the land that the
[10, 'p1', 'verse', 'v2', 'nd']	Lord
[11, 'p1', 'verse', 'v2', 'content']	your God is giving you, you shall set up large stones and plaster them with plaster.
['v002_ESV_DEU_027', 12, 'p1', 'verse', 'v2', 'plain_text']	2 And on the day you cross over the Jordan to the land that the Lord your God is giving you, you shall set up large stones and plaster them with plaster.
[13, 'p1', 'verse', 'v3', 'label']	3
[14, 'p1', 'verse', 'v3', 'note', 'x']	#Josh. 8:32
[15, 'p1', 'verse', 'v3', 'content']	And you shall write on them all the words of this law, when you cross over to enter the land that the
[16, 'p1', 'verse', 'v3', 'nd']	Lord
[17, 'p1', 'verse', 'v3', 'content']	your God is giving you,
[18, 'p1', 'verse', 'v3', 'note', 'x']	#SeeEx. 3:8
[19, 'p1', 'verse', 'v3', 'content']	a land flowing with milk and honey, as the
[20, 'p1', 'verse', 'v3', 'nd']	Lord
[21, 'p1', 'verse', 'v3', 'content']	, the God of your fathers, has promised you.
['v003_ESV_DEU_027', 22, 'p1', 'verse', 'v3', 'plain_text']	3 And you shall write on them all the words of this law, when you cross over to enter the land that the Lord your God is giving you, a land flowing with milk and honey, as the Lord , the God of your fathers, has promised you.
[23, 'p1', 'verse', 'v4', 'label']	4
[24, 'p1', 'verse', 'v4', 'content']	And when you have crossed over the Jordan, you shall set up these stones, concerning which I command you today,
[25, 'p1', 'verse', 'v4', 'note', 'x']	#ch.11:29;Josh. 8:30
[26, 'p1', 'verse', 'v4', 'content']	on Mount Ebal, and you shall plaster them with plaster.
['v004_ESV_DEU_027', 27, 'p1', 'verse', 'v4', 'plain_text']	4 And when you have crossed over the Jordan, you shall set up these stones, concerning which I command you today, on Mount Ebal, and you shall plaster them with plaster.
[28, 'p1', 'verse', 'v5', 'label']	5
[29, 'p1', 'verse', 'v5', 'content']	And there you shall build an altar to the
[30, 'p1', 'verse', 'v5', 'nd']	Lord
[31, 'p1', 'verse', 'v5', 'content']	your God, an altar of stones.
[32, 'p1', 'verse', 'v5', 'note', 'x']	#Ex. 20:25;Josh. 8:31
[33, 'p1', 'verse', 'v5', 'content']	You shall wield no iron tool on them;
['v005_ESV_DEU_027', 34, 'p1', 'verse', 'v5', 'plain_text']	5 And there you shall build an altar to the Lord your God, an altar of stones. You shall wield no iron tool on them;
[35, 'p1', 'verse', 'v6', 'label']	6
[36, 'p1', 'verse', 'v6', 'content']	you shall build an altar to the
[37, 'p1', 'verse', 'v6', 'nd']	Lord
[38, 'p1', 'verse', 'v6', 'content']	your God of uncut
[39, 'p1', 'verse', 'v6', 'note', 'f']	#27:6Hebrewwhole
[40, 'p1', 'verse', 'v6', 'content']	stones. And you shall offer burnt offerings on it to the
[41, 'p1', 'verse', 'v6', 'nd']	Lord
[42, 'p1', 'verse', 'v6', 'content']	your God,
['v006_ESV_DEU_027', 43, 'p1', 'verse', 'v6', 'plain_text']	6 you shall build an altar to the Lord your God of uncut stones. And you shall offer burnt offerings on it to the Lord your God,
[44, 'p1', 'verse', 'v7', 'label']	7
[45, 'p1', 'verse', 'v7', 'content']	and you shall sacrifice peace offerings and
[46, 'p1', 'verse', 'v7', 'note', 'x']	#See ch.12:7
[47, 'p1', 'verse', 'v7', 'content']	shall eat there, and you
[48, 'p1', 'verse', 'v7', 'note', 'x']	#See ch.12:7
[49, 'p1', 'verse', 'v7', 'content']	shall rejoice before the
[50, 'p1', 'verse', 'v7', 'nd']	Lord
[51, 'p1', 'verse', 'v7', 'content']	your God.
['v007_ESV_DEU_027', 52, 'p1', 'verse', 'v7', 'plain_text']	7 and you shall sacrifice peace offerings and shall eat there, and you shall rejoice before the Lord your God.
[53, 'p1', 'verse', 'v8', 'label']	8
[54, 'p1', 'verse', 'v8', 'content']	And
