[1, 'label']	29
[71, 'p3', 'verse', 'v13', 'label']	13
[72, 'p3', 'verse', 'v13', 'content']	And
[73, 'p3', 'verse', 'v13', 'note', 'x']	#Ezra 3:4
[74, 'p3', 'verse', 'v13', 'content']	you shall offer a burnt offering, a food offering, with a pleasing aroma to the
[75, 'p3', 'verse', 'v13', 'nd']	Lord
[76, 'p3', 'verse', 'v13', 'content']	, thirteen bulls from the herd, two rams, fourteen male lambs a year old; they shall be without blemish;
['v013_ESV_NUM_029', 77, 'p3', 'verse', 'v13', 'plain_text']	13 And you shall offer a burnt offering, a food offering, with a pleasing aroma to the Lord , thirteen bulls from the herd, two rams, fourteen male lambs a year old; they shall be without blemish;
[78, 'p3', 'verse', 'v14', 'label']	14
[79, 'p3', 'verse', 'v14', 'content']	and their grain offering of fine flour mixed with oil, three tenths of an ephah for each of the thirteen bulls, two tenths for each of the two rams,
['v014_ESV_NUM_029', 80, 'p3', 'verse', 'v14', 'plain_text']	14 and their grain offering of fine flour mixed with oil, three tenths of an ephah for each of the thirteen bulls, two tenths for each of the two rams,
[81, 'p3', 'verse', 'v15', 'label']	15
[82, 'p3', 'verse', 'v15', 'content']	and a tenth for each of the fourteen lambs;
['v015_ESV_NUM_029', 83, 'p3', 'verse', 'v15', 'plain_text']	15 and a tenth for each of the fourteen lambs;
[84, 'p3', 'verse', 'v16', 'label']	16
[85, 'p3', 'verse', 'v16', 'content']	also one male goat for a sin offering, besides the regular burnt offering, its grain offering and its drink offering.
['v016_ESV_NUM_029', 86, 'p3', 'verse', 'v16', 'plain_text']	16 also one male goat for a sin offering, besides the regular burnt offering, its grain offering and its drink offering.
[87, 'p4', 'verse', 'v17', 'label']	17
[88, 'p4', 'verse', 'v17', 'content']	“On the second day twelve bulls from the herd, two rams, fourteen male lambs a year old without blemish,
['v017_ESV_NUM_029', 89, 'p4', 'verse', 'v17', 'plain_text']	17 “On the second day twelve bulls from the herd, two rams, fourteen male lambs a year old without blemish,
[90, 'p4', 'verse', 'v18', 'label']	18
[91, 'p4', 'verse', 'v18', 'content']	with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs,
[92, 'p4', 'verse', 'v18', 'note', 'x']	#ver.21, 24, 27, 30, 33, 37;ch.15:12;28:7,14
[93, 'p4', 'verse', 'v18', 'content']	in the prescribed quantities;
['v018_ESV_NUM_029', 94, 'p4', 'verse', 'v18', 'plain_text']	18 with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
[95, 'p4', 'verse', 'v19', 'label']	19
[96, 'p4', 'verse', 'v19', 'content']	also one male goat for a sin offering, besides the regular burnt offering and its grain offering, and their drink offerings.
['v019_ESV_NUM_029', 97, 'p4', 'verse', 'v19', 'plain_text']	19 also one male goat for a sin offering, besides the regular burnt offering and its grain offering, and their drink offerings.
[98, 'p5', 'verse', 'v20', 'label']	20
[99, 'p5', 'verse', 'v20', 'content']	“On the third day eleven bulls, two rams, fourteen male lambs a year old without blemish,
['v020_ESV_NUM_029', 100, 'p5', 'verse', 'v20', 'plain_text']	20 “On the third day eleven bulls, two rams, fourteen male lambs a year old without blemish,
[101, 'p5', 'verse', 'v21', 'label']	21
[102, 'p5', 'verse', 'v21', 'content']	with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
['v021_ESV_NUM_029', 103, 'p5', 'verse', 'v21', 'plain_text']	21 with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
[104, 'p5', 'verse', 'v22', 'label']	22
[105, 'p5', 'verse', 'v22', 'content']	also one male goat for a sin offering, besides the regular burnt offering and its grain offering and its drink offering.
['v022_ESV_NUM_029', 106, 'p5', 'verse', 'v22', 'plain_text']	22 also one male goat for a sin offering, besides the regular burnt offering and its grain offering and its drink offering.
[107, 'p6', 'verse', 'v23', 'label']	23
[108, 'p6', 'verse', 'v23', 'content']	“On the fourth day ten bulls, two rams, fourteen male lambs a year old without blemish,
['v023_ESV_NUM_029', 109, 'p6', 'verse', 'v23', 'plain_text']	23 “On the fourth day ten bulls, two rams, fourteen male lambs a year old without blemish,
[110, 'p6', 'verse', 'v24', 'label']	24
[111, 'p6', 'verse', 'v24', 'content']	with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
['v024_ESV_NUM_029', 112, 'p6', 'verse', 'v24', 'plain_text']	24 with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
[113, 'p6', 'verse', 'v25', 'label']	25
[114, 'p6', 'verse', 'v25', 'content']	also one male goat for a sin offering, besides the regular burnt offering, its grain offering and its drink offering.
['v025_ESV_NUM_029', 115, 'p6', 'verse', 'v25', 'plain_text']	25 also one male goat for a sin offering, besides the regular burnt offering, its grain offering and its drink offering.
[116, 'p7', 'verse', 'v26', 'label']	26
[117, 'p7', 'verse', 'v26', 'content']	“On the fifth day nine bulls, two rams, fourteen male lambs a year old without blemish,
['v026_ESV_NUM_029', 118, 'p7', 'verse', 'v26', 'plain_text']	26 “On the fifth day nine bulls, two rams, fourteen male lambs a year old without blemish,
[119, 'p7', 'verse', 'v27', 'label']	27
[120, 'p7', 'verse', 'v27', 'content']	with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
['v027_ESV_NUM_029', 121, 'p7', 'verse', 'v27', 'plain_text']	27 with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
[122, 'p7', 'verse', 'v28', 'label']	28
[123, 'p7', 'verse', 'v28', 'content']	also one male goat for a sin offering; besides the regular burnt offering and its grain offering and its drink offering.
['v028_ESV_NUM_029', 124, 'p7', 'verse', 'v28', 'plain_text']	28 also one male goat for a sin offering; besides the regular burnt offering and its grain offering and its drink offering.
[125, 'p8', 'verse', 'v29', 'label']	29
[126, 'p8', 'verse', 'v29', 'content']	“On the sixth day eight bulls, two rams, fourteen male lambs a year old without blemish,
['v029_ESV_NUM_029', 127, 'p8', 'verse', 'v29', 'plain_text']	29 “On the sixth day eight bulls, two rams, fourteen male lambs a year old without blemish,
[128, 'p8', 'verse', 'v30', 'label']	30
[129, 'p8', 'verse', 'v30', 'content']	with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
['v030_ESV_NUM_029', 130, 'p8', 'verse', 'v30', 'plain_text']	30 with the grain offering and the drink offerings for the bulls, for the rams, and for the lambs, in the prescribed quantities;
[131, 'p8', 'verse', 'v31', 'label']	31
[132, 'p8', 'verse', 'v31', 'content']	also one male goat for a sin offering; besides the regular burnt offering, its grain offering, and its drink offerings.
['v031_ESV_NUM_029', 133, 'p8', 'verse', 'v31', 'plain_text']	31 also one male goat for a sin offering; besides the regular burnt offering, its grain offering, and its drink offerings.
[134, 'p9', 'verse', 'v32', 'label']	32
[135, 'p9', 'verse', 'v32', 'content']	“On the seventh day seven bulls, two rams, fourteen male lambs a year old without blemish,
['v032_ESV_NUM_029', 136, 'p9', 'verse', 'v32', 'plain_text']	32 “On the seventh day seven bulls, two rams, fourteen male lambs a year old without blemish,
[137, 'p9', 'verse', 'v33', 'label']	33
