[1, 'label']	4
[2, 's1', 'heading']	Duties of the Kohathites, Gershonites, and Merarites
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	The
[5, 'p1', 'verse', 'v1', 'nd']	Lord
[6, 'p1', 'verse', 'v1', 'content']	spoke to Moses and Aaron, saying,
['v001_ESV_NUM_004', 7, 'p1', 'verse', 'v1', 'plain_text']	1 The Lord spoke to Moses and Aaron, saying,
[8, 'p1', 'verse', 'v2', 'label']	2
[9, 'p1', 'verse', 'v2', 'content']	“Take a census of the sons of Kohath from among the sons of Levi, by their clans and their fathers’ houses,
['v002_ESV_NUM_004', 10, 'p1', 'verse', 'v2', 'plain_text']	2 “Take a census of the sons of Kohath from among the sons of Levi, by their clans and their fathers’ houses,
[11, 'p1', 'verse', 'v3', 'label']	3
[12, 'p1', 'verse', 'v3', 'note', 'x']	#ver.23, 30, 35, 39, 43, 47;[ch.8:24;1 Chr. 23:3,24,27]
[13, 'p1', 'verse', 'v3', 'content']	from thirty years old up to fifty years old, all who can come on duty, to do the work in the tent of meeting.
['v003_ESV_NUM_004', 14, 'p1', 'verse', 'v3', 'plain_text']	3 from thirty years old up to fifty years old, all who can come on duty, to do the work in the tent of meeting.
[15, 'p1', 'verse', 'v4', 'label']	4
[16, 'p1', 'verse', 'v4', 'content']	This is the service of the sons of Kohath in the tent of meeting:
[17, 'p1', 'verse', 'v4', 'note', 'x']	#ver.19
[18, 'p1', 'verse', 'v4', 'content']	the most holy things.
['v004_ESV_NUM_004', 19, 'p1', 'verse', 'v4', 'plain_text']	4 This is the service of the sons of Kohath in the tent of meeting: the most holy things.
[20, 'p1', 'verse', 'v5', 'label']	5
[21, 'p1', 'verse', 'v5', 'content']	When the camp is to set out, Aaron and his sons shall go in and take down
[22, 'p1', 'verse', 'v5', 'note', 'x']	#SeeEx. 26:31
[23, 'p1', 'verse', 'v5', 'content']	the veil of the screen and cover
[24, 'p1', 'verse', 'v5', 'note', 'x']	#Ex. 25:10,16
[25, 'p1', 'verse', 'v5', 'content']	the ark of the testimony with it.
['v005_ESV_NUM_004', 26, 'p1', 'verse', 'v5', 'plain_text']	5 When the camp is to set out, Aaron and his sons shall go in and take down the veil of the screen and cover the ark of the testimony with it.
[27, 'p1', 'verse', 'v6', 'label']	6
[28, 'p1', 'verse', 'v6', 'content']	Then they shall put on it a covering of goatskin
[29, 'p1', 'verse', 'v6', 'note', 'f']	#4:6The meaning of the Hebrew word is uncertain; compare Exodus 25:5
[30, 'p1', 'verse', 'v6', 'content']	and spread on top of that a cloth all of blue, and shall put in its
[31, 'p1', 'verse', 'v6', 'note', 'x']	#Ex. 25:13
[32, 'p1', 'verse', 'v6', 'content']	poles.
['v006_ESV_NUM_004', 33, 'p1', 'verse', 'v6', 'plain_text']	6 Then they shall put on it a covering of goatskin and spread on top of that a cloth all of blue, and shall put in its poles.
[34, 'p1', 'verse', 'v7', 'label']	7
[35, 'p1', 'verse', 'v7', 'content']	And over the
[36, 'p1', 'verse', 'v7', 'note', 'x']	#Ex. 25:23,29,30;37:16;Lev. 24:6,8
[37, 'p1', 'verse', 'v7', 'content']	table of the bread of the Presence they shall spread a cloth of blue and put on it the plates, the dishes for incense, the bowls, and the flagons for the drink offering;
[38, 'p1', 'verse', 'v7', 'note', 'x']	#2 Chr. 2:4
[39, 'p1', 'verse', 'v7', 'content']	the regular showbread also shall be on it.
['v007_ESV_NUM_004', 40, 'p1', 'verse', 'v7', 'plain_text']	7 And over the table of the bread of the Presence they shall spread a cloth of blue and put on it the plates, the dishes for incense, the bowls, and the flagons for the drink offering; the regular showbread also shall be on it.
[41, 'p1', 'verse', 'v8', 'label']	8
[42, 'p1', 'verse', 'v8', 'content']	Then they shall spread over them a cloth of scarlet and cover the same with a covering of goatskin, and shall
[43, 'p1', 'verse', 'v8', 'note', 'x']	#[Ex. 25:15,28]
[44, 'p1', 'verse', 'v8', 'content']	put in its poles.
['v008_ESV_NUM_004', 45, 'p1', 'verse', 'v8', 'plain_text']	8 Then they shall spread over them a cloth of scarlet and cover the same with a covering of goatskin, and shall put in its poles.
[46, 'p1', 'verse', 'v9', 'label']	9
[47, 'p1', 'verse', 'v9', 'content']	And they shall take a cloth of blue and cover
[48, 'p1', 'verse', 'v9', 'note', 'x']	#SeeEx. 25:31-39
[49, 'p1', 'verse', 'v9', 'content']	the lampstand for the light, with its lamps, its tongs, its trays, and all the vessels for oil with which it is supplied.
['v009_ESV_NUM_004', 50, 'p1', 'verse', 'v9', 'plain_text']	9 And they shall take a cloth of blue and cover the lampstand for the light, with its lamps, its tongs, its trays, and all the vessels for oil with which it is supplied.
[51, 'p1', 'verse', 'v10', 'label']	10
[52, 'p1', 'verse', 'v10', 'content']	And they shall put it with all its utensils in a covering of goatskin and put it on the carrying frame.
['v010_ESV_NUM_004', 53, 'p1', 'verse', 'v10', 'plain_text']	10 And they shall put it with all its utensils in a covering of goatskin and put it on the carrying frame.
[54, 'p1', 'verse', 'v11', 'label']	11
[55, 'p1', 'verse', 'v11', 'content']	And over
[56, 'p1', 'verse', 'v11', 'note', 'x']	#Ex. 30:1,3
[57, 'p1', 'verse', 'v11', 'content']	the golden altar they shall spread a cloth of blue and cover it with a covering of goatskin, and shall put in its poles.
['v011_ESV_NUM_004', 58, 'p1', 'verse', 'v11', 'plain_text']	11 And over the golden altar they shall spread a cloth of blue and cover it with a covering of goatskin, and shall put in its poles.
[59, 'p1', 'verse', 'v12', 'label']	12
[60, 'p1', 'verse', 'v12', 'content']	And they shall take all
[61, 'p1', 'verse', 'v12', 'note', 'x']	#[1 Chr. 9:28,29]
[62, 'p1', 'verse', 'v12', 'content']	the vessels of the service that are used in the sanctuary and put them in a cloth of blue and cover them with a covering of goatskin and put them on the carrying frame.
['v012_ESV_NUM_004', 63, 'p1', 'verse', 'v12', 'plain_text']	12 And they shall take all the vessels of the service that are used in the sanctuary and put them in a cloth of blue and cover them with a covering of goatskin and put them on the carrying frame.
[64, 'p1', 'verse', 'v13', 'label']	13
[65, 'p1', 'verse', 'v13', 'content']	And they shall take away the ashes from the altar and spread a purple cloth over it.
['v013_ESV_NUM_004', 66, 'p1', 'verse', 'v13', 'plain_text']	13 And they shall take away the ashes from the altar and spread a purple cloth over it.
[67, 'p1', 'verse', 'v14', 'label']	14
[68, 'p1', 'verse', 'v14', 'content']	And they shall put on it all the utensils of the altar, which are used for the service there, the fire pans, the forks, the shovels, and the basins, all the utensils of the altar; and they shall spread on it a covering of goatskin, and shall put in its poles.
['v014_ESV_NUM_004', 69, 'p1', 'verse', 'v14', 'plain_text']	14 And they shall put on it all the utensils of the altar, which are used for the service there, the fire pans, the forks, the shovels, and the basins, all the utensils of the altar; and they shall spread on it a covering of goatskin, and shall put in its poles.
[70, 'p1', 'verse', 'v15', 'label']	15
[71, 'p1', 'verse', 'v15', 'content']	And when Aaron and his sons have finished covering the sanctuary and all the furnishings of the sanctuary, as the camp sets out, after that
[72, 'p1', 'verse', 'v15', 'note', 'x']	#ch.7:9;10:21;Deut. 31:9
[73, 'p1', 'verse', 'v15', 'content']	the sons of Kohath shall come to carry these,
[74, 'p1', 'verse', 'v15', 'note', 'x']	#2 Sam. 6:6,7;1 Chr. 13:9,10
[75, 'p1', 'verse', 'v15', 'content']	but they must not touch the holy things, lest they die. These are the things of the tent of meeting that the sons of Kohath are to carry.
