id,tag,text
72,"[72, 'p2', 'verse', 'v12', 'content']",And the
73,"[73, 'p2', 'verse', 'v12', 'nd']",Lord
74,"[74, 'p2', 'verse', 'v12', 'content']","said to Moses,"
75,"['v012_ESV_EXO_031', 75, 'p2', 'verse', 'v12', 'plain_text']","12 And the Lord said to Moses,"
76,"[76, 'p2', 'verse', 'v13', 'label']",13
77,"[77, 'p2', 'verse', 'v13', 'content']","“You are to speak to the people of Israel and say, ‘Above all you shall keep my Sabbaths, for this is a sign between me and you throughout your generations, that you may know that I, the"
78,"[78, 'p2', 'verse', 'v13', 'nd']",Lord
79,"[79, 'p2', 'verse', 'v13', 'content']",", sanctify you."
80,"['v013_ESV_EXO_031', 80, 'p2', 'verse', 'v13', 'plain_text']","13 “You are to speak to the people of Israel and say, ‘Above all you shall keep my Sabbaths, for this is a sign between me and you throughout your generations, that you may know that I, the Lord , sanctify you."
81,"[81, 'p2', 'verse', 'v14', 'label']",14
82,"[82, 'p2', 'verse', 'v14', 'content']","You shall keep the Sabbath, because it is holy for you. Everyone who profanes it shall be put to death."
83,"[83, 'p2', 'verse', 'v14', 'note', 'x']",#ch.35:2;[Jer. 17:27]; See Num. 15:32-36
84,"[84, 'p2', 'verse', 'v14', 'content']","Whoever does any work on it, that soul shall be cut off from among his people."
85,"['v014_ESV_EXO_031', 85, 'p2', 'verse', 'v14', 'plain_text']","14 You shall keep the Sabbath, because it is holy for you. Everyone who profanes it shall be put to death. Whoever does any work on it, that soul shall be cut off from among his people."
86,"[86, 'p2', 'verse', 'v15', 'label']",15
87,"[87, 'p2', 'verse', 'v15', 'note', 'x']",#See ch.20:9
88,"[88, 'p2', 'verse', 'v15', 'content']","Six days shall work be done, but"
89,"[89, 'p2', 'verse', 'v15', 'note', 'x']",#ch.16:23;20:10;Gen. 2:2
90,"[90, 'p2', 'verse', 'v15', 'content']","the seventh day is a Sabbath of solemn rest, holy to the"
91,"[91, 'p2', 'verse', 'v15', 'nd']",Lord
92,"[92, 'p2', 'verse', 'v15', 'content']",.
93,"[93, 'p2', 'verse', 'v15', 'note', 'x']",#[See ver.14above]
94,"[94, 'p2', 'verse', 'v15', 'content']",Whoever does any work on the Sabbath day shall be put to death.
95,"['v015_ESV_EXO_031', 95, 'p2', 'verse', 'v15', 'plain_text']","15 Six days shall work be done, but the seventh day is a Sabbath of solemn rest, holy to the Lord . Whoever does any work on the Sabbath day shall be put to death."
