[1, 'label']	16
[2, 's1', 'heading']	Samson and Delilah
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	Samson went to
[5, 'p1', 'verse', 'v1', 'note', 'x']	#Josh. 15:47
[6, 'p1', 'verse', 'v1', 'content']	Gaza, and there he saw a prostitute, and he went in to her.
['v001_ESV_JDG_016', 7, 'p1', 'verse', 'v1', 'plain_text']	1 Samson went to Gaza, and there he saw a prostitute, and he went in to her.
[8, 'p1', 'verse', 'v2', 'label']	2
[9, 'p1', 'verse', 'v2', 'content']	The Gazites were told, “Samson has come here.” And they
[10, 'p1', 'verse', 'v2', 'note', 'x']	#[1 Sam. 23:26;Ps. 118:10-12;Acts 9:24]
[11, 'p1', 'verse', 'v2', 'content']	surrounded the place and set an ambush for him all night at the gate of the city. They kept quiet all night, saying, “Let us wait till the light of the morning; then we will kill him.”
['v002_ESV_JDG_016', 12, 'p1', 'verse', 'v2', 'plain_text']	2 The Gazites were told, “Samson has come here.” And they surrounded the place and set an ambush for him all night at the gate of the city. They kept quiet all night, saying, “Let us wait till the light of the morning; then we will kill him.”
[13, 'p1', 'verse', 'v3', 'label']	3
[14, 'p1', 'verse', 'v3', 'content']	But Samson lay till midnight, and at midnight he arose and took hold of the doors of the gate of the city and the two posts, and pulled them up, bar and all, and put them on his shoulders and carried them to the top of the hill that is in front of Hebron.
['v003_ESV_JDG_016', 15, 'p1', 'verse', 'v3', 'plain_text']	3 But Samson lay till midnight, and at midnight he arose and took hold of the doors of the gate of the city and the two posts, and pulled them up, bar and all, and put them on his shoulders and carried them to the top of the hill that is in front of Hebron.
[16, 'p2', 'verse', 'v4', 'label']	4
[17, 'p2', 'verse', 'v4', 'content']	After this he loved a woman in the Valley of Sorek, whose name was Delilah.
['v004_ESV_JDG_016', 18, 'p2', 'verse', 'v4', 'plain_text']	4 After this he loved a woman in the Valley of Sorek, whose name was Delilah.
[19, 'p2', 'verse', 'v5', 'label']	5
[20, 'p2', 'verse', 'v5', 'content']	And
[21, 'p2', 'verse', 'v5', 'note', 'x']	#Josh. 13:3
[22, 'p2', 'verse', 'v5', 'content']	the lords of the Philistines came up to her and said to her,
[23, 'p2', 'verse', 'v5', 'note', 'x']	#ch.14:15
[24, 'p2', 'verse', 'v5', 'content']	“Seduce him, and see where his great strength lies, and by what means we may overpower him, that we may bind him to
[25, 'p2', 'verse', 'v5', 'note', 'x']	#ver.19
[26, 'p2', 'verse', 'v5', 'content']	humble him. And we will each give you 1,100 pieces of silver.”
['v005_ESV_JDG_016', 27, 'p2', 'verse', 'v5', 'plain_text']	5 And the lords of the Philistines came up to her and said to her, “Seduce him, and see where his great strength lies, and by what means we may overpower him, that we may bind him to humble him. And we will each give you 1,100 pieces of silver.”
[28, 'p2', 'verse', 'v6', 'label']	6
[29, 'p2', 'verse', 'v6', 'content']	So Delilah said to Samson, “Please tell me where your great strength lies, and how you might be bound, that one could
[30, 'p2', 'verse', 'v6', 'note', 'x']	#[See ver.5above]
[31, 'p2', 'verse', 'v6', 'content']	subdue you.”
['v006_ESV_JDG_016', 32, 'p2', 'verse', 'v6', 'plain_text']	6 So Delilah said to Samson, “Please tell me where your great strength lies, and how you might be bound, that one could subdue you.”
[33, 'p3', 'verse', 'v7', 'label']	7
[34, 'p3', 'verse', 'v7', 'content']	Samson said to her, “If they bind me with seven fresh bowstrings that have not been dried,
[35, 'p3', 'verse', 'v7', 'note', 'x']	#ver.11, 17
[36, 'p3', 'verse', 'v7', 'content']	then I shall become weak and be like any other man.”
