[1, 'label']	21
[2, 's1', 'heading']	Wives Provided for the Tribe of Benjamin
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	Now the men of Israel had sworn
[5, 'p1', 'verse', 'v1', 'note', 'x']	#ver.18;ch.20:1
[6, 'p1', 'verse', 'v1', 'content']	at Mizpah, “No one of us shall give his daughter in marriage to Benjamin.”
['v001_ESV_JDG_021', 7, 'p1', 'verse', 'v1', 'plain_text']	1 Now the men of Israel had sworn at Mizpah, “No one of us shall give his daughter in marriage to Benjamin.”
[8, 'p1', 'verse', 'v2', 'label']	2
[9, 'p1', 'verse', 'v2', 'content']	And the people came to
[10, 'p1', 'verse', 'v2', 'note', 'x']	#ch.20:18,26,31
[11, 'p1', 'verse', 'v2', 'content']	Bethel and sat there till evening before God, and they lifted up their voices and wept bitterly.
['v002_ESV_JDG_021', 12, 'p1', 'verse', 'v2', 'plain_text']	2 And the people came to Bethel and sat there till evening before God, and they lifted up their voices and wept bitterly.
[13, 'p1', 'verse', 'v3', 'label']	3
[14, 'p1', 'verse', 'v3', 'content']	And they said, “O
[15, 'p1', 'verse', 'v3', 'nd']	Lord
[16, 'p1', 'verse', 'v3', 'content']	, the God of Israel, why has this happened in Israel, that today there should be one tribe lacking in Israel?”
['v003_ESV_JDG_021', 17, 'p1', 'verse', 'v3', 'plain_text']	3 And they said, “O Lord , the God of Israel, why has this happened in Israel, that today there should be one tribe lacking in Israel?”
[18, 'p1', 'verse', 'v4', 'label']	4
[19, 'p1', 'verse', 'v4', 'content']	And the next day the people rose early and
[20, 'p1', 'verse', 'v4', 'note', 'x']	#[2 Sam. 24:25]
[21, 'p1', 'verse', 'v4', 'content']	built there an altar and offered burnt offerings and peace offerings.
['v004_ESV_JDG_021', 22, 'p1', 'verse', 'v4', 'plain_text']	4 And the next day the people rose early and built there an altar and offered burnt offerings and peace offerings.
[23, 'p1', 'verse', 'v5', 'label']	5
[24, 'p1', 'verse', 'v5', 'content']	And the people of Israel said, “Which of all the tribes of Israel did not come up in the assembly to the
[25, 'p1', 'verse', 'v5', 'nd']	Lord
[26, 'p1', 'verse', 'v5', 'content']	?”
[27, 'p1', 'verse', 'v5', 'note', 'x']	#[ch.5:23]
[28, 'p1', 'verse', 'v5', 'content']	For they had taken a great oath concerning him who did not come up to the
[29, 'p1', 'verse', 'v5', 'nd']	Lord
[30, 'p1', 'verse', 'v5', 'content']	to Mizpah, saying, “He shall surely be put to death.”
['v005_ESV_JDG_021', 31, 'p1', 'verse', 'v5', 'plain_text']	5 And the people of Israel said, “Which of all the tribes of Israel did not come up in the assembly to the Lord ?” For they had taken a great oath concerning him who did not come up to the Lord to Mizpah, saying, “He shall surely be put to death.”
[32, 'p1', 'verse', 'v6', 'label']	6
[33, 'p1', 'verse', 'v6', 'content']	And the people of Israel
[34, 'p1', 'verse', 'v6', 'note', 'x']	#ver.15
[35, 'p1', 'verse', 'v6', 'content']	had compassion for Benjamin their brother and said, “One tribe is cut off from Israel this day.
['v006_ESV_JDG_021', 36, 'p1', 'verse', 'v6', 'plain_text']	6 And the people of Israel had compassion for Benjamin their brother and said, “One tribe is cut off from Israel this day.
[37, 'p1', 'verse', 'v7', 'label']	7
[38, 'p1', 'verse', 'v7', 'note', 'x']	#ver.16
[39, 'p1', 'verse', 'v7', 'content']	What shall we do for wives for those who are left, since we have sworn by the
[40, 'p1', 'verse', 'v7', 'nd']	Lord
[41, 'p1', 'verse', 'v7', 'content']	that we will not give them any of our daughters for wives?”
