id,tag,text
63,"['p4', 'verse', 'v10', 'note', 'f']","tn Heb “offered,” but this is redundant and has been translated as “presented” for stylistic reasons. The same phrase occurs in vv. 11 and 12."
64,"['p4', 'verse', 'v10', 'content']",their offering before the altar.
65,"['p4', 'verse', 'v11', 'label']",11
66,"['p4', 'verse', 'v11', 'content']",For the
67,"['p4', 'verse', 'v11', 'sc']",Lord
68,"['p4', 'verse', 'v11', 'content']","said to Moses, “They must present their offering, one leader for each day,"
69,"['p4', 'verse', 'v11', 'note', 'f']","tn The distributive sense is achieved by repetition: “one leader for the day, one leader for the day.”"
70,"['p4', 'verse', 'v11', 'content']",for the dedication of the altar.”
71,"['s1', 'heading']",The Tribal Offerings
72,"['p5', 'verse', 'v12', 'label']",12
73,"['p5', 'verse', 'v12', 'content']","The one who presented his offering on the first day was Nahshon son of Amminadab, from the tribe of Judah."
74,"['p5', 'verse', 'v12', 'note', 'f']",sn The tribe of Judah is listed first. It seems that it had already achieved a place of prominence based on the patriarchal promise of the Messiahship in Judah (Gen 49:10).
76,"['p5', 'verse', 'v13', 'label']",13
77,"['p5', 'verse', 'v13', 'content']","His offering was one silver platter weighing 130 shekels,"
78,"['p5', 'verse', 'v13', 'note', 'f']","tn The word “shekels” has been supplied in the translation for clarity. So also in vv. 19, 20, 25, 26, 31, 32, 37, 38, 43, 44, 49, 50, 55, 56, 60, 62, 66, 68, 73, 74, 79, 85, 86."
79,"['p5', 'verse', 'v13', 'content']","and one silver sprinkling bowl weighing 70 shekels, both according to the sanctuary shekel, each of them full of fine flour mixed with olive oil as a grain offering;"
80,"['p5', 'verse', 'v14', 'label']",14
81,"['p5', 'verse', 'v14', 'content']","one gold pan weighing 10 shekels, full of incense;"
82,"['p5', 'verse', 'v15', 'label']",15
83,"['p5', 'verse', 'v15', 'content']","one young bull, one ram, and one male lamb in its first year, for a burnt offering;"
84,"['p5', 'verse', 'v16', 'label']",16
85,"['p5', 'verse', 'v16', 'content']",one male goat for a purification offering;
86,"['p5', 'verse', 'v17', 'label']",17
87,"['p5', 'verse', 'v17', 'content']","and for the sacrifice of peace offerings: two bulls, five rams, five male goats, and five male lambs in their first year. This was the offering of Nahshon son of Amminadab."
88,"['p6', 'verse', 'v18', 'label']",18
89,"['p6', 'verse', 'v18', 'content']","On the second day Nethanel son of Zuar, leader of Issachar, presented an offering."
90,"['p6', 'verse', 'v19', 'label']",19
91,"['p6', 'verse', 'v19', 'content']","He offered for his offering one silver platter weighing 130 shekels and one silver sprinkling bowl weighing 70, both according to the sanctuary shekel, each of them full of fine flour mixed with olive oil as a grain offering;"
92,"['p6', 'verse', 'v20', 'label']",20
93,"['p6', 'verse', 'v20', 'content']","one gold pan weighing 10 shekels, full of incense;"
94,"['p6', 'verse', 'v21', 'label']",21
95,"['p6', 'verse', 'v21', 'content']","one young bull, one ram, and one male lamb in its first year, for a burnt offering;"
96,"['p6', 'verse', 'v22', 'label']",22
97,"['p6', 'verse', 'v22', 'content']",one male goat for a purification offering;
98,"['p6', 'verse', 'v23', 'label']",23
99,"['p6', 'verse', 'v23', 'content']","and for the sacrifice of peace offerings: two bulls, five rams, five male goats, and five male lambs in their first year. This was the offering of Nethanel son of Zuar."
100,"['p7', 'verse', 'v24', 'label']",24
101,"['p7', 'verse', 'v24', 'content']","On the third day Eliab son of Helon, leader of the Zebulunites, presented an offering."
102,"['p7', 'verse', 'v24', 'note', 'f']","tn The phrase “presented an offering” is not found in the Hebrew text at this point but has been supplied to clarify what action is being done. The same phrase is absent from the Hebrew text in the following verses which tell who makes the offerings (7:30, 36, 42, 48, 54, 60, 66, 72, 78)."
104,"['p7', 'verse', 'v25', 'label']",25
105,"['p7', 'verse', 'v25', 'content']","His offering was one silver platter weighing 130 shekels and one silver sprinkling bowl weighing 70 shekels, both according to the sanctuary shekel, each of them full of fine flour mixed with olive oil as a grain offering;"
106,"['p7', 'verse', 'v26', 'label']",26
107,"['p7', 'verse', 'v26', 'content']","one gold pan weighing 10 shekels, full of incense;"
108,"['p7', 'verse', 'v27', 'label']",27
109,"['p7', 'verse', 'v27', 'content']","one young bull, one ram, and one male lamb in its first year, for a burnt offering;"
110,"['p7', 'verse', 'v28', 'label']",28
111,"['p7', 'verse', 'v28', 'content']",one male goat for a purification offering;
112,"['p7', 'verse', 'v29', 'label']",29
113,"['p7', 'verse', 'v29', 'content']","and for the sacrifice of peace offerings: two bulls, five rams, five male goats, and five male lambs in their first year. This was the offering of Eliab son of Helon."
114,"['p8', 'verse', 'v30', 'label']",30
115,"['p8', 'verse', 'v30', 'content']","On the fourth day Elizur son of Shedeur, leader of the Reubenites, presented an offering."
116,"['p8', 'verse', 'v31', 'label']",31
117,"['p8', 'verse', 'v31', 'content']","His offering was one silver platter weighing 130 shekels and one silver sprinkling bowl weighing 70 shekels, both according to the sanctuary shekel, each of them full of fine flour mixed with olive oil as a grain offering;"
118,"['p8', 'verse', 'v32', 'label']",32
119,"['p8', 'verse', 'v32', 'content']","one gold pan weighing 10 shekels, full of incense;"
120,"['p8', 'verse', 'v33', 'label']",33
121,"['p8', 'verse', 'v33', 'content']","one young bull, one ram, and one male lamb in its first year, for a burnt offering;"
122,"['p8', 'verse', 'v34', 'label']",34
123,"['p8', 'verse', 'v34', 'content']",one male goat for a purification offering;
124,"['p8', 'verse', 'v35', 'label']",35
125,"['p8', 'verse', 'v35', 'content']","and for the sacrifice of peace offerings: two bulls, five rams, five male goats, and five lambs in their first year. This was the offering of Elizur son of Shedeur."
126,"['p9', 'verse', 'v36', 'label']",36
127,"['p9', 'verse', 'v36', 'content']","On the fifth day Shelumiel son of Zurishaddai, leader of the Simeonites, presented an offering."
128,"['p9', 'verse', 'v37', 'label']",37
129,"['p9', 'verse', 'v37', 'content']","His offering was one silver platter weighing 130 shekels and one silver sprinkling bowl weighing 70 shekels, both according to the sanctuary shekel, each of them full of fine flour mixed with olive oil as a grain offering;"
130,"['p9', 'verse', 'v38', 'label']",38
131,"['p9', 'verse', 'v38', 'content']",one gold pan weighing 10 shekels;
132,"['p9', 'verse', 'v39', 'label']",39
133,"['p9', 'verse', 'v39', 'content']","one young bull, one ram, and one male lamb in its first year, for a burnt offering;"
134,"['p9', 'verse', 'v40', 'label']",40
135,"['p9', 'verse', 'v40', 'content']",one male goat for a purification offering;
136,"['p9', 'verse', 'v41', 'label']",41
137,"['p9', 'verse', 'v41', 'content']","and for the sacrifice of peace offerings: two bulls, five rams, five male goats, and five lambs in their first year. This was the offering of Sheloumiel son of Zurishaddai."
138,"['p10', 'verse', 'v42', 'label']",42
139,"['p10', 'verse', 'v42', 'content']","On the sixth day Eliasaph son of Deuel, leader of the Gadites, presented an offering."
140,"['p10', 'verse', 'v43', 'label']",43
141,"['p10', 'verse', 'v43', 'content']","His offering was one silver platter weighing 130 shekels and one silver sprinkling bowl weighing 70 shekels, both according to the sanctuary shekel, each of them full of fine flour mixed with olive oil as a grain offering;"
142,"['p10', 'verse', 'v44', 'label']",44
143,"['p10', 'verse', 'v44', 'content']",one gold pan weighing 10 shekels;
144,"['p10', 'verse', 'v45', 'label']",45
