id,tag,text
0,['label'],21
1,"['s1', 'heading']",Laws Concerning Unsolved Murder
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",If a homicide victim
4,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “slain [one].” The term חָלָל (khalal) suggests something other than a natural death (cf. Num 19:16; 23:24; Jer 51:52; Ezek 26:15; 30:24; 31:17-18).
5,"['p1', 'verse', 'v1', 'content']",should be found lying in a field in the land the
6,"['p1', 'verse', 'v1', 'sc']",Lord
7,"['p1', 'verse', 'v1', 'content']","your God is giving you,"
8,"['p1', 'verse', 'v1', 'note', 'f']","tn The Hebrew text includes “to possess it,” but this has not been included in the translation for stylistic reasons."
9,"['p1', 'verse', 'v1', 'content']",and no one knows who killed
10,"['p1', 'verse', 'v1', 'note', 'f']","tn Heb “struck,” but in context a fatal blow is meant; cf. NLT “who committed the murder.”"
11,"['p1', 'verse', 'v1', 'content']","him,"
12,"['p1', 'verse', 'v2', 'label']",2
13,"['p1', 'verse', 'v2', 'content']",your elders and judges must go out and measure how far it is to the cities in the vicinity of the corpse.
14,"['p1', 'verse', 'v2', 'note', 'f']",tn Heb “surrounding the slain [one].”
16,"['p1', 'verse', 'v3', 'label']",3
17,"['p1', 'verse', 'v3', 'content']",Then the elders of the city nearest to the corpse
18,"['p1', 'verse', 'v3', 'note', 'f']",tn Heb “slain [one].”
19,"['p1', 'verse', 'v3', 'content']",must take from the herd a heifer that has not been worked – that has never pulled with the yoke –
20,"['p1', 'verse', 'v4', 'label']",4
21,"['p1', 'verse', 'v4', 'content']","and bring the heifer down to a wadi with flowing water,"
22,"['p1', 'verse', 'v4', 'note', 'f']","tn The combination “a wadi with flowing water” is necessary because a wadi (נַחַל, nakhal) was ordinarily a dry stream or riverbed. For this ritual, however, a perennial stream must be chosen so that there would be fresh, rushing water."
23,"['p1', 'verse', 'v4', 'content']",to a valley that is neither plowed nor sown.
24,"['p1', 'verse', 'v4', 'note', 'f']","sn The unworked heifer, fresh stream, and uncultivated valley speak of ritual purity – of freedom from human contamination."
25,"['p1', 'verse', 'v4', 'content']",There at the wadi they are to break the heifer’s neck.
26,"['p1', 'verse', 'v5', 'label']",5
27,"['p1', 'verse', 'v5', 'content']",Then the Levitical priests
28,"['p1', 'verse', 'v5', 'note', 'f']","tn Heb “the priests, the sons of Levi.”"
29,"['p1', 'verse', 'v5', 'content']",will approach (for the
30,"['p1', 'verse', 'v5', 'sc']",Lord
31,"['p1', 'verse', 'v5', 'content']","your God has chosen them to serve him and to pronounce blessings in his name,"
32,"['p1', 'verse', 'v5', 'note', 'f']",tn Heb “in the name of the Lord.” See note on Deut 10:8. The pronoun has been used in the translation for stylistic reasons to avoid redundancy.
33,"['p1', 'verse', 'v5', 'content']",and to decide
34,"['p1', 'verse', 'v5', 'note', 'f']",tn Heb “by their mouth.”
35,"['p1', 'verse', 'v5', 'content']",every judicial verdict
36,"['p1', 'verse', 'v5', 'note', 'f']",tn Heb “every controversy and every blow.”
37,"['p1', 'verse', 'v5', 'content']",)
38,"['p1', 'verse', 'v6', 'label']",6
39,"['p1', 'verse', 'v6', 'content']",and all the elders of that city nearest the corpse
40,"['p1', 'verse', 'v6', 'note', 'f']",tn Heb “slain [one].”
41,"['p1', 'verse', 'v6', 'content']",must wash their hands over the heifer whose neck was broken in the valley.
42,"['p1', 'verse', 'v6', 'note', 'f']","tn Heb “wadi,” a seasonal watercourse through a valley."
44,"['p1', 'verse', 'v7', 'label']",7
45,"['p1', 'verse', 'v7', 'content']","Then they must proclaim, “Our hands have not spilled this blood, nor have we"
46,"['p1', 'verse', 'v7', 'note', 'f']",tn Heb “our eyes.” This is a figure of speech known as synecdoche in which the part (the eyes) is put for the whole (the entire person).
47,"['p1', 'verse', 'v7', 'content']",witnessed the crime.
48,"['p1', 'verse', 'v7', 'note', 'f']",tn Heb “seen”; the implied object (the crime committed) has been specified in the translation for clarity.
50,"['p1', 'verse', 'v8', 'label']",8
51,"['p1', 'verse', 'v8', 'content']",Do not blame
52,"['p1', 'verse', 'v8', 'note', 'f']",tn Heb “Atone for.”
53,"['p1', 'verse', 'v8', 'content']","your people Israel whom you redeemed, O"
54,"['p1', 'verse', 'v8', 'sc']",Lord
55,"['p1', 'verse', 'v8', 'content']",", and do not hold them accountable for the bloodshed of an innocent person.”"
56,"['p1', 'verse', 'v8', 'note', 'f']",tn Heb “and do not place innocent blood in the midst of your people Israel.”
57,"['p1', 'verse', 'v8', 'content']",Then atonement will be made for the bloodshed.
58,"['p1', 'verse', 'v9', 'label']",9
59,"['p1', 'verse', 'v9', 'content']","In this manner you will purge out the guilt of innocent blood from among you, for you must do what is right before"
60,"['p1', 'verse', 'v9', 'note', 'f']","tn Heb “in the eyes of” (so ASV, NASB, NIV)."
61,"['p1', 'verse', 'v9', 'content']",the
62,"['p1', 'verse', 'v9', 'sc']",Lord
63,"['p1', 'verse', 'v9', 'content']",.
64,"['s1', 'heading']",Laws Concerning Wives
65,"['p2', 'verse', 'v10', 'label']",10
66,"['p2', 'verse', 'v10', 'content']",When you go out to do battle with your enemies and the
67,"['p2', 'verse', 'v10', 'sc']",Lord
68,"['p2', 'verse', 'v10', 'content']",your God allows you to prevail
69,"['p2', 'verse', 'v10', 'note', 'f']",tn Heb “gives him into your hands.”
70,"['p2', 'verse', 'v10', 'content']","and you take prisoners,"
71,"['p2', 'verse', 'v11', 'label']",11
72,"['p2', 'verse', 'v11', 'content']",if you should see among them
73,"['p2', 'verse', 'v11', 'note', 'f']","tn Heb “the prisoners.” The pronoun has been used in the translation for stylistic reasons, to avoid redundancy."
74,"['p2', 'verse', 'v11', 'content']","an attractive woman whom you wish to take as a wife,"
75,"['p2', 'verse', 'v12', 'label']",12
76,"['p2', 'verse', 'v12', 'content']","you may bring her back to your house. She must shave her head,"
77,"['p2', 'verse', 'v12', 'note', 'f']",sn This requirement for the woman to shave her head may symbolize the putting away of the old life and customs in preparation for being numbered among the people of the Lord. The same is true for the two following requirements.
78,"['p2', 'verse', 'v12', 'content']","trim her nails,"
79,"['p2', 'verse', 'v13', 'label']",13
80,"['p2', 'verse', 'v13', 'content']","discard the clothing she was wearing when captured,"
81,"['p2', 'verse', 'v13', 'note', 'f']",tn Heb “she is to…remove the clothing of her captivity” (cf. NASB); NRSV “discard her captive’s garb.”
82,"['p2', 'verse', 'v13', 'content']",and stay
83,"['p2', 'verse', 'v13', 'note', 'f']","tn Heb “sit”; KJV, NASB, NRSV “remain.”"
84,"['p2', 'verse', 'v13', 'content']","in your house, lamenting for her father and mother for a full month. After that you may have sexual relations"
85,"['p2', 'verse', 'v13', 'note', 'f']","tn Heb “go unto,” a common Hebrew euphemism for sexual relations."
86,"['p2', 'verse', 'v13', 'content']",with her and become her husband and she your wife.
87,"['p2', 'verse', 'v14', 'label']",14
