id,tag,text
0,['label'],6
1,"['p1', 'verse', 'v1', 'label']",1
2,"['p1', 'verse', 'v1', 'content']",Then the
3,"['p1', 'verse', 'v1', 'sc']",Lord
4,"['p1', 'verse', 'v1', 'content']","said to Moses, “Now you will see what I will do to Pharaoh,"
5,"['p1', 'verse', 'v1', 'note', 'f']",sn The expression “I will do to Pharaoh” always refers to the plagues. God would first show his sovereignty over Pharaoh before defeating him.
6,"['p1', 'verse', 'v1', 'content']",for compelled by my strong hand
7,"['p1', 'verse', 'v1', 'note', 'f']","tn The expression “with a strong hand” (וּבְיָד חֲזָקָה, uvÿyad khazaqah) could refer (1) to God’s powerful intervention (“compelled by my strong hand”) or (2) to Pharaoh’s forceful pursuit (“he will forcefully drive them out”). In Exod 3:20 God has summarized what his hand would do in Egypt, and that is probably what is intended here, as he promises that Moses will see what God will do. All Egypt ultimately desired that Israel be released (12:33), and when they were released Pharaoh pursued them to the sea, and so in a sense drove them out – whether that was his intention or not. But ultimately it was God’s power that was the real force behind it all. U. Cassuto (Exodus, 74) considers that it is unlikely that the phrase would be used in the same verse twice with the same meaning. So he thinks that the first “strong hand” is God’s, and the second “strong hand” is Pharaoh’s. It is true that if Pharaoh acted forcefully in any way that contributed to Israel leaving Egypt it was because God was acting forcefully in his life. So in an understated way, God is saying that when forced by God’s strong hand, Pharaoh will indeed release God’s people.”"
8,"['p1', 'verse', 'v1', 'content']","he will release them, and by my strong hand he will drive them out of his land.”"
9,"['p1', 'verse', 'v1', 'note', 'f']","tn Or “and he will forcefully drive them out of his land,” if the second occurrence of “strong hand” refers to Pharaoh’s rather than God’s (see the previous note).
sn In Exod 12:33 the Egyptians were eager to send (release) Israel away in haste, because they all thought they were going to die."
10,"['p2', 'verse', 'v2', 'label']",2
11,"['p2', 'verse', 'v2', 'content']",God spoke
12,"['p2', 'verse', 'v2', 'note', 'f']",tn Heb “And God spoke.”
13,"['p2', 'verse', 'v2', 'content']","to Moses and said to him, “I am the"
14,"['p2', 'verse', 'v2', 'sc']",Lord
15,"['p2', 'verse', 'v2', 'content']",.
16,"['p2', 'verse', 'v2', 'note', 'f']","sn The announcement “I am the Lord” (Heb “Yahweh”) draws in the preceding revelation in Exod 3:15. In that place God called Moses to this task and explained the significance of the name “Yahweh” by the enigmatic expression “I am that I am.” “I am” (אֶהְיֶה, ’ehyeh) is not a name; “Yahweh” is. But the explanation of the name with this sentence indicates that Yahweh is the one who is always there, and that guarantees the future, for everything he does is consistent with his nature. He is eternal, never changing; he remains. Now, in Exodus 6, the meaning of the name “Yahweh” will be more fully unfolded."
18,"['p2', 'verse', 'v3', 'label']",3
19,"['p2', 'verse', 'v3', 'content']","I appeared to Abraham, to Isaac, and to Jacob as"
20,"['p2', 'verse', 'v3', 'note', 'f']","tn The preposition bet (ב) in this construction should be classified as a bet essentiae, a bet of essence (see also GKC 379 §119.i)."
21,"['p2', 'verse', 'v3', 'content']","God Almighty,"
22,"['p2', 'verse', 'v3', 'note', 'f']","tn The traditional rendering of the title as “Almighty” is reflected in LXX and Jerome. But there is still little agreement on the etymology and exact meaning of אֵל־שַׁדַּי (’el-shadday). Suggestions have included the idea of “mountain God,” meaning the high God, as well as “the God with breasts.” But there is very little evidence supporting such conclusions and not much reason to question the ancient versions."
23,"['p2', 'verse', 'v3', 'content']",but by
24,"['p2', 'verse', 'v3', 'note', 'f']","tn The noun שְׁמִי (shÿmi, “my name,” and “Yahweh” in apposition to it), is an adverbial accusative, specifying how the patriarchs “knew” him."
25,"['p2', 'verse', 'v3', 'content']",my name ‘the
26,"['p2', 'verse', 'v3', 'sc']",Lord’
27,"['p2', 'verse', 'v3', 'note', 'f']","tn Heb “Yahweh,” traditionally rendered in English as “the Lord.” The phrase has been placed in quotation marks in the translation to indicate it represents the tetragrammaton."
28,"['p2', 'verse', 'v3', 'content']",I was not known to them.
