id,tag,text
0,['label'],24
1,"['s1', 'heading']",The Wife for Isaac
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']","Now Abraham was old, well advanced in years,"
4,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “days.”
5,"['p1', 'verse', 'v1', 'content']",and the
6,"['p1', 'verse', 'v1', 'sc']",Lord
7,"['p1', 'verse', 'v1', 'content']",had blessed him
8,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “Abraham.” The proper name has been replaced in the translation by the pronoun (“he”) for stylistic reasons.
9,"['p1', 'verse', 'v1', 'content']",in everything.
10,"['p1', 'verse', 'v2', 'label']",2
11,"['p1', 'verse', 'v2', 'content']","Abraham said to his servant, the senior one"
12,"['p1', 'verse', 'v2', 'note', 'f']",tn The Hebrew term זָקֵן (zaqen) may refer to the servant who is oldest in age or senior in authority (or both).
13,"['p1', 'verse', 'v2', 'content']","in his household who was in charge of everything he had, “Put your hand under my thigh"
14,"['p1', 'verse', 'v2', 'note', 'f']","sn Put your hand under my thigh. The taking of this oath had to do with the sanctity of the family and the continuation of the family line. See D. R. Freedman, “Put Your Hand Under My Thigh – the Patriarchal Oath,” BAR 2 (1976): 2-4, 42."
16,"['p1', 'verse', 'v3', 'label']",3
17,"['p1', 'verse', 'v3', 'content']",so that I may make you solemnly promise
18,"['p1', 'verse', 'v3', 'note', 'f']","tn Following the imperative, the cohortative with the prefixed conjunction indicates purpose."
19,"['p1', 'verse', 'v3', 'content']",by the
20,"['p1', 'verse', 'v3', 'sc']",Lord
21,"['p1', 'verse', 'v3', 'content']",", the God of heaven and the God of the earth: You must not acquire"
22,"['p1', 'verse', 'v3', 'note', 'f']",tn Heb “because you must not take.”
23,"['p1', 'verse', 'v3', 'content']","a wife for my son from the daughters of the Canaanites, among whom I am living."
24,"['p1', 'verse', 'v4', 'label']",4
25,"['p1', 'verse', 'v4', 'content']",You must go instead to my country and to my relatives
26,"['p1', 'verse', 'v4', 'note', 'f']",tn Heb “for to my country and my relatives you must go.”
27,"['p1', 'verse', 'v4', 'content']",to find
28,"['p1', 'verse', 'v4', 'note', 'f']",tn Heb “and take.”
29,"['p1', 'verse', 'v4', 'content']",a wife for my son Isaac.”
30,"['p2', 'verse', 'v5', 'label']",5
31,"['p2', 'verse', 'v5', 'content']","The servant asked him, “What if the woman is not willing to come back with me"
32,"['p2', 'verse', 'v5', 'note', 'f']",tn Heb “to go after me.”
33,"['p2', 'verse', 'v5', 'content']",to this land? Must I then
34,"['p2', 'verse', 'v5', 'note', 'f']","tn In the Hebrew text the construction is emphatic; the infinitive absolute precedes the imperfect. However, it is difficult to reflect this emphasis in an English translation."
35,"['p2', 'verse', 'v5', 'content']",take your son back to the land from which you came?”
36,"['p3', 'verse', 'v6', 'label']",6
37,"['p3', 'verse', 'v6', 'content']",“Be careful
38,"['p3', 'verse', 'v6', 'note', 'f']",tn Heb “guard yourself.”
39,"['p3', 'verse', 'v6', 'content']",never to take my son back there!” Abraham told him.
40,"['p3', 'verse', 'v6', 'note', 'f']",tn The introductory clause “And Abraham said to him” has been moved to the end of the opening sentence of direct discourse in the translation for stylistic reasons.
42,"['p3', 'verse', 'v7', 'label']",7
43,"['p3', 'verse', 'v7', 'content']",“The
44,"['p3', 'verse', 'v7', 'sc']",Lord
45,"['p3', 'verse', 'v7', 'content']",", the God of heaven, who took me from my father’s house and the land of my relatives,"
46,"['p3', 'verse', 'v7', 'note', 'f']",tn Or “the land of my birth.”
47,"['p3', 'verse', 'v7', 'content']","promised me with a solemn oath,"
48,"['p3', 'verse', 'v7', 'note', 'f']","tn Heb “and who spoke to me and who swore to me, saying.”"
49,"['p3', 'verse', 'v7', 'content']",‘To your descendants I will give this land.’ He will send his angel
50,"['p3', 'verse', 'v7', 'note', 'f']",tn Or “his messenger.”
51,"['p3', 'verse', 'v7', 'content']",before you so that you may find
52,"['p3', 'verse', 'v7', 'note', 'f']",tn Heb “before you and you will take.”
53,"['p3', 'verse', 'v7', 'content']",a wife for my son from there.
54,"['p3', 'verse', 'v8', 'label']",8
55,"['p3', 'verse', 'v8', 'content']","But if the woman is not willing to come back with you,"
56,"['p3', 'verse', 'v8', 'note', 'f']",tn Heb “ to go after you.”
57,"['p3', 'verse', 'v8', 'content']",you will be free
58,"['p3', 'verse', 'v8', 'note', 'f']","sn You will be free. If the prospective bride was not willing to accompany the servant back to Canaan, the servant would be released from his oath to Abraham."
59,"['p3', 'verse', 'v8', 'content']",from this oath of mine. But you must not take my son back there!”
60,"['p3', 'verse', 'v9', 'label']",9
61,"['p3', 'verse', 'v9', 'content']",So the servant placed his hand under the thigh of his master Abraham and gave his solemn promise he would carry out his wishes.
62,"['p3', 'verse', 'v9', 'note', 'f']",tn Heb “and he swore to him concerning this matter.”
63,"['p4', 'verse', 'v10', 'label']",10
64,"['p4', 'verse', 'v10', 'content']",Then the servant took ten of his master’s camels and departed with all kinds of gifts from his master at his disposal.
65,"['p4', 'verse', 'v10', 'note', 'f']","tn Heb “and every good thing of his master was in his hand.” The disjunctive clause is circumstantial, explaining that he took all kinds of gifts to be used at his discretion."
66,"['p4', 'verse', 'v10', 'content']",He journeyed
67,"['p4', 'verse', 'v10', 'note', 'f']",tn Heb “and he arose and went.”
68,"['p4', 'verse', 'v10', 'content']",to the region of Aram Naharaim
69,"['p4', 'verse', 'v10', 'note', 'f']","tn The words “the region of” are not in the Hebrew text, but are supplied in the translation for clarity.
sn Aram Naharaim means in Hebrew “Aram of the Two Rivers,” a region in northern Mesopotamia."
70,"['p4', 'verse', 'v10', 'content']",and the city of Nahor.
71,"['p4', 'verse', 'v11', 'label']",11
72,"['p4', 'verse', 'v11', 'content']",He made the camels kneel down by the well
73,"['p4', 'verse', 'v11', 'note', 'f']",tn Heb “well of water.”
74,"['p4', 'verse', 'v11', 'content']","outside the city. It was evening,"
75,"['p4', 'verse', 'v11', 'note', 'f']",tn Heb “at the time of evening.”
76,"['p4', 'verse', 'v11', 'content']",the time when the women would go out to draw water.
77,"['p4', 'verse', 'v12', 'label']",12
78,"['p4', 'verse', 'v12', 'content']","He prayed, “O"
79,"['p4', 'verse', 'v12', 'sc']",Lord
80,"['p4', 'verse', 'v12', 'content']",", God of my master Abraham, guide me today."
81,"['p4', 'verse', 'v12', 'note', 'f']","tn Heb “make it happen before me today.” Although a number of English translations understand this as a request for success in the task (cf. NASB, NIV, NRSV) it is more likely that the servant is requesting an omen or sign from God (v. 14)."
82,"['p4', 'verse', 'v12', 'content']",Be faithful
83,"['p4', 'verse', 'v12', 'note', 'f']",tn Heb “act in loyal love with” or “show kindness to.”
84,"['p4', 'verse', 'v12', 'content']",to my master Abraham.
85,"['p4', 'verse', 'v13', 'label']",13
86,"['p4', 'verse', 'v13', 'content']","Here I am, standing by the spring,"
87,"['p4', 'verse', 'v13', 'note', 'f']",tn Heb “the spring of water.”
88,"['p4', 'verse', 'v13', 'content']",and the daughters of the people
89,"['p4', 'verse', 'v13', 'note', 'f']",tn Heb “the men.”
90,"['p4', 'verse', 'v13', 'content']",who live in the town are coming out to draw water.
91,"['p4', 'verse', 'v14', 'label']",14
92,"['p4', 'verse', 'v14', 'content']","I will say to a young woman, ‘Please lower your jar so I may drink.’ May the one you have chosen for your servant Isaac reply, ‘Drink, and I’ll give your camels water too.’"
93,"['p4', 'verse', 'v14', 'note', 'f']",sn I will also give your camels water. It would be an enormous test for a young woman to water ten camels. The idea is that such a woman would not only be industrious but hospitable and generous.
94,"['p4', 'verse', 'v14', 'content']",In this way I will know that you have been faithful to my master.”
95,"['p4', 'verse', 'v14', 'note', 'f']","tn Heb “And let the young woman to whom I say, ‘Lower your jar that I may drink,’ and she says, ‘Drink and I will also give your camels water,’ – her you have appointed for your servant, for Isaac, and by it I will know that you have acted in faithfulness with my master.”"
96,"['p5', 'verse', 'v15', 'label']",15
97,"['p5', 'verse', 'v15', 'content']","Before he had finished praying, there came Rebekah"
98,"['p5', 'verse', 'v15', 'note', 'f']","tn Heb “Look, Rebekah was coming out!” Using the participle introduced with הִנֵּה (hinneh, “look”), the narrator dramatically transports the audience back into the event and invites them to see Rebekah through the servant’s eyes."
99,"['p5', 'verse', 'v15', 'content']",with her water jug on her shoulder. She was the daughter of Bethuel son of Milcah (Milcah was the wife of Abraham’s brother Nahor).
100,"['p5', 'verse', 'v15', 'note', 'f']","tn Heb “Look, Rebekah was coming out – [she] who was born to Bethuel, the son of Milcah, the wife of Nahor, the brother of Abraham – and her jug [was] on her shoulder.” The order of the clauses has been rearranged in the translation for stylistic reasons."
102,"['p5', 'verse', 'v16', 'label']",16
103,"['p5', 'verse', 'v16', 'content']",Now the young woman was very beautiful. She was a virgin; no man had ever had sexual relations with her.
104,"['p5', 'verse', 'v16', 'note', 'f']","tn Heb “And the young woman was very good of appearance, a virgin, and a man she had not known.” Some argue that the Hebrew noun translated “virgin” (בְּתוּלָה, bÿtulah) is better understood in a general sense, “young woman” (see Joel 1:8, where the word appears to refer to one who is married). In this case the circumstantial clause (“and a man she had not known”) would be restrictive, rather than descriptive. If the term actually means “virgin,” one wonders why the circumstantial clause is necessary (see Judg 21:12 as well). Perhaps the repetition emphasizes her sexual purity as a prerequisite for her role as the mother of the covenant community."
105,"['p5', 'verse', 'v16', 'content']","She went down to the spring, filled her jug, and came back up."
106,"['p5', 'verse', 'v17', 'label']",17
107,"['p5', 'verse', 'v17', 'content']",Abraham’s servant
108,"['p5', 'verse', 'v17', 'note', 'f']",tn Heb “and the servant.” The word “Abraham’s” has been supplied in the translation for stylistic reasons.
109,"['p5', 'verse', 'v17', 'content']","ran to meet her and said, “Please give me a sip of water from your jug.”"
110,"['p5', 'verse', 'v18', 'label']",18
111,"['p5', 'verse', 'v18', 'content']","“Drink, my lord,” she replied, and quickly lowering"
112,"['p5', 'verse', 'v18', 'note', 'f']",tn Heb “and she hurried and lowered.”
113,"['p5', 'verse', 'v18', 'content']","her jug to her hands, she gave him a drink."
114,"['p5', 'verse', 'v19', 'label']",19
115,"['p5', 'verse', 'v19', 'content']","When she had done so,"
116,"['p5', 'verse', 'v19', 'note', 'f']",tn Heb “when she had finished giving him a drink.” This has been simplified in the translation for stylistic reasons.
117,"['p5', 'verse', 'v19', 'content']","she said, “I’ll draw water for your camels too, until they have drunk as much as they want.”"
118,"['p5', 'verse', 'v20', 'label']",20
119,"['p5', 'verse', 'v20', 'content']",She quickly emptied
120,"['p5', 'verse', 'v20', 'note', 'f']",tn Heb “and she hurried and emptied.”
121,"['p5', 'verse', 'v20', 'content']",her jug into the watering trough and ran back to the well to draw more water until she had drawn enough for all his camels.
122,"['p5', 'verse', 'v21', 'label']",21
123,"['p5', 'verse', 'v21', 'content']",Silently the man watched her with interest to determine
124,"['p5', 'verse', 'v21', 'note', 'f']",tn Heb “to know.”
125,"['p5', 'verse', 'v21', 'content']",if the
126,"['p5', 'verse', 'v21', 'sc']",Lord
127,"['p5', 'verse', 'v21', 'content']",had made his journey successful
128,"['p5', 'verse', 'v21', 'note', 'f']","tn The Hebrew term צָלָה (tsalah), meaning “to make successful” in the Hiphil verbal stem, is a key term in the story (see vv. 40, 42, 56)."
129,"['p5', 'verse', 'v21', 'content']",or not.
130,"['p6', 'verse', 'v22', 'label']",22
131,"['p6', 'verse', 'v22', 'content']","After the camels had finished drinking, the man took out a gold nose ring weighing a beka"
132,"['p6', 'verse', 'v22', 'note', 'f']",sn A beka weighed about 5-6 grams (0.2 ounce).
133,"['p6', 'verse', 'v22', 'content']",and two gold bracelets weighing ten shekels
134,"['p6', 'verse', 'v22', 'note', 'f']","sn A shekel weighed about 11.5 grams (0.4 ounce) although weights varied locally, so these bracelets weighed about 4 ounces (115 grams)."
135,"['p6', 'verse', 'v22', 'content']",and gave them to her.
136,"['p6', 'verse', 'v22', 'note', 'f']","tn The words “and gave them to her” are not in the Hebrew text, but are implied."
138,"['p6', 'verse', 'v23', 'label']",23
139,"['p6', 'verse', 'v23', 'content']",“Whose daughter are you?” he asked.
140,"['p6', 'verse', 'v23', 'note', 'f']","tn Heb “and he said, ‘Whose daughter are you?’” The order of the introductory clause has been rearranged in the translation for stylistic reasons."
141,"['p6', 'verse', 'v23', 'content']","“Tell me, is there room in your father’s house for us to spend the night?”"
142,"['p7', 'verse', 'v24', 'label']",24
143,"['p7', 'verse', 'v24', 'content']","She said to him, “I am the daughter of Bethuel the son of Milcah, whom Milcah bore to Nahor."
144,"['p7', 'verse', 'v24', 'note', 'f']",tn Heb “whom she bore to Nahor.” The referent (Milcah) has been specified in the translation for clarity.
146,"['p7', 'verse', 'v25', 'label']",25
147,"['p7', 'verse', 'v25', 'content']","We have plenty of straw and feed,” she added,"
148,"['p7', 'verse', 'v25', 'note', 'f']","tn Heb “and she said, ‘We have plenty of both straw and feed.’” The order of the introductory clause has been rearranged in the translation for stylistic reasons."
149,"['p7', 'verse', 'v25', 'content']",“and room for you
150,"['p7', 'verse', 'v25', 'note', 'f']","tn Heb The words “for you” are not in the Hebrew text, but are implied."
151,"['p7', 'verse', 'v25', 'content']",to spend the night.”
152,"['p8', 'verse', 'v26', 'label']",26
153,"['p8', 'verse', 'v26', 'content']",The man bowed his head and worshiped the
154,"['p8', 'verse', 'v26', 'sc']",Lord
155,"['p8', 'verse', 'v26', 'content']",","
156,"['p8', 'verse', 'v27', 'label']",27
157,"['p8', 'verse', 'v27', 'content']",saying “Praised be the
158,"['p8', 'verse', 'v27', 'sc']",Lord
159,"['p8', 'verse', 'v27', 'content']",", the God of my master Abraham, who has not abandoned his faithful love"
160,"['p8', 'verse', 'v27', 'note', 'f']",tn Heb “his faithfulness and his commitment.”
161,"['p8', 'verse', 'v27', 'content']",for my master! The
162,"['p8', 'verse', 'v27', 'sc']",Lord
163,"['p8', 'verse', 'v27', 'content']",has led me
164,"['p8', 'verse', 'v27', 'note', 'f']",tn Heb “As for me – in the way the Lord led me.”
165,"['p8', 'verse', 'v27', 'content']",to the house
166,"['p8', 'verse', 'v27', 'note', 'f']",tn Here “house” is an adverbial accusative of termination.
167,"['p8', 'verse', 'v27', 'content']",of my master’s relatives!”
168,"['p8', 'verse', 'v27', 'note', 'f']",tn Heb “brothers.”
169,"['p9', 'verse', 'v28', 'label']",28
170,"['p9', 'verse', 'v28', 'content']",The young woman ran and told her mother’s household all about
171,"['p9', 'verse', 'v28', 'note', 'f']",tn Heb “according to.”
172,"['p9', 'verse', 'v28', 'content']",these things.
173,"['p9', 'verse', 'v29', 'label']",29
174,"['p9', 'verse', 'v29', 'content']",(Now Rebekah had a brother named Laban.)
175,"['p9', 'verse', 'v29', 'note', 'f']","tn The parenthetical disjunctive clause introduces the audience to Laban, who will eventually play an important role in the unfolding story."
176,"['p9', 'verse', 'v29', 'content']",Laban rushed out to meet the man at the spring.
177,"['p9', 'verse', 'v30', 'label']",30
178,"['p9', 'verse', 'v30', 'content']",When he saw the bracelets on his sister’s wrists and the nose ring
179,"['p9', 'verse', 'v30', 'note', 'f']",tn Heb “And it was when he saw the nose ring and the bracelets on the arms of his sister.” The word order is altered in the translation for the sake of clarity.
180,"['p9', 'verse', 'v30', 'content']","and heard his sister Rebekah say,"
181,"['p9', 'verse', 'v30', 'note', 'f']","tn Heb “and when he heard the words of Rebekah his sister, saying.”"
182,"['p9', 'verse', 'v30', 'content']","“This is what the man said to me,” he went out to meet the man. There he was, standing"
183,"['p9', 'verse', 'v30', 'note', 'f']","tn Heb “and look, he was standing.” The disjunctive clause with the participle following the particle הִנֵּה (hinneh) invites the audience to view the scene through Laban’s eyes."
184,"['p9', 'verse', 'v30', 'content']",by the camels near the spring.
185,"['p9', 'verse', 'v31', 'label']",31
186,"['p9', 'verse', 'v31', 'content']","Laban said to him,"
187,"['p9', 'verse', 'v31', 'note', 'f']",tn Heb “and he said.” The referent (Laban) has been specified and the words “to him” supplied in the translation for clarity.
188,"['p9', 'verse', 'v31', 'content']","“Come, you who are blessed by the"
189,"['p9', 'verse', 'v31', 'sc']",Lord
190,"['p9', 'verse', 'v31', 'content']",!
191,"['p9', 'verse', 'v31', 'note', 'f']","sn Laban’s obsession with wealth is apparent; to him it represents how one is blessed by the Lord. Already the author is laying the foundation for subsequent events in the narrative, where Laban’s greed becomes his dominant characteristic."
192,"['p9', 'verse', 'v31', 'content']",Why are you standing out here when I have prepared
193,"['p9', 'verse', 'v31', 'note', 'f']",tn The disjunctive clause is circumstantial.
194,"['p9', 'verse', 'v31', 'content']",the house and a place for the camels?”
195,"['p10', 'verse', 'v32', 'label']",32
196,"['p10', 'verse', 'v32', 'content']",So Abraham’s servant
197,"['p10', 'verse', 'v32', 'note', 'f']",tn Heb “the man”; the referent (Abraham’s servant) has been specified in the translation for clarity.
198,"['p10', 'verse', 'v32', 'content']",went to the house and unloaded
199,"['p10', 'verse', 'v32', 'note', 'f']","tn Some translations (e.g., NEB, NASB, NRSV) understand Laban to be the subject of this and the following verbs or take the subject of this and the following verbs as indefinite (referring to an unnamed servant; e.g., NAB, NIV)."
200,"['p10', 'verse', 'v32', 'content']",the camels. Straw and feed were given
201,"['p10', 'verse', 'v32', 'note', 'f']",tn Heb “and [one] gave.” The verb without an expressed subject may be translated as passive.
202,"['p10', 'verse', 'v32', 'content']","to the camels, and water was provided so that he and the men who were with him could wash their feet."
203,"['p10', 'verse', 'v32', 'note', 'f']",tn Heb “and water to wash his feet and the feet of the men who were with him.”
205,"['p10', 'verse', 'v33', 'label']",33
206,"['p10', 'verse', 'v33', 'content']","When food was served,"
207,"['p10', 'verse', 'v33', 'note', 'f']",tn Heb “and food was placed before him.”
208,"['p10', 'verse', 'v33', 'content']","he said, “I will not eat until I have said what I want to say.”"
209,"['p10', 'verse', 'v33', 'note', 'f']",tn Heb “my words.”
210,"['p10', 'verse', 'v33', 'content']","“Tell us,” Laban said."
211,"['p10', 'verse', 'v33', 'note', 'f']","tc Some ancient textual witnesses have a plural verb, “and they said.”
tn Heb “and he said, ‘Speak.’” The referent (Laban) has been specified in the translation for clarity."
212,"['p11', 'verse', 'v34', 'label']",34
213,"['p11', 'verse', 'v34', 'content']","“I am the servant of Abraham,” he began."
214,"['p11', 'verse', 'v35', 'label']",35
215,"['p11', 'verse', 'v35', 'content']",“The
216,"['p11', 'verse', 'v35', 'sc']",Lord
217,"['p11', 'verse', 'v35', 'content']",has richly blessed my master and he has become very wealthy.
218,"['p11', 'verse', 'v35', 'note', 'f']","tn Heb “great.” In this context the statement refers primarily to Abraham’s material wealth, although reputation and influence are not excluded."
219,"['p11', 'verse', 'v35', 'content']",The Lord
220,"['p11', 'verse', 'v35', 'note', 'f']",tn Heb “and he.” The referent (the Lord) has been specified in the translation for clarity.
221,"['p11', 'verse', 'v35', 'content']","has given him sheep and cattle, silver and gold, male and female servants, and camels and donkeys."
222,"['p11', 'verse', 'v36', 'label']",36
223,"['p11', 'verse', 'v36', 'content']",My master’s wife Sarah bore a son to him
224,"['p11', 'verse', 'v36', 'note', 'f']",tn Heb “to my master.” This has been replaced by the pronoun “him” in the translation for stylistic reasons.
225,"['p11', 'verse', 'v36', 'content']","when she was old,"
226,"['p11', 'verse', 'v36', 'note', 'f']",tn Heb “after her old age.”
227,"['p11', 'verse', 'v36', 'content']",and my master
228,"['p11', 'verse', 'v36', 'note', 'f']","tn Heb “and he.” The referent (the servant’s master, Abraham) has been specified in the translation for clarity."
229,"['p11', 'verse', 'v36', 'content']",has given him everything he owns.
230,"['p11', 'verse', 'v37', 'label']",37
231,"['p11', 'verse', 'v37', 'content']","My master made me swear an oath. He said, ‘You must not acquire a wife for my son from the daughters of the Canaanites, among whom I am living,"
232,"['p11', 'verse', 'v38', 'label']",38
233,"['p11', 'verse', 'v38', 'content']",but you must go to the family of my father and to my relatives to find
234,"['p11', 'verse', 'v38', 'note', 'f']",tn Heb “but to the house of my father you must go and to my family and you must take a wife for my son.”
235,"['p11', 'verse', 'v38', 'content']",a wife for my son.’
236,"['p11', 'verse', 'v39', 'label']",39
237,"['p11', 'verse', 'v39', 'content']","But I said to my master, ‘What if the woman does not want to go"
238,"['p11', 'verse', 'v39', 'note', 'f']",tn The imperfect is used here in a modal sense to indicate desire.
239,"['p11', 'verse', 'v39', 'content']",with me?’
240,"['p11', 'verse', 'v39', 'note', 'f']",tn Heb “after me.”
242,"['p11', 'verse', 'v40', 'label']",40
243,"['p11', 'verse', 'v40', 'content']","He answered, ‘The"
244,"['p11', 'verse', 'v40', 'sc']",Lord
245,"['p11', 'verse', 'v40', 'content']",", before whom I have walked,"
246,"['p11', 'verse', 'v40', 'note', 'f']","tn The verb is the Hitpael of הָלַךְ (halakh), meaning “live one’s life” (see Gen 17:1). The statement may simply refer to serving the Lord or it may have a more positive moral connotation (“serve faithfully”)."
247,"['p11', 'verse', 'v40', 'content']","will send his angel with you. He will make your journey a success and you will find a wife for my son from among my relatives, from my father’s family."
248,"['p11', 'verse', 'v41', 'label']",41
249,"['p11', 'verse', 'v41', 'content']",You will be free from your oath
250,"['p11', 'verse', 'v41', 'note', 'f']","tn Heb “my oath” (twice in this verse). From the Hebrew perspective the oath belonged to the person to whom it was sworn (Abraham), although in contemporary English an oath is typically viewed as belonging to the person who swears it (the servant)."
251,"['p11', 'verse', 'v41', 'content']",if you go to my relatives and they will not give her to you. Then you will be free from your oath.’
252,"['p11', 'verse', 'v42', 'label']",42
253,"['p11', 'verse', 'v42', 'content']","When I came to the spring today, I prayed, ‘O"
254,"['p11', 'verse', 'v42', 'sc']",Lord
255,"['p11', 'verse', 'v42', 'content']",", God of my master Abraham, if you have decided to make my journey successful,"
256,"['p11', 'verse', 'v42', 'note', 'f']",tn Heb “if you are making successful my way on which I am going.”
257,"['p11', 'verse', 'v42', 'content']",may events unfold as follows:
258,"['p11', 'verse', 'v42', 'note', 'f']",tn The words “may events unfold as follows” are supplied in the translation for clarification and for stylistic reasons.
260,"['p11', 'verse', 'v43', 'label']",43
261,"['p11', 'verse', 'v43', 'content']","Here I am, standing by the spring."
262,"['p11', 'verse', 'v43', 'note', 'f']",tn Heb “the spring of water.”
263,"['p11', 'verse', 'v43', 'content']",When
264,"['p11', 'verse', 'v43', 'note', 'f']",tn Heb “and it will be.”
265,"['p11', 'verse', 'v43', 'content']","the young woman goes out to draw water, I’ll say, “Give me a little water to drink from your jug.”"
266,"['p11', 'verse', 'v44', 'label']",44
267,"['p11', 'verse', 'v44', 'content']","Then she will reply to me, “Drink, and I’ll draw water for your camels too.” May that woman be the one whom the"
268,"['p11', 'verse', 'v44', 'sc']",Lord
269,"['p11', 'verse', 'v44', 'content']",has chosen for my master’s son.’
270,"['p12', 'verse', 'v45', 'label']",45
271,"['p12', 'verse', 'v45', 'content']","“Before I finished praying in my heart,"
272,"['p12', 'verse', 'v45', 'note', 'f']","tn Heb “As for me, before I finished speaking to my heart.” The adverb טֶרֶם (terem) indicates the verb is a preterite; the infinitive that follows is the direct object."
273,"['p12', 'verse', 'v45', 'content']",along came Rebekah
274,"['p12', 'verse', 'v45', 'note', 'f']","tn Heb “Look, Rebekah was coming out.” As in 24:15, the particle הִנֵּה (hinneh, “look”) is used here for dramatic effect."
275,"['p12', 'verse', 'v45', 'content']","with her water jug on her shoulder! She went down to the spring and drew water. So I said to her, ‘Please give me a drink.’"
276,"['p12', 'verse', 'v46', 'label']",46
277,"['p12', 'verse', 'v46', 'content']","She quickly lowered her jug from her shoulder and said, ‘Drink, and I’ll give your camels water too.’ So I drank, and she also gave the camels water."
278,"['p12', 'verse', 'v47', 'label']",47
