id,tag,text
0,['label'],38
1,"['s1', 'heading']",Judah and Tamar
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",At that time Judah left
4,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “went down from.”
5,"['p1', 'verse', 'v1', 'content']",his brothers and stayed
6,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “and he turned aside unto.”
7,"['p1', 'verse', 'v1', 'content']",with an Adullamite man
8,"['p1', 'verse', 'v1', 'note', 'f']","tn Heb “a man, an Adullamite.”"
9,"['p1', 'verse', 'v1', 'content']",named Hirah.
10,"['p2', 'verse', 'v2', 'label']",2
11,"['p2', 'verse', 'v2', 'content']",There Judah saw the daughter of a Canaanite man
12,"['p2', 'verse', 'v2', 'note', 'f']","tn Heb “a man, a Canaanite.”"
13,"['p2', 'verse', 'v2', 'content']",named Shua.
14,"['p2', 'verse', 'v2', 'note', 'f']",tn Heb “and his name was Shua.”
15,"['p2', 'verse', 'v2', 'content']",Judah acquired her as a wife
16,"['p2', 'verse', 'v2', 'note', 'f']",tn Heb “and he took her.”
17,"['p2', 'verse', 'v2', 'content']",and had marital relations with her.
18,"['p2', 'verse', 'v2', 'note', 'f']",tn Heb “and he went to her.” This expression is a euphemism for sexual intercourse.
20,"['p2', 'verse', 'v3', 'label']",3
21,"['p2', 'verse', 'v3', 'content']",She became pregnant
22,"['p2', 'verse', 'v3', 'note', 'f']",tn Or “she conceived” (also in the following verse).
23,"['p2', 'verse', 'v3', 'content']",and had a son. Judah named
24,"['p2', 'verse', 'v3', 'note', 'f']","tc Some mss read this verb as feminine, “she called,” to match the pattern of the next two verses. But the MT, “he called,” should probably be retained as the more difficult reading.
tn Heb “and he called his name.” The referent (Judah) has been specified in the translation for clarity."
25,"['p2', 'verse', 'v3', 'content']",him Er.
26,"['p2', 'verse', 'v4', 'label']",4
27,"['p2', 'verse', 'v4', 'content']","She became pregnant again and had another son, whom she named Onan."
28,"['p2', 'verse', 'v5', 'label']",5
29,"['p2', 'verse', 'v5', 'content']",Then she had
30,"['p2', 'verse', 'v5', 'note', 'f']",tn Heb “and she added again and she gave birth.” The first verb and the adverb emphasize that she gave birth once more.
31,"['p2', 'verse', 'v5', 'content']","yet another son, whom she named Shelah. She gave birth to him in Kezib."
32,"['p2', 'verse', 'v5', 'note', 'f']","tn Or “and he [i.e., Judah] was in Kezib when she gave birth to him.”"
33,"['p3', 'verse', 'v6', 'label']",6
34,"['p3', 'verse', 'v6', 'content']",Judah acquired
35,"['p3', 'verse', 'v6', 'note', 'f']",tn Heb “and Judah took.”
36,"['p3', 'verse', 'v6', 'content']",a wife for Er his firstborn; her name was Tamar.
37,"['p3', 'verse', 'v7', 'label']",7
38,"['p3', 'verse', 'v7', 'content']","But Er, Judah’s firstborn, was evil in the"
39,"['p3', 'verse', 'v7', 'sc']",Lord
40,"['p3', 'verse', 'v7', 'content']","’s sight, so the"
41,"['p3', 'verse', 'v7', 'sc']",Lord
42,"['p3', 'verse', 'v7', 'content']",killed him.
43,"['p4', 'verse', 'v8', 'label']",8
44,"['p4', 'verse', 'v8', 'content']","Then Judah said to Onan, “Have sexual relations with"
45,"['p4', 'verse', 'v8', 'note', 'f']",tn Heb “go to.” The expression is a euphemism for sexual intercourse.
46,"['p4', 'verse', 'v8', 'content']",your brother’s wife and fulfill the duty of a brother-in-law to her so that you may raise
47,"['p4', 'verse', 'v8', 'note', 'f']",tn The imperative with the prefixed conjunction here indicates purpose.
48,"['p4', 'verse', 'v8', 'content']",up a descendant for your brother.”
49,"['p4', 'verse', 'v8', 'note', 'f']","sn Raise up a descendant for your brother. The purpose of this custom, called the levirate system, was to ensure that no line of the family would become extinct. The name of the deceased was to be maintained through this custom of having a child by the nearest relative. See M. Burrows, “Levirate Marriage in Israel,” JBL 59 (1940): 23-33."
51,"['p4', 'verse', 'v9', 'label']",9
52,"['p4', 'verse', 'v9', 'content']",But Onan knew that the child
53,"['p4', 'verse', 'v9', 'note', 'f']",tn Heb “offspring.”
54,"['p4', 'verse', 'v9', 'content']",would not be considered his.
55,"['p4', 'verse', 'v9', 'note', 'f']","tn Heb “would not be his,” that is, legally speaking. Under the levirate system the child would be legally considered the child of his deceased brother."
56,"['p4', 'verse', 'v9', 'content']",So whenever
57,"['p4', 'verse', 'v9', 'note', 'f']","tn The construction shows that this was a repeated practice and not merely one action.
sn The text makes it clear that the purpose of the custom was to produce an heir for the deceased brother. Onan had no intention of doing that. But he would have sex with the girl as much as he wished. He was willing to use the law to gratify his desires, but was not willing to do the responsible thing."
58,"['p4', 'verse', 'v9', 'content']",he had sexual relations with
59,"['p4', 'verse', 'v9', 'note', 'f']",tn Heb “he went to.” This expression is a euphemism for sexual intercourse.
60,"['p4', 'verse', 'v9', 'content']","his brother’s wife, he withdrew prematurely"
61,"['p4', 'verse', 'v9', 'note', 'f']",tn Heb “he spoiled [his semen] to the ground.” Onan withdrew prematurely and ejaculated on the ground to prevent his brother’s widow from becoming pregnant.
62,"['p4', 'verse', 'v9', 'content']",so as not to give his brother a descendant.
63,"['p4', 'verse', 'v10', 'label']",10
64,"['p4', 'verse', 'v10', 'content']",What he did was evil in the
65,"['p4', 'verse', 'v10', 'sc']",Lord
66,"['p4', 'verse', 'v10', 'content']","’s sight, so the"
67,"['p4', 'verse', 'v10', 'sc']",Lord
