id,tag,text
0,['label'],29
1,"['s1', 'heading']",Narrative Interlude
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",(28:69)
4,"['p1', 'verse', 'v1', 'note', 'f']","sn Beginning with 29:1, the verse numbers through 29:29 in the English Bible differ from the verse numbers in the Hebrew text (BHS), with 29:1 ET = 28:69 HT, 29:2 ET = 29:1 HT, 29:3 ET = 29:2 HT, etc., through 29:29 ET = 29:28 HT. With 30:1 the verse numbers in the ET and HT are again the same."
5,"['p1', 'verse', 'v1', 'content']",These are the words of the covenant that the
6,"['p1', 'verse', 'v1', 'sc']",Lord
7,"['p1', 'verse', 'v1', 'content']","commanded Moses to make with the people of Israel in the land of Moab, in addition to the covenant he had made with them at Horeb."
8,"['p1', 'verse', 'v1', 'note', 'f']","sn Horeb is another name for Mount Sinai (which some English versions substitute here for clarity, cf. NCV, TEV, CEV, NLT)."
9,"['s1', 'heading']","The Exodus, Wandering, and Conquest Reviewed"
10,"['p2', 'verse', 'v2', 'label']",2
11,"['p2', 'verse', 'v2', 'content']",Moses proclaimed to all Israel as follows: “You have seen all that the
12,"['p2', 'verse', 'v2', 'sc']",Lord
13,"['p2', 'verse', 'v2', 'content']",did
14,"['p2', 'verse', 'v2', 'note', 'f']","tn The Hebrew text includes “to your eyes,” but this is redundant in English style (cf. the preceding “you have seen”) and is omitted in the translation."
15,"['p2', 'verse', 'v2', 'content']","in the land of Egypt to Pharaoh, all his servants, and his land."
16,"['p2', 'verse', 'v3', 'label']",3
17,"['p2', 'verse', 'v3', 'content']","Your eyes have seen the great judgments,"
18,"['p2', 'verse', 'v3', 'note', 'f']",tn Heb “testings.” This is a reference to the plagues; see note at 4:34.
19,"['p2', 'verse', 'v3', 'content']",those signs and mighty wonders.
20,"['p2', 'verse', 'v4', 'label']",4
21,"['p2', 'verse', 'v4', 'content']",But to this very day the
22,"['p2', 'verse', 'v4', 'sc']",Lord
23,"['p2', 'verse', 'v4', 'content']","has not given you an understanding mind, perceptive eyes, or discerning ears!"
24,"['p2', 'verse', 'v4', 'note', 'f']","tn Heb “a heart to know, eyes to see and ears to hear” (NASB similar); NAB, NRSV “a mind to understand, or eyes to see, or ears to hear.”"
26,"['p2', 'verse', 'v5', 'label']",5
