id,tag,text
0,['label'],25
1,"['p1', 'verse', 'v1', 'label']",1
2,"['p1', 'verse', 'v1', 'content']","If controversy arises between people,"
3,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “men.”
4,"['p1', 'verse', 'v1', 'content']",they should go to court for judgment. When the judges
5,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “they”; the referent (the judges) has been specified in the translation for clarity.
6,"['p1', 'verse', 'v1', 'content']","hear the case, they shall exonerate"
7,"['p1', 'verse', 'v1', 'note', 'f']","tn Heb “declare to be just”; KJV, NASB “justify the righteous”; NAB, NIV “acquitting the innocent.”"
8,"['p1', 'verse', 'v1', 'content']",the innocent but condemn
9,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “declare to be evil”; NIV “condemning the guilty (+ party NAB).”
10,"['p1', 'verse', 'v1', 'content']",the guilty.
11,"['p1', 'verse', 'v2', 'label']",2
12,"['p1', 'verse', 'v2', 'content']","Then,"
13,"['p1', 'verse', 'v2', 'note', 'f']",tn Heb “and it will be.”
14,"['p1', 'verse', 'v2', 'content']","if the guilty person is sentenced to a beating,"
15,"['p1', 'verse', 'v2', 'note', 'f']",tn Heb “if the evil one is a son of smiting.”
16,"['p1', 'verse', 'v2', 'content']",the judge shall force him to lie down and be beaten in his presence with the number of blows his wicked behavior deserves.
17,"['p1', 'verse', 'v2', 'note', 'f']","tn Heb “according to his wickedness, by number.”"
19,"['p1', 'verse', 'v3', 'label']",3
20,"['p1', 'verse', 'v3', 'content']",The judge
21,"['p1', 'verse', 'v3', 'note', 'f']",tn Heb “he”; the referent (the judge) has been specified in the translation for clarity.
22,"['p1', 'verse', 'v3', 'content']","may sentence him to forty blows,"
23,"['p1', 'verse', 'v3', 'note', 'f']","tn Heb “Forty blows he may strike him”; however, since the judge is to witness the punishment (v. 2) it is unlikely the judge himself administered it."
24,"['p1', 'verse', 'v3', 'content']","but no more. If he is struck with more than these, you might view your fellow Israelite"
25,"['p1', 'verse', 'v3', 'note', 'f']","tn Heb “your brothers” but not limited only to an actual sibling; cf. NAB) “your kinsman”; NRSV, NLT “your neighbor.”"
26,"['p1', 'verse', 'v3', 'content']",with contempt.
27,"['p2', 'verse', 'v4', 'label']",4
28,"['p2', 'verse', 'v4', 'content']",You must not muzzle your
29,"['p2', 'verse', 'v4', 'note', 'f']",tn Heb “an.” By implication this is one’s own animal.
30,"['p2', 'verse', 'v4', 'content']",ox when it is treading grain.
31,"['s1', 'heading']",Respect for the Sanctity of Others
32,"['p3', 'verse', 'v5', 'label']",5
33,"['p3', 'verse', 'v5', 'content']","If brothers live together and one of them dies without having a son, the dead man’s wife must not remarry someone outside the family. Instead, her late husband’s brother must go to her, marry her,"
34,"['p3', 'verse', 'v5', 'note', 'f']",tn Heb “take her as wife”; NRSV “taking her in marriage.”
35,"['p3', 'verse', 'v5', 'content']",and perform the duty of a brother-in-law.
36,"['p3', 'verse', 'v5', 'note', 'f']","sn This is the so-called “levirate” custom (from the Latin term levir, “brother-in-law”), an ancient provision whereby a man who died without male descendants to carry on his name could have a son by proxy, that is, through a surviving brother who would marry his widow and whose first son would then be attributed to the brother who had died. This is the only reference to this practice in an OT legal text but it is illustrated in the story of Judah and his sons (Gen 38) and possibly in the account of Ruth and Boaz (Ruth 2:8; 3:12; 4:6)."
38,"['p3', 'verse', 'v6', 'label']",6
39,"['p3', 'verse', 'v6', 'content']",Then
40,"['p3', 'verse', 'v6', 'note', 'f']",tn Heb “and it will be that.”
41,"['p3', 'verse', 'v6', 'content']",the first son
