id,tag,text
0,['label'],2
1,"['s1', 'heading']",The Journey from Kadesh Barnea to Moab
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",Then we turned and set out toward the desert land on the way to the Red Sea
4,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “Reed Sea.” See note on the term “Red Sea” in Deut 1:40.
5,"['p1', 'verse', 'v1', 'content']",just as the
6,"['p1', 'verse', 'v1', 'sc']",Lord
7,"['p1', 'verse', 'v1', 'content']","told me to do, detouring around Mount Seir for a long time."
8,"['p1', 'verse', 'v2', 'label']",2
9,"['p1', 'verse', 'v2', 'content']",At this point the
10,"['p1', 'verse', 'v2', 'sc']",Lord
11,"['p1', 'verse', 'v2', 'content']","said to me,"
12,"['p1', 'verse', 'v3', 'label']",3
13,"['p1', 'verse', 'v3', 'content']",“You have circled around this mountain long enough; now turn north.
14,"['p1', 'verse', 'v4', 'label']",4
15,"['p1', 'verse', 'v4', 'content']",Instruct
16,"['p1', 'verse', 'v4', 'note', 'f']","tn Heb “command” (so KJV, NASB); NRSV “charge the people as follows.”"
17,"['p1', 'verse', 'v4', 'content']",these people as follows: ‘You are about to cross the border of your relatives
18,"['p1', 'verse', 'v4', 'note', 'f']",tn Heb “brothers”; NAB “your kinsmen.”
19,"['p1', 'verse', 'v4', 'content']","the descendants of Esau,"
20,"['p1', 'verse', 'v4', 'note', 'f']","sn The descendants of Esau (Heb “sons of Esau”; the phrase also occurs in 2:8, 12, 22, 29). These are the inhabitants of the land otherwise known as Edom, south and east of the Dead Sea. Jacob’s brother Esau had settled there after his bitter strife with Jacob (Gen 36:1-8). “Edom” means “reddish,” probably because of the red sandstone of the region, but also by popular etymology because Esau, at birth, was reddish (Gen 25:25)."
21,"['p1', 'verse', 'v4', 'content']","who inhabit Seir. They will be afraid of you, so watch yourselves carefully."
22,"['p1', 'verse', 'v5', 'label']",5
23,"['p1', 'verse', 'v5', 'content']","Do not be hostile toward them, because I am not giving you any of their land, not even a footprint, for I have given Mount Seir"
24,"['p1', 'verse', 'v5', 'note', 'f']",sn Mount Seir is synonymous with Edom.
25,"['p1', 'verse', 'v5', 'content']",as an inheritance for Esau.
26,"['p1', 'verse', 'v6', 'label']",6
27,"['p1', 'verse', 'v6', 'content']",You may purchase
28,"['p1', 'verse', 'v6', 'note', 'f']",tn Heb includes “with silver.”
29,"['p1', 'verse', 'v6', 'content']",food to eat and water to drink from them.
30,"['p1', 'verse', 'v7', 'label']",7
31,"['p1', 'verse', 'v7', 'content']","All along the way I, the"
32,"['p1', 'verse', 'v7', 'sc']",Lord
33,"['p1', 'verse', 'v7', 'content']","your God,"
34,"['p1', 'verse', 'v7', 'note', 'f']",tn The Hebrew text does not have the first person pronoun; it has been supplied for purposes of English style (the Lord is speaking here).
35,"['p1', 'verse', 'v7', 'content']",have blessed your every effort.
36,"['p1', 'verse', 'v7', 'note', 'f']",tn Heb “all the work of your hands.”
37,"['p1', 'verse', 'v7', 'content']",I have
38,"['p1', 'verse', 'v7', 'note', 'f']",tn Heb “he has.” This has been converted to first person in the translation in keeping with English style.
39,"['p1', 'verse', 'v7', 'content']",been attentive to
40,"['p1', 'verse', 'v7', 'note', 'f']","tn Heb “known” (so ASV, NASB); NAB “been concerned about.”"
41,"['p1', 'verse', 'v7', 'content']",your travels through this great wasteland. These forty years I have
