id,tag,text
0,['label'],21
1,"['s1', 'heading']",Levitical Cities
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",The tribal leaders of the Levites went before Eleazar the priest and Joshua son of Nun and the Israelite tribal leaders
4,"['p1', 'verse', 'v2', 'label']",2
5,"['p1', 'verse', 'v2', 'content']","in Shiloh in the land of Canaan and said, “The"
6,"['p1', 'verse', 'v2', 'sc']",Lord
7,"['p1', 'verse', 'v2', 'content']",told Moses to assign us cities in which to live along with the grazing areas for our cattle.”
8,"['p1', 'verse', 'v3', 'label']",3
9,"['p1', 'verse', 'v3', 'content']","So the Israelites assigned these cities and their grazing areas to the Levites from their own holdings, as the"
10,"['p1', 'verse', 'v3', 'sc']",Lord
11,"['p1', 'verse', 'v3', 'content']",had instructed.
12,"['p2', 'verse', 'v4', 'label']",4
13,"['p2', 'verse', 'v4', 'content']",The first lot belonged to
14,"['p2', 'verse', 'v4', 'note', 'f']",tn Heb “came out for.”
15,"['p2', 'verse', 'v4', 'content']","the Kohathite clans. The Levites who were descendants of Aaron the priest were allotted thirteen cities from the tribes of Judah, Simeon, and Benjamin."
16,"['p2', 'verse', 'v5', 'label']",5
17,"['p2', 'verse', 'v5', 'content']","The rest of Kohath’s descendants were allotted ten cities from the clans of the tribe of Ephraim, and from the tribe of Dan and the half-tribe of Manasseh."
18,"['p2', 'verse', 'v6', 'label']",6
19,"['p2', 'verse', 'v6', 'content']","Gershon’s descendants were allotted thirteen cities from the clans of the tribe of Issachar, and from the tribes of Asher and Naphtali and the half-tribe of Manasseh in Bashan."
20,"['p2', 'verse', 'v7', 'label']",7
21,"['p2', 'verse', 'v7', 'content']","Merari’s descendants by their clans were allotted twelve cities from the tribes of Reuben, Gad, and Zebulun."
22,"['p2', 'verse', 'v8', 'label']",8
23,"['p2', 'verse', 'v8', 'content']","So the Israelites assigned to the Levites by lot these cities and their grazing areas, as the"
24,"['p2', 'verse', 'v8', 'sc']",Lord
25,"['p2', 'verse', 'v8', 'content']",had instructed Moses.
26,"['p3', 'verse', 'v9', 'label']",9
27,"['p3', 'verse', 'v9', 'content']",They assigned from the tribes of Judah and Simeon the cities listed below.
28,"['p3', 'verse', 'v10', 'label']",10
29,"['p3', 'verse', 'v10', 'content']","They were assigned to the Kohathite clans of the Levites who were descendants of Aaron,"
30,"['p3', 'verse', 'v10', 'note', 'f']","tn Heb “and it belonged to the sons of Aaron, from the Kohathite clans, from the sons of Levi.”"
31,"['p3', 'verse', 'v10', 'content']",for the first lot belonged to them.
32,"['p3', 'verse', 'v11', 'label']",11
33,"['p3', 'verse', 'v11', 'content']","They assigned them Kiriath Arba (Arba was the father of Anak), that is, Hebron, in the hill country of Judah, along with its surrounding grazing areas."
34,"['p3', 'verse', 'v12', 'label']",12
35,"['p3', 'verse', 'v12', 'content']",(Now the city’s fields and surrounding towns they had assigned to Caleb son of Jephunneh as his property.)
36,"['p3', 'verse', 'v13', 'label']",13
37,"['p3', 'verse', 'v13', 'content']","So to the descendants of Aaron the priest they assigned Hebron (a city of refuge for one who committed manslaughter), Libnah,"
38,"['p3', 'verse', 'v14', 'label']",14
39,"['p3', 'verse', 'v14', 'content']","Jattir, Eshtemoa,"
40,"['p3', 'verse', 'v15', 'label']",15
41,"['p3', 'verse', 'v15', 'content']","Holon, Debir,"
42,"['p3', 'verse', 'v16', 'label']",16
43,"['p3', 'verse', 'v16', 'content']","Ain, Juttah, and Beth Shemesh, along with the grazing areas of each – a total of nine cities taken from these two tribes."
44,"['p3', 'verse', 'v17', 'label']",17
45,"['p3', 'verse', 'v17', 'content']",From the tribe of Benjamin they assigned
46,"['p3', 'verse', 'v17', 'note', 'f']","tn The words “they assigned” are supplied for clarification (also in vv. 23, 25)."
47,"['p3', 'verse', 'v17', 'content']","Gibeon, Geba,"
48,"['p3', 'verse', 'v18', 'label']",18
49,"['p3', 'verse', 'v18', 'content']","Anathoth, and Almon, along with the grazing areas of each – a total of four cities."
50,"['p3', 'verse', 'v19', 'label']",19
51,"['p3', 'verse', 'v19', 'content']",The priests descended from Aaron received thirteen cities and their grazing areas.
52,"['p4', 'verse', 'v20', 'label']",20
53,"['p4', 'verse', 'v20', 'content']",The rest of the Kohathite clans of the Levites were allotted cities from the tribe of Ephraim.
54,"['p4', 'verse', 'v21', 'label']",21
55,"['p4', 'verse', 'v21', 'content']","They assigned them Shechem (a city of refuge for one who committed manslaughter) in the hill country of Ephraim, Gezer,"
56,"['p4', 'verse', 'v22', 'label']",22
57,"['p4', 'verse', 'v22', 'content']","Kibzaim, and Beth Horon, along with the grazing areas of each – a total of four cities."
58,"['p4', 'verse', 'v23', 'label']",23
59,"['p4', 'verse', 'v23', 'content']","From the tribe of Dan they assigned Eltekeh, Gibbethon,"
60,"['p4', 'verse', 'v24', 'label']",24
61,"['p4', 'verse', 'v24', 'content']","Aijalon, and Gath Rimmon, along with the grazing areas of each – a total of four cities."
62,"['p4', 'verse', 'v25', 'label']",25
63,"['p4', 'verse', 'v25', 'content']","From the half-tribe of Manasseh they assigned Taanach and Gath Rimmon,"
64,"['p4', 'verse', 'v25', 'note', 'f']","tn The name “Gath Rimmon” is problematic here, for it appears in the preceding list of Danite cities. The LXX reads “Iebatha”; 1 Chr 6:55 HT (6:70 ET) reads “Bileam.” Most modern translations retain the name “Gath Rimmon,” however."
65,"['p4', 'verse', 'v25', 'content']",along with the grazing areas of each – a total of two cities.
66,"['p4', 'verse', 'v26', 'label']",26
67,"['p4', 'verse', 'v26', 'content']",The rest of the Kohathite clans received ten cities and their grazing areas.
68,"['p5', 'verse', 'v27', 'label']",27
69,"['p5', 'verse', 'v27', 'content']",They assigned to the Gershonite clans of the Levites the following cities:
70,"['p5', 'verse', 'v27', 'note', 'f']",tn The words “they assigned” and “the following cities” are supplied for clarification (also in v. 34).
71,"['p5', 'verse', 'v27', 'content']","from the half-tribe of Manasseh: Golan in Bashan (a city of refuge for one who committed manslaughter) and Beeshtarah, along with the grazing areas of each – a total of two cities;"
72,"['p5', 'verse', 'v28', 'label']",28
73,"['p5', 'verse', 'v28', 'content']","from the tribe of Issachar: Kishon, Daberath,"
74,"['p5', 'verse', 'v29', 'label']",29
75,"['p5', 'verse', 'v29', 'content']","Jarmuth, and En Gannim, along with the grazing areas of each – a total of four cities;"
76,"['p5', 'verse', 'v30', 'label']",30
77,"['p5', 'verse', 'v30', 'content']","from the tribe of Asher: Mishal, Abdon,"
78,"['p5', 'verse', 'v31', 'label']",31
79,"['p5', 'verse', 'v31', 'content']","Helkath, and Rehob, along with the grazing areas of each – a total of four cities;"
80,"['p5', 'verse', 'v32', 'label']",32
81,"['p5', 'verse', 'v32', 'content']","from the tribe of Naphtali: Kedesh in Galilee (a city of refuge for one who committed manslaughter), Hammoth Dor, and Kartan, along with the grazing areas of each – a total of three cities."
82,"['p5', 'verse', 'v33', 'label']",33
83,"['p5', 'verse', 'v33', 'content']",The Gershonite clans received thirteen cities and their grazing areas.
84,"['p6', 'verse', 'v34', 'label']",34
85,"['p6', 'verse', 'v34', 'content']","They assigned to the Merarite clans (the remaining Levites) the following cities: from the tribe of Zebulun: Jokneam, Kartah,"
86,"['p6', 'verse', 'v35', 'label']",35
87,"['p6', 'verse', 'v35', 'content']","Dimnah, and Nahalal, along with the grazing areas of each – a total of four cities;"
88,"['p6', 'verse', 'v36', 'label']",36
89,"['p6', 'verse', 'v36', 'note', 'f']","tc 21:36-37 are accidentally omitted from a number of significant Hebrew mss. They are, however, found in some Hebrew mss, the LXX and Vulgate."
90,"['p6', 'verse', 'v36', 'content']","from the tribe of Reuben: Bezer, Jahaz,"
91,"['p6', 'verse', 'v37', 'label']",37
92,"['p6', 'verse', 'v37', 'content']","Kedemoth, and Mephaath, along with the grazing areas of each – a total of four cities;"
93,"['p6', 'verse', 'v38', 'label']",38
94,"['p6', 'verse', 'v38', 'content']","from the tribe of Gad: Ramoth in Gilead (a city of refuge for one who committed manslaughter), Mahanaim,"
95,"['p6', 'verse', 'v39', 'label']",39
96,"['p6', 'verse', 'v39', 'content']","Heshbon, and Jazer, along with the grazing areas of each – a total of four cities."
97,"['p6', 'verse', 'v40', 'label']",40
98,"['p6', 'verse', 'v40', 'content']",The Merarite clans (the remaining Levites) were allotted twelve cities.
99,"['p7', 'verse', 'v41', 'label']",41
100,"['p7', 'verse', 'v41', 'content']",The Levites received within the land owned by the Israelites
101,"['p7', 'verse', 'v41', 'note', 'f']",tn Heb “in the midst of the possession of the sons of Israel.”
102,"['p7', 'verse', 'v41', 'content']",forty-eight cities in all and their grazing areas.
103,"['p7', 'verse', 'v42', 'label']",42
104,"['p7', 'verse', 'v42', 'content']",Each of these cities had grazing areas around it; they were alike in this regard.
105,"['p7', 'verse', 'v42', 'note', 'f']","tn Heb “these cities were city [by] city, and its grazing areas [were] around it; so [it was] for all these cities.”"
106,"['p8', 'verse', 'v43', 'label']",43
107,"['p8', 'verse', 'v43', 'content']",So the
108,"['p8', 'verse', 'v43', 'sc']",Lord
109,"['p8', 'verse', 'v43', 'content']","gave Israel all the land he had solemnly promised to their ancestors,"
110,"['p8', 'verse', 'v43', 'note', 'f']",tn Heb “which he had sworn to give to their fathers.”
111,"['p8', 'verse', 'v43', 'content']",and they conquered
112,"['p8', 'verse', 'v43', 'note', 'f']",tn Or “possessed.”
113,"['p8', 'verse', 'v43', 'content']",it and lived in it.
114,"['p8', 'verse', 'v44', 'label']",44
115,"['p8', 'verse', 'v44', 'content']",The
116,"['p8', 'verse', 'v44', 'sc']",Lord
117,"['p8', 'verse', 'v44', 'content']","made them secure,"
118,"['p8', 'verse', 'v44', 'note', 'f']",tn Heb “gave them rest all around.”
119,"['p8', 'verse', 'v44', 'content']",in fulfillment of all he had solemnly promised their ancestors.
120,"['p8', 'verse', 'v44', 'note', 'f']",tn Heb “according to all he swore to their fathers.”
121,"['p8', 'verse', 'v44', 'content']",None of their enemies could resist them.
122,"['p8', 'verse', 'v44', 'note', 'f']",tn Heb “not a man stood from before them from all their enemies.”
124,"['p8', 'verse', 'v45', 'label']",45
125,"['p8', 'verse', 'v45', 'content']",Not one of the
126,"['p8', 'verse', 'v45', 'sc']",Lord
127,"['p8', 'verse', 'v45', 'content']",’s faithful promises to the family of Israel
128,"['p8', 'verse', 'v45', 'note', 'f']","tn Heb “the house of Israel.” Cf. NCV “the Israelites”; TEV “the people of Israel”; CEV, NLT “Israel.”"
129,"['p8', 'verse', 'v45', 'content']",was left unfulfilled; every one was realized.
130,"['p8', 'verse', 'v45', 'note', 'f']",tn Heb “not a word from all the good word which the Lord spoke to the house of Israel fell; the whole came to pass.”
