id,tag,text
70,"[70, 'p3', 'verse', 'v11', 'nd']",Lord
71,"[71, 'p3', 'verse', 'v11', 'content']",and served the Baals.
72,"['v011_ESV_JDG_002', 72, 'p3', 'verse', 'v11', 'plain_text']",11 And the people of Israel did what was evil in the sight of the Lord and served the Baals.
73,"[73, 'p3', 'verse', 'v12', 'label']",12
74,"[74, 'p3', 'verse', 'v12', 'note', 'x']",#Deut. 31:16
75,"[75, 'p3', 'verse', 'v12', 'content']",And they abandoned the
76,"[76, 'p3', 'verse', 'v12', 'nd']",Lord
77,"[77, 'p3', 'verse', 'v12', 'content']",", the God of their fathers, who had brought them out of the land of Egypt."
78,"[78, 'p3', 'verse', 'v12', 'note', 'x']",#[Deut. 6:14]
79,"[79, 'p3', 'verse', 'v12', 'content']","They went after other gods, from among the gods of the peoples who were around them, and"
80,"[80, 'p3', 'verse', 'v12', 'note', 'x']","#ver.17, 19;[Ex. 20:5]"
81,"[81, 'p3', 'verse', 'v12', 'content']",bowed down to them.
82,"[82, 'p3', 'verse', 'v12', 'note', 'x']",#Deut. 31:29
83,"[83, 'p3', 'verse', 'v12', 'content']",And they provoked the
84,"[84, 'p3', 'verse', 'v12', 'nd']",Lord
85,"[85, 'p3', 'verse', 'v12', 'content']",to anger.
86,"['v012_ESV_JDG_002', 86, 'p3', 'verse', 'v12', 'plain_text']","12 And they abandoned the Lord , the God of their fathers, who had brought them out of the land of Egypt. They went after other gods, from among the gods of the peoples who were around them, and bowed down to them. And they provoked the Lord to anger."
87,"[87, 'p3', 'verse', 'v13', 'label']",13
88,"[88, 'p3', 'verse', 'v13', 'content']",They abandoned the
89,"[89, 'p3', 'verse', 'v13', 'nd']",Lord
90,"[90, 'p3', 'verse', 'v13', 'note', 'x']",#ch.3:7;10:6;Ps. 106:36;[1 Sam. 7:4]
91,"[91, 'p3', 'verse', 'v13', 'content']",and served the Baals and the Ashtaroth.
92,"['v013_ESV_JDG_002', 92, 'p3', 'verse', 'v13', 'plain_text']",13 They abandoned the Lord and served the Baals and the Ashtaroth.
93,"[93, 'p3', 'verse', 'v14', 'label']",14
94,"[94, 'p3', 'verse', 'v14', 'note', 'x']",#ver.20
95,"[95, 'p3', 'verse', 'v14', 'content']",So the anger of the
96,"[96, 'p3', 'verse', 'v14', 'nd']",Lord
97,"[97, 'p3', 'verse', 'v14', 'content']","was kindled against Israel, and he"
98,"[98, 'p3', 'verse', 'v14', 'note', 'x']",#2 Kgs. 17:20
99,"[99, 'p3', 'verse', 'v14', 'content']","gave them over to plunderers, who plundered them."
100,"[100, 'p3', 'verse', 'v14', 'note', 'x']",#ch.3:8;4:2;[Deut. 32:30;1 Sam. 12:9]
101,"[101, 'p3', 'verse', 'v14', 'content']","And he sold them into the hand of their surrounding enemies,"
102,"[102, 'p3', 'verse', 'v14', 'note', 'x']","#Lev. 26:37;Josh. 7:12,13"
103,"[103, 'p3', 'verse', 'v14', 'content']",so that they could no longer withstand their enemies.
104,"['v014_ESV_JDG_002', 104, 'p3', 'verse', 'v14', 'plain_text']","14 So the anger of the Lord was kindled against Israel, and he gave them over to plunderers, who plundered them. And he sold them into the hand of their surrounding enemies, so that they could no longer withstand their enemies."
105,"[105, 'p3', 'verse', 'v15', 'label']",15
106,"[106, 'p3', 'verse', 'v15', 'content']","Whenever they marched out, the hand of the"
107,"[107, 'p3', 'verse', 'v15', 'nd']",Lord
108,"[108, 'p3', 'verse', 'v15', 'content']","was against them for harm, as the"
109,"[109, 'p3', 'verse', 'v15', 'nd']",Lord
110,"[110, 'p3', 'verse', 'v15', 'content']","had warned,"
111,"[111, 'p3', 'verse', 'v15', 'note', 'x']",#SeeLev. 26:14-46;Deut. 28:15-68
112,"[112, 'p3', 'verse', 'v15', 'content']",and as the
113,"[113, 'p3', 'verse', 'v15', 'nd']",Lord
114,"[114, 'p3', 'verse', 'v15', 'content']",had sworn to them. And they were in terrible distress.
115,"[115, 's1', 'heading']",The
116,"[116, 's1', 'nd', 'heading']",Lord
117,"['v015_ESV_JDG_002', 117, 'p3', 'verse', 'v15', 'plain_text']","15 Whenever they marched out, the hand of the Lord was against them for harm, as the Lord had warned, and as the Lord had sworn to them. And they were in terrible distress."
118,"[118, 's1', 'heading']",Raises Up Judges
119,"[119, 'p4', 'verse', 'v16', 'label']",16
120,"[120, 'p4', 'verse', 'v16', 'note', 'x']","#ch.3:9,15;1 Sam. 12:11;Acts 13:20"
121,"[121, 'p4', 'verse', 'v16', 'content']",Then the
122,"[122, 'p4', 'verse', 'v16', 'nd']",Lord
123,"[123, 'p4', 'verse', 'v16', 'content']","raised up judges,"
124,"[124, 'p4', 'verse', 'v16', 'note', 'x']","#ch.3:31;10:1,12,13;12:2,3;13:5;[ch.3:9;Neh. 9:27]"
125,"[125, 'p4', 'verse', 'v16', 'content']",who saved them out of the hand of those who plundered them.
126,"['v016_ESV_JDG_002', 126, 'p4', 'verse', 'v16', 'plain_text']","16 Then the Lord raised up judges, who saved them out of the hand of those who plundered them."
127,"[127, 'p4', 'verse', 'v17', 'label']",17
128,"[128, 'p4', 'verse', 'v17', 'content']","Yet they did not listen to their judges, for"
129,"[129, 'p4', 'verse', 'v17', 'note', 'x']",#ch.8:33;Ex. 34:15
130,"[130, 'p4', 'verse', 'v17', 'content']",they whored after other gods and bowed down to them.
131,"[131, 'p4', 'verse', 'v17', 'note', 'x']",#Deut. 9:12
132,"[132, 'p4', 'verse', 'v17', 'content']","They soon turned aside from the way in which their fathers had walked, who had obeyed the commandments of the"
133,"[133, 'p4', 'verse', 'v17', 'nd']",Lord
134,"[134, 'p4', 'verse', 'v17', 'content']",", and they did not do so."
135,"['v017_ESV_JDG_002', 135, 'p4', 'verse', 'v17', 'plain_text']","17 Yet they did not listen to their judges, for they whored after other gods and bowed down to them. They soon turned aside from the way in which their fathers had walked, who had obeyed the commandments of the Lord , and they did not do so."
136,"[136, 'p4', 'verse', 'v18', 'label']",18
137,"[137, 'p4', 'verse', 'v18', 'content']",Whenever the
138,"[138, 'p4', 'verse', 'v18', 'nd']",Lord
139,"[139, 'p4', 'verse', 'v18', 'content']","raised up judges for them,"
140,"[140, 'p4', 'verse', 'v18', 'note', 'x']",#[Josh. 1:5]
141,"[141, 'p4', 'verse', 'v18', 'content']",the
142,"[142, 'p4', 'verse', 'v18', 'nd']",Lord
143,"[143, 'p4', 'verse', 'v18', 'content']","was with the judge, and he saved them from the hand of their enemies all the days of the judge."
144,"[144, 'p4', 'verse', 'v18', 'note', 'x']",#Gen. 6:6;Deut. 32:36;Ps. 106:45;Jer. 18:8;26:3;[Num. 23:19]
145,"[145, 'p4', 'verse', 'v18', 'content']",For the
146,"[146, 'p4', 'verse', 'v18', 'nd']",Lord
147,"[147, 'p4', 'verse', 'v18', 'content']",was moved to pity by
148,"[148, 'p4', 'verse', 'v18', 'note', 'x']",#Ex. 2:24;6:5
149,"[149, 'p4', 'verse', 'v18', 'content']",their groaning because of those who afflicted and oppressed them.
150,"['v018_ESV_JDG_002', 150, 'p4', 'verse', 'v18', 'plain_text']","18 Whenever the Lord raised up judges for them, the Lord was with the judge, and he saved them from the hand of their enemies all the days of the judge. For the Lord was moved to pity by their groaning because of those who afflicted and oppressed them."
151,"[151, 'p4', 'verse', 'v19', 'label']",19
152,"[152, 'p4', 'verse', 'v19', 'content']",But
153,"[153, 'p4', 'verse', 'v19', 'note', 'x']",#[ch.3:12;4:1;6:1;8:33]
154,"[154, 'p4', 'verse', 'v19', 'content']","whenever the judge died, they turned back and were more corrupt than their fathers, going after other gods, serving them and bowing down to them. They did not drop any of their practices or their stubborn ways."
155,"['v019_ESV_JDG_002', 155, 'p4', 'verse', 'v19', 'plain_text']","19 But whenever the judge died, they turned back and were more corrupt than their fathers, going after other gods, serving them and bowing down to them. They did not drop any of their practices or their stubborn ways."
156,"[156, 'p4', 'verse', 'v20', 'label']",20
157,"[157, 'p4', 'verse', 'v20', 'note', 'x']",#ver.14
158,"[158, 'p4', 'verse', 'v20', 'content']",So the anger of the
159,"[159, 'p4', 'verse', 'v20', 'nd']",Lord
160,"[160, 'p4', 'verse', 'v20', 'content']","was kindled against Israel, and he said, “Because this people"
161,"[161, 'p4', 'verse', 'v20', 'note', 'x']",#Deut. 17:2;Josh. 23:16
162,"[162, 'p4', 'verse', 'v20', 'content']","have transgressed my covenant that I commanded their fathers and have not obeyed my voice,"
163,"['v020_ESV_JDG_002', 163, 'p4', 'verse', 'v20', 'plain_text']","20 So the anger of the Lord was kindled against Israel, and he said, “Because this people have transgressed my covenant that I commanded their fathers and have not obeyed my voice,"
164,"[164, 'p4', 'verse', 'v21', 'label']",21
165,"[165, 'p4', 'verse', 'v21', 'note', 'x']",#ver.3;Josh. 23:13
166,"[166, 'p4', 'verse', 'v21', 'content']","I will no longer drive out before them any of the nations that Joshua left when he died,"
167,"['v021_ESV_JDG_002', 167, 'p4', 'verse', 'v21', 'plain_text']","21 I will no longer drive out before them any of the nations that Joshua left when he died,"
168,"[168, 'p4', 'verse', 'v22', 'label']",22
169,"[169, 'p4', 'verse', 'v22', 'content']",in order
170,"[170, 'p4', 'verse', 'v22', 'note', 'x']","#ch.3:1,4;Ex. 15:25;[Deut. 8:2,16;13:3]"
171,"[171, 'p4', 'verse', 'v22', 'content']","to test Israel by them, whether they will take care to walk in the way of the"
172,"[172, 'p4', 'verse', 'v22', 'nd']",Lord
173,"[173, 'p4', 'verse', 'v22', 'content']","as their fathers did, or not.”"
174,"['v022_ESV_JDG_002', 174, 'p4', 'verse', 'v22', 'plain_text']","22 in order to test Israel by them, whether they will take care to walk in the way of the Lord as their fathers did, or not.”"
175,"[175, 'p4', 'verse', 'v23', 'label']",23
176,"[176, 'p4', 'verse', 'v23', 'content']",So the
177,"[177, 'p4', 'verse', 'v23', 'nd']",Lord
178,"[178, 'p4', 'verse', 'v23', 'content']","left those nations, not driving them out quickly, and he did not give them into the hand of Joshua."
179,"['v023_ESV_JDG_002', 179, 'p4', 'verse', 'v23', 'plain_text']","23 So the Lord left those nations, not driving them out quickly, and he did not give them into the hand of Joshua."
